beta	kinetic_per_particle	kinetic_stderr	potential_per_particle	potential_stderr	total_per_particle	total_stderr	time_slices	nsamples	batches
0.5	-0.5840124160884682	0.002565168429023467	1.0550528788734255	0.0015308530184443504	0.471040462784957	0.0015522216053574173	5.0	256.0	1.0
1.2	-0.877685250389988	0.003310939002114294	1.0300686037809186	0.001195869782717859	0.15238335339093065	0.0024521708604292075	12.0	512.0	2.0
2.4	-1.0325100423395985	0.003511893430180323	1.0539048579850263	0.0010458150503230871	0.02139481564542753	0.002739016190568151	24.0	768.0	3.0
3.6	-1.0730336674002567	0.0035976787707587853	1.0618037618124478	0.0010479238668276182	-0.011229905587808509	0.0028527004882595744	36.0	768.0	3.0
5.0	-1.1056332692363202	0.003259188662917471	1.0668930432592496	0.0008206452573813115	-0.03874022597707078	0.0027552883507716897	50.0	1536.0	6.0
