beta	temperature	nsites	canonical_n	mu_grand_canonical	avg_n_grand_canonical	energy_per_particle_grand_canonical	energy_per_particle_canonical
1.000000	1.000000000000	797	399	0.004208344415	399.000000000000	-1.219805281497	-1.220559450268
2.000000	0.500000000000	797	399	0.003370677353	399.000000000000	-1.458025292466	-1.458483051365
3.000000	0.333333333333	797	399	0.003042079337	399.000000000000	-1.520170158570	-1.520488184977
4.000000	0.250000000000	797	399	0.002847875217	399.000000000000	-1.544917642105	-1.545161754756
5.000000	0.200000000000	797	399	0.002714987410	399.000000000000	-1.557354830539	-1.557553251327
6.000000	0.166666666667	797	399	0.002616178287	399.000000000000	-1.564529597972	-1.564696814686
7.000000	0.142857142857	797	399	0.002538380823	399.000000000000	-1.569062213288	-1.569206554014
8.000000	0.125000000000	797	399	0.002474232581	399.000000000000	-1.572115392933	-1.572242003633
9.000000	0.111111111111	797	399	0.002419099560	399.000000000000	-1.574271784219	-1.574384028223
10.000000	0.100000000000	797	399	0.002369869423	399.000000000000	-1.575850720212	-1.575950918831
11.000000	0.090909090909	797	399	0.002324399119	399.000000000000	-1.577039807124	-1.577129656618
12.000000	0.083333333333	797	399	0.002281221327	399.000000000000	-1.577955582625	-1.578036394312
13.000000	0.076923076923	797	399	0.002239360393	399.000000000000	-1.578673824602	-1.578746663395
14.000000	0.071428571429	797	399	0.002198200957	399.000000000000	-1.579245711872	-1.579311475871
15.000000	0.066666666667	797	399	0.002157387701	399.000000000000	-1.579706921003	-1.579766387236
16.000000	0.062500000000	797	399	0.002116747517	399.000000000000	-1.580082990156	-1.580136841272
17.000000	0.058823529412	797	399	0.002076229706	399.000000000000	-1.580392612273	-1.580441452822
18.000000	0.055555555556	797	399	0.002035861140	399.000000000000	-1.580649730132	-1.580694097277
19.000000	0.052631578947	797	399	0.001995713635	399.000000000000	-1.580864911550	-1.580905282901
20.000000	0.050000000000	797	399	0.001955881064	399.000000000000	-1.581046277352	-1.581083077286
21.000000	0.047619047619	797	399	0.001916463953	399.000000000000	-1.581200142899	-1.581233748061
22.000000	0.045454545455	797	399	0.001877559666	399.000000000000	-1.581331471153	-1.581362215436
23.000000	0.043478260870	797	399	0.001839256605	399.000000000000	-1.581444198633	-1.581472377766
24.000000	0.041666666667	797	399	0.001801631221	399.000000000000	-1.581541473803	-1.581567349580
25.000000	0.040000000000	797	399	0.001764746897	399.000000000000	-1.581625833913	-1.581649638063
26.000000	0.038461538462	797	399	0.001728654025	399.000000000000	-1.581699337851	-1.581721275563
27.000000	0.037037037037	797	399	0.001693390805	399.000000000000	-1.581763667066	-1.581783920155
28.000000	0.035714285714	797	399	0.001658984425	399.000000000000	-1.581820202991	-1.581838932727
29.000000	0.034482758621	797	399	0.001625452400	399.000000000000	-1.581870086964	-1.581887436587
