beta	temperature	nsites	canonical_n	target_density	mu_grand_canonical	avg_n_grand_canonical	kappa_grand_canonical	kappa_canonical
1.000000	1.000000000000	113	57	0.504424778761	0.028858138358	57.000000000000	1.533215272930e-01	0.000000000000e+00
2.000000	0.500000000000	113	57	0.504424778761	0.022931588695	57.000000000000	1.929403321281e-01	0.000000000000e+00
3.000000	0.333333333333	113	57	0.504424778761	0.020705004605	57.000000000000	2.136773126683e-01	0.000000000000e+00
4.000000	0.250000000000	113	57	0.504424778761	0.019335616095	57.000000000000	2.287864434842e-01	0.000000000000e+00
5.000000	0.200000000000	113	57	0.504424778761	0.018230758944	57.000000000000	2.426062373934e-01	0.000000000000e+00
6.000000	0.166666666667	113	57	0.504424778761	0.017198001704	57.000000000000	2.571055588296e-01	0.000000000000e+00
7.000000	0.142857142857	113	57	0.504424778761	0.016190393551	57.000000000000	2.730171667821e-01	0.000000000000e+00
8.000000	0.125000000000	113	57	0.504424778761	0.015211020344	57.000000000000	2.904926290414e-01	0.000000000000e+00
9.000000	0.111111111111	113	57	0.504424778761	0.014273761088	57.000000000000	3.094570590452e-01	0.000000000000e+00
10.000000	0.100000000000	113	57	0.504424778761	0.013390133587	57.000000000000	3.297664885546e-01	0.000000000000e+00
11.000000	0.090909090909	113	57	0.504424778761	0.012566631079	57.000000000000	3.512671813367e-01	0.000000000000e+00
12.000000	0.083333333333	113	57	0.504424778761	0.011805403472	57.000000000000	3.738141979645e-01	0.000000000000e+00
13.000000	0.076923076923	113	57	0.504424778761	0.011105580388	57.000000000000	3.972754114503e-01	0.000000000000e+00
14.000000	0.071428571429	113	57	0.504424778761	0.010464421050	57.000000000000	4.215313346963e-01	0.000000000000e+00
15.000000	0.066666666667	113	57	0.504424778761	0.009878145500	57.000000000000	4.464742536380e-01	0.000000000000e+00
16.000000	0.062500000000	113	57	0.504424778761	0.009342491736	57.000000000000	4.720075263386e-01	0.000000000000e+00
17.000000	0.058823529412	113	57	0.504424778761	0.008853073531	57.000000000000	4.980450653787e-01	0.000000000000e+00
18.000000	0.055555555556	113	57	0.504424778761	0.008405601555	57.000000000000	5.245108546040e-01	0.000000000000e+00
19.000000	0.052631578947	113	57	0.504424778761	0.007996012876	57.000000000000	5.513383924573e-01	0.000000000000e+00
20.000000	0.050000000000	113	57	0.504424778761	0.007620539810	57.000000000000	5.784700261564e-01	0.000000000000e+00
21.000000	0.047619047619	113	57	0.504424778761	0.007275739270	57.000000000000	6.058561914565e-01	0.000000000000e+00
22.000000	0.045454545455	113	57	0.504424778761	0.006958496974	57.000000000000	6.334545960393e-01	0.000000000000e+00
23.000000	0.043478260870	113	57	0.504424778761	0.006666016297	57.000000000000	6.612293886671e-01	0.000000000000e+00
24.000000	0.041666666667	113	57	0.504424778761	0.006395798360	57.000000000000	6.891503501428e-01	0.000000000000e+00
25.000000	0.040000000000	113	57	0.504424778761	0.006145617715	57.000000000000	7.171921322798e-01	0.000000000000e+00
26.000000	0.038461538462	113	57	0.504424778761	0.005913496469	57.000000000000	7.453335611788e-01	0.000000000000e+00
27.000000	0.037037037037	113	57	0.504424778761	0.005697678616	57.000000000000	7.735570128274e-01	0.000000000000e+00
28.000000	0.035714285714	113	57	0.504424778761	0.005496605612	57.000000000000	8.018478628564e-01	0.000000000000e+00
29.000000	0.034482758621	113	57	0.504424778761	0.005308893775	57.000000000000	8.301940080904e-01	0.000000000000e+00
30.000000	0.033333333333	113	57	0.504424778761	0.005133313747	57.000000000000	8.585854549522e-01	0.000000000000e+00
31.000000	0.032258064516	113	57	0.504424778761	0.004968772082	57.000000000000	8.870139684193e-01	0.000000000000e+00
32.000000	0.031250000000	113	57	0.504424778761	0.004814294883	57.000000000000	9.154727747085e-01	0.000000000000e+00
33.000000	0.030303030303	113	57	0.504424778761	0.004669013362	57.000000000000	9.439563109014e-01	0.000000000000e+00
34.000000	0.029411764706	113	57	0.504424778761	0.004532151156	57.000000000000	9.724600150925e-01	0.000000000000e+00
35.000000	0.028571428571	113	57	0.504424778761	0.004403013214	57.000000000000	1.000980151190e+00	0.000000000000e+00
36.000000	0.027777777778	113	57	0.504424778761	0.004280976087	57.000000000000	1.029513663132e+00	0.000000000000e+00
