beta	temperature	nsites	canonical_n	target_density	mu_grand_canonical	avg_n_grand_canonical	kappa_grand_canonical	kappa_canonical
1.000000	1.000000000000	797	399	0.500627352572	0.004208344415	399.000000000000	1.490733462612e-01	0.000000000000e+00
2.000000	0.500000000000	797	399	0.500627352572	0.003370677353	399.000000000000	1.861203033382e-01	0.000000000000e+00
3.000000	0.333333333333	797	399	0.500627352572	0.003042079337	399.000000000000	2.062243432302e-01	0.000000000000e+00
4.000000	0.250000000000	797	399	0.500627352572	0.002847875217	399.000000000000	2.202870538902e-01	0.000000000000e+00
5.000000	0.200000000000	797	399	0.500627352572	0.002714987410	399.000000000000	2.310689102761e-01	0.000000000000e+00
6.000000	0.166666666667	797	399	0.500627352572	0.002616178287	399.000000000000	2.397956660342e-01	0.000000000000e+00
7.000000	0.142857142857	797	399	0.500627352572	0.002538380823	399.000000000000	2.471445846747e-01	0.000000000000e+00
8.000000	0.125000000000	797	399	0.500627352572	0.002474232581	399.000000000000	2.535516085091e-01	0.000000000000e+00
9.000000	0.111111111111	797	399	0.500627352572	0.002419099560	399.000000000000	2.593294703061e-01	0.000000000000e+00
10.000000	0.100000000000	797	399	0.500627352572	0.002369869423	399.000000000000	2.647156010680e-01	0.000000000000e+00
11.000000	0.090909090909	797	399	0.500627352572	0.002324399119	399.000000000000	2.698926965219e-01	0.000000000000e+00
12.000000	0.083333333333	797	399	0.500627352572	0.002281221327	399.000000000000	2.749994243217e-01	0.000000000000e+00
13.000000	0.076923076923	797	399	0.500627352572	0.002239360393	399.000000000000	2.801380275316e-01	0.000000000000e+00
14.000000	0.071428571429	797	399	0.500627352572	0.002198200957	399.000000000000	2.853809693689e-01	0.000000000000e+00
15.000000	0.066666666667	797	399	0.500627352572	0.002157387701	399.000000000000	2.907770135492e-01	0.000000000000e+00
16.000000	0.062500000000	797	399	0.500627352572	0.002116747517	399.000000000000	2.963566375080e-01	0.000000000000e+00
17.000000	0.058823529412	797	399	0.500627352572	0.002076229706	399.000000000000	3.021366451174e-01	0.000000000000e+00
18.000000	0.055555555556	797	399	0.500627352572	0.002035861140	399.000000000000	3.081239368225e-01	0.000000000000e+00
19.000000	0.052631578947	797	399	0.500627352572	0.001995713635	399.000000000000	3.143184826105e-01	0.000000000000e+00
20.000000	0.050000000000	797	399	0.500627352572	0.001955881064	399.000000000000	3.207155956639e-01	0.000000000000e+00
21.000000	0.047619047619	797	399	0.500627352572	0.001916463953	399.000000000000	3.273076247367e-01	0.000000000000e+00
22.000000	0.045454545455	797	399	0.500627352572	0.001877559666	399.000000000000	3.340851822070e-01	0.000000000000e+00
23.000000	0.043478260870	797	399	0.500627352572	0.001839256605	399.000000000000	3.410380124219e-01	0.000000000000e+00
24.000000	0.041666666667	797	399	0.500627352572	0.001801631221	399.000000000000	3.481555882375e-01	0.000000000000e+00
25.000000	0.040000000000	797	399	0.500627352572	0.001764746897	399.000000000000	3.554275065672e-01	0.000000000000e+00
26.000000	0.038461538462	797	399	0.500627352572	0.001728654025	399.000000000000	3.628437382805e-01	0.000000000000e+00
27.000000	0.037037037037	797	399	0.500627352572	0.001693390805	399.000000000000	3.703947747076e-01	0.000000000000e+00
