beta	nup	ndn	multiplicity	logz_sector	normalized_weight
2.4	0.0	36.0	2.0	0.0	0.0
2.4	1.0	35.0	2.0	2.0992736694650073e11	1.0
2.4	2.0	34.0	2.0	11.637326610790273	0.0
2.4	3.0	33.0	2.0	16.1581242953987	0.0
2.4	4.0	32.0	2.0	19.249548318515647	0.0
2.4	5.0	31.0	2.0	23.14210504744869	0.0
2.4	6.0	30.0	2.0	25.15390245161108	0.0
2.4	7.0	29.0	2.0	27.523266297318067	0.0
2.4	8.0	28.0	2.0	29.705102226187392	0.0
2.4	9.0	27.0	2.0	31.13807599341064	0.0
2.4	10.0	26.0	2.0	32.693687050894106	0.0
2.4	11.0	25.0	2.0	33.619744093880655	0.0
2.4	12.0	24.0	2.0	34.08349723388262	0.0
2.4	13.0	23.0	2.0	34.40475197239058	0.0
2.4	14.0	22.0	2.0	34.26498892121794	0.0
2.4	15.0	21.0	2.0	34.301951586837575	0.0
2.4	16.0	20.0	2.0	35.02406481785257	0.0
2.4	17.0	19.0	2.0	35.231688934987275	0.0
2.4	18.0	18.0	1.0	35.1598736864379	0.0
