beta	kinetic_per_particle	kinetic_stderr	potential_per_particle	potential_stderr	total_per_particle	total_stderr	time_slices	nsamples	batches
0.5	-0.5840124160884682	0.002565168429023467	1.0550528788734255	0.0015308530184443504	0.471040462784957	0.0015522216053574173	5.0	256.0	1.0
1.2	-0.877685250389988	0.003310939002114294	1.0300686037809186	0.001195869782717859	0.15238335339093065	0.0024521708604292075	12.0	512.0	2.0
2.4	-1.032669015758658	0.004210395934604346	1.053234071392807	0.0012199695072787945	0.020565055634149204	0.0033279613473246304	24.0	512.0	2.0
3.6	-1.0734442168952636	0.004459520043640916	1.0618555610036686	0.001276067325452549	-0.01158865589159504	0.003550374752231099	36.0	512.0	2.0
5.0	-1.1083935769829565	0.007143262257368343	1.0668025751049148	0.0014073555542432746	-0.04159100187804178	0.006328495626444456	50.0	512.0	2.0
