beta	nup	ndn	batch	seed	nsamples	kinetic	kinetic_stderr	potential	potential_stderr	total	total_stderr	time_slices
0.5	0.0	36.0	0.0	1234.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0
0.5	1.0	35.0	1.0	3234.0	64.0	-757.4751179540133	25.817199549530663	1544.4177915056264	58.449265929558216	786.9426735516134	34.64035939930845	5.0
0.5	1.0	35.0	2.0	3235.0	128.0	-734.5490069367099	16.663632567780795	1494.4190441955814	37.270119077870305	759.8700372588713	21.8347087209784	5.0
0.5	2.0	34.0	1.0	4234.0	64.0	-0.18692683143143551	0.0028652014938366378	0.1772893099701802	0.002559782371656275	-0.0096375214612553	0.0016119113546534602	5.0
0.5	3.0	33.0	1.0	5234.0	64.0	-0.26191518137729536	0.0030825910038755986	0.2442222423336336	0.0027893142347286126	-0.017692939043661815	0.0017839021504655443	5.0
0.5	4.0	32.0	1.0	6234.0	64.0	-0.33919166551609004	0.004106807521188559	0.30165344993673787	0.0036028723891910106	-0.03753821557935214	0.002337058210495484	5.0
0.5	5.0	31.0	1.0	7234.0	64.0	-0.3987018837507518	0.004673591297168124	0.3521828353773502	0.004166210103840163	-0.04651904837340181	0.0025503903976069834	5.0
0.5	6.0	30.0	1.0	8234.0	64.0	-0.460272000947499	0.00549869378221231	0.3999403820605739	0.004341001628526514	-0.06033161888692509	0.0027753081534003	5.0
0.5	7.0	29.0	1.0	9234.0	64.0	-0.5189071592778346	0.005250959566304615	0.44324706374677364	0.004308923410714489	-0.07566009553106091	0.0031517323679695944	5.0
0.5	7.0	29.0	2.0	9235.0	128.0	-0.5162814889242219	0.003650483569670212	0.43720489112093824	0.0031072544599745236	-0.0790765978032836	0.0020722626115924803	5.0
0.5	8.0	28.0	1.0	10234.0	64.0	-0.5695437973538338	0.005274768326919092	0.475347367349833	0.004934697930546603	-0.09419643000400071	0.0027949200290214612	5.0
0.5	9.0	27.0	1.0	11234.0	64.0	-0.6201867484785911	0.006556192181649837	0.5148245803239991	0.005478787855937323	-0.10536216815459203	0.003642452372433313	5.0
0.5	9.0	27.0	2.0	11235.0	128.0	-0.6152620549299416	0.004662576511722833	0.5097519635713359	0.0038925610235833854	-0.10551009135860556	0.002419482007102111	5.0
0.5	10.0	26.0	1.0	12234.0	64.0	-0.6350430749440334	0.006780583159992032	0.5226990099054338	0.005980941358927289	-0.11234406503859934	0.003061355315667806	5.0
0.5	10.0	26.0	2.0	12235.0	128.0	-0.6347352309972417	0.004583585529453617	0.5219270708700601	0.00403544793557759	-0.11280816012718149	0.0020600314753666674	5.0
0.5	11.0	25.0	1.0	13234.0	64.0	-0.6802121606466289	0.006499379631894832	0.554532638869464	0.00528227199532036	-0.12567952177716485	0.003685000568440185	5.0
0.5	11.0	25.0	2.0	13235.0	128.0	-0.6785860740459351	0.004777197173149746	0.5522072882600026	0.003745263021241366	-0.12637878578593267	0.002625008397972836	5.0
0.5	12.0	24.0	1.0	14234.0	64.0	-0.7136340024754904	0.006003883798022766	0.576107049135274	0.005171766585066436	-0.13752695334021636	0.0037104610201122924	5.0
0.5	12.0	24.0	2.0	14235.0	128.0	-0.7102944924198944	0.004558347007120497	0.5721603639257237	0.003904722804256581	-0.1381341284941706	0.002743255867851007	5.0
0.5	13.0	23.0	1.0	15234.0	64.0	-0.7371310065290916	0.006825268767544409	0.5948084549703796	0.005755297599326619	-0.14232255155871185	0.004217637942074544	5.0
0.5	13.0	23.0	2.0	15235.0	128.0	-0.7376395352691483	0.0048387710350170235	0.5924450850753975	0.00415204685209247	-0.14519445019375057	0.0027625260953515257	5.0
0.5	14.0	22.0	1.0	16234.0	64.0	-0.7652567297352361	0.008193232541418304	0.610016548719758	0.006071306280542422	-0.15524018101547804	0.0045972707608175414	5.0
0.5	14.0	22.0	2.0	16235.0	128.0	-0.7634815186825054	0.005130085864193478	0.6088951550401801	0.004180696621107468	-0.15458636364232536	0.003045131205084298	5.0
0.5	15.0	21.0	1.0	17234.0	64.0	-0.7688411670073032	0.006749441220657267	0.6201063650975366	0.005650915621501744	-0.14873480190976657	0.003777243277862524	5.0
0.5	15.0	21.0	2.0	17235.0	128.0	-0.7741552272193608	0.004942502830828401	0.6206756439839103	0.00434146548620566	-0.15347958323545058	0.0028911580034967003	5.0
0.5	16.0	20.0	1.0	18234.0	64.0	-0.7910967991432497	0.007996972606682322	0.6348713737566359	0.005745685213035572	-0.15622542538661374	0.004620551501885077	5.0
0.5	16.0	20.0	2.0	18235.0	128.0	-0.792707889632597	0.005612090311349635	0.6333114609213476	0.004242700482386601	-0.15939642871124948	0.0030097834351394256	5.0
0.5	17.0	19.0	1.0	19234.0	64.0	-0.7833317078110413	0.007851397524675433	0.622936398793839	0.00628241480957721	-0.16039530901720236	0.003771939053573109	5.0
0.5	17.0	19.0	2.0	19235.0	128.0	-0.7886298567629364	0.005941325812228666	0.6271685741067269	0.004548154909724375	-0.16146128265620913	0.002712832430156685	5.0
0.5	18.0	18.0	1.0	20234.0	64.0	-0.8012778884589205	0.007970488609019907	0.6378470491068939	0.0072378808036268685	-0.16343083935202646	0.003916434462282548	5.0
0.5	18.0	18.0	2.0	20235.0	128.0	-0.7974981238736595	0.0052176972291404665	0.6346363475771224	0.004676046975179651	-0.16286177629653706	0.0027068629323608114	5.0
