beta	nup	ndn	batch	seed	nsamples	kinetic	kinetic_stderr	potential	potential_stderr	total	total_stderr	time_slices
0.5	0.0	36.0	0.0	1234.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0
0.5	1.0	35.0	1.0	3234.0	16.0	-632.3911829742286	32.03877852161085	1246.2204101072834	58.39219072513997	613.8292271330549	33.035769905213094	5.0
0.5	2.0	34.0	1.0	4234.0	16.0	-0.17407466363128804	0.0057367245888915955	0.1678889795846032	0.005390930187235448	-0.006185684046684844	0.002751056211990943	5.0
0.5	3.0	33.0	1.0	5234.0	16.0	-0.2841676535506665	0.005538359657229804	0.25770286891278305	0.005081236001982728	-0.02646478463788344	0.0030634585587317304	5.0
0.5	4.0	32.0	1.0	6234.0	16.0	-0.3219211089028048	0.009186592454228173	0.2860753341585842	0.007509870353501886	-0.035845774744220536	0.003378282793974023	5.0
0.5	5.0	31.0	1.0	7234.0	16.0	-0.4127443983345568	0.010301979688040213	0.3566206491556203	0.008056912197752194	-0.05612374917893642	0.0046690760928849015	5.0
0.5	6.0	30.0	1.0	8234.0	16.0	-0.4510247433374638	0.010703481256477411	0.38734399791220775	0.009709975120502671	-0.06368074542525604	0.003492224244238091	5.0
0.5	7.0	29.0	1.0	9234.0	16.0	-0.49562560086730967	0.012834263129596683	0.42298510323536254	0.010484270175963407	-0.07264049763194717	0.007286443239154874	5.0
0.5	8.0	28.0	1.0	10234.0	16.0	-0.5541866276005569	0.011954627513781338	0.4726115184026878	0.010849245467904896	-0.08157510919786913	0.005133086435517576	5.0
0.5	9.0	27.0	1.0	11234.0	16.0	-0.6143524099284747	0.014485524357342525	0.5097976548623326	0.012693377058164066	-0.10455475506614217	0.005754975321528775	5.0
0.5	10.0	26.0	1.0	12234.0	16.0	-0.6528231454913064	0.014155252040231334	0.538067729130774	0.01270681135325691	-0.11475541636053231	0.007075711464135126	5.0
0.5	11.0	25.0	1.0	13234.0	16.0	-0.6742792362408397	0.010174087691942005	0.5489756121731775	0.008500056660039891	-0.12530362406766213	0.00456821163741941	5.0
0.5	12.0	24.0	1.0	14234.0	16.0	-0.7078702262918337	0.018659872302977012	0.5679987698493056	0.013403351617216801	-0.13987145644252816	0.009581756687200347	5.0
0.5	13.0	23.0	1.0	15234.0	16.0	-0.7174924326881162	0.01540781233828859	0.5779110901539243	0.010071823062458213	-0.13958134253419197	0.008615591775149615	5.0
0.5	14.0	22.0	1.0	16234.0	16.0	-0.7439545372798333	0.012816954561297084	0.5892139493971098	0.011799794120916697	-0.1547405878827236	0.007738719477092108	5.0
0.5	15.0	21.0	1.0	17234.0	16.0	-0.8133097339411481	0.013063566400890372	0.641873643949936	0.010140369993258121	-0.1714360899912123	0.009273657597738592	5.0
0.5	16.0	20.0	1.0	18234.0	16.0	-0.7510524051622948	0.015382738760672879	0.6058597392980072	0.011765786582126455	-0.14519266586428772	0.008197424134094803	5.0
0.5	17.0	19.0	1.0	19234.0	16.0	-0.7674373508881118	0.01291333276578028	0.6068325269608351	0.01409077407765178	-0.1606048239272767	0.007214039987871379	5.0
0.5	18.0	18.0	1.0	20234.0	16.0	-0.784965852002498	0.011079275793453849	0.6336834054254172	0.01121040784695441	-0.15128244657708076	0.003462763587442206	5.0
