temperature	specific_heat_per_particle_grand_canonical	specific_heat_per_particle_canonical
1.000000000000	0.325874655571	0.325853597874
0.500000000000	0.597124506615	0.597076206059
0.333333333333	0.383228180994	0.383176175013
0.250000000000	0.290499569065	0.290448245049
0.200000000000	0.239182139454	0.239130900415
0.166666666667	0.205642031447	0.205590629230
0.142857142857	0.181559763402	0.181508121465
0.125000000000	0.163222957772	0.163171059771
0.111111111111	0.148689101182	0.148636952651
0.100000000000	0.136827275252	0.136774889067
0.090909090909	0.126927188084	0.126874577791
0.083333333333	0.118516708945	0.118463884442
0.076923076923	0.111267845458	0.111214809161
0.071428571429	0.104944479531	0.104891222748
0.066666666667	0.099371535416	0.099318035366
0.062500000000	0.094415910050	0.094362128066
0.058823529412	0.089974221534	0.089920102831
0.055555555556	0.085964689697	0.085910164902
0.052631578947	0.082321612029	0.082266600110
0.050000000000	0.078991516677	0.078935928882
0.047619047619	0.075930424067	0.075874168453
0.045454545455	0.073101855342	0.073044841342
0.043478260870	0.070475352517	0.070417495122
0.041666666667	0.068025355147	0.067966578590
0.040000000000	0.065730329805	0.065670570400
0.038461538462	0.063572082277	0.063511290481
0.037037037037	0.061535204704	0.061473346333
0.035714285714	0.059606624596	0.059543681305
0.034482758621	0.057775232522	0.057711201761
0.033333333333	0.056031571915	0.055966466107
0.032258064516	0.054367578857	0.054301424444
0.031250000000	0.052776362845	0.052709198966
0.030303030303	0.051252021489	0.051183898258
0.029411764706	0.049789483722	0.049720460737
0.028571428571	0.048384377106	0.048314521765
0.027777777778	0.047032915516	0.046962301321
0.027027027027	0.045731804267	0.045660509171
0.026315789474	0.044478160080	0.044406265235
0.025641025641	0.043269443665	0.043197032045
0.025000000000	0.042103403099	0.042030558127
0.024390243902	0.040978026398	0.040904831108
0.023809523810	0.039891501848	0.039818037885
0.023255813953	0.038842184966	0.038768531868
0.022727272727	0.037828571068	0.037754805611
0.022222222222	0.036849272515	0.036775468233
0.021739130435	0.035902999946	0.035829226752
0.021276595745	0.034988546861	0.034914870805
0.020833333333	0.034104776973	0.034031260008
0.020408163265	0.033250613863	0.033177313658
0.020000000000	0.032425032647	0.032352002702
0.019607843137	0.031627053169	0.031554342796
0.019230769231	0.030855734492	0.030783388621
0.018867924528	0.030110170578	0.030038230109
0.018518518519	0.029389486823	0.029317988831
0.018181818182	0.028692837214	0.028621814783
0.017857142857	0.028019402183	0.027948884891
0.017543859649	0.027368386902	0.027298400926
0.017241379310	0.026739019900	0.026669588003
0.016949152542	0.026130552068	0.026061693956
0.016666666667	0.025542255804	0.025473988437
0.016393442623	0.024973424327	0.024905761925
0.016129032258	0.024423371210	0.024356325699
0.015873015873	0.023891429983	0.023825010853
0.015625000000	0.023376953708	0.023311168238
0.015384615385	0.022879314703	0.022814168592
0.015151515152	0.022397904318	0.022333401273
0.014925373134	0.021932132627	0.021868274773
0.014705882353	0.021481428129	0.021418216350
0.014492753623	0.021045237582	0.020982671331
0.014285714286	0.020623025707	0.020561103332
0.014084507042	0.020214274885	0.020152993561
0.013888888889	0.019818484889	0.019757841094
0.013698630137	0.019435172561	0.019375161873
0.013513513514	0.019063871528	0.019004488756
0.013333333333	0.018704131860	0.018645371267
0.013157894737	0.018355519645	0.018297374850
0.012987012987	0.018017616732	0.017960081060
0.012820512821	0.017690020339	0.017633086565
0.012658227848	0.017372342601	0.017316003338
0.012500000000	0.017064210193	0.017008457714
0.012345679012	0.016765263993	0.016710090406
0.012195121951	0.016475158698	0.016420555585
0.012048192771	0.016193562254	0.016139521452
0.011904761905	0.015920155599	0.015866668965
0.011764705882	0.015654632225	0.015601691132
0.011627906977	0.015396697730	0.015344293793
0.011494252874	0.015146069445	0.015094194147
0.011363636364	0.014902476023	0.014851121191
0.011235955056	0.014665657028	0.014614814139
0.011111111111	0.014435362592	0.014385023028
0.010989010989	0.014211352964	0.014161508777
0.010869565217	0.013993398110	0.013944041283
0.010752688172	0.013781277527	0.013732399822
0.010638297872	0.013574779671	0.013526373163
0.010526315789	0.013373701633	0.013325758528
0.010416666667	0.013177848945	0.013130361537
0.010309278351	0.012987035116	0.012939995900
0.010204081633	0.012801081323	0.012754483024
0.010101010101	0.012619816116	0.012573651254
0.010000000000	0.012433408494	0.012387695860
