level_index	eigenvalue
1	-3.498292919561
2	-2.798608878459
3	-2.798608878459
4	-2.000000000000
5	-2.000000000000
6	-1.771086043201
7	-1.214727147881
8	-1.214727147881
9	-0.832001383180
10	-0.832001383180
11	-0.790696450307
12	-0.000000000000
13	-0.000000000000
14	-0.000000000000
15	-0.000000000000
16	0.000000000000
17	0.000000000000
18	0.000000000000
19	0.790696450307
20	0.832001383180
21	0.832001383180
22	1.214727147881
23	1.214727147881
24	1.771086043201
25	2.000000000000
26	2.000000000000
27	2.798608878459
28	2.798608878459
29	3.498292919561
