site_index	x	y
1	0	-18
2	-5	-17
3	-4	-17
4	-3	-17
5	-2	-17
6	-1	-17
7	0	-17
8	1	-17
9	2	-17
10	3	-17
11	4	-17
12	5	-17
13	-8	-16
14	-7	-16
15	-6	-16
16	-5	-16
17	-4	-16
18	-3	-16
19	-2	-16
20	-1	-16
21	0	-16
22	1	-16
23	2	-16
24	3	-16
25	4	-16
26	5	-16
27	6	-16
28	7	-16
29	8	-16
30	-9	-15
31	-8	-15
32	-7	-15
33	-6	-15
34	-5	-15
35	-4	-15
36	-3	-15
37	-2	-15
38	-1	-15
39	0	-15
40	1	-15
41	2	-15
42	3	-15
43	4	-15
44	5	-15
45	6	-15
46	7	-15
47	8	-15
48	9	-15
49	-11	-14
50	-10	-14
51	-9	-14
52	-8	-14
53	-7	-14
54	-6	-14
55	-5	-14
56	-4	-14
57	-3	-14
58	-2	-14
59	-1	-14
60	0	-14
61	1	-14
62	2	-14
63	3	-14
64	4	-14
65	5	-14
66	6	-14
67	7	-14
68	8	-14
69	9	-14
70	10	-14
71	11	-14
72	-12	-13
73	-11	-13
74	-10	-13
75	-9	-13
76	-8	-13
77	-7	-13
78	-6	-13
79	-5	-13
80	-4	-13
81	-3	-13
82	-2	-13
83	-1	-13
84	0	-13
85	1	-13
86	2	-13
87	3	-13
88	4	-13
89	5	-13
90	6	-13
91	7	-13
92	8	-13
93	9	-13
94	10	-13
95	11	-13
96	12	-13
97	-13	-12
98	-12	-12
99	-11	-12
100	-10	-12
101	-9	-12
102	-8	-12
103	-7	-12
104	-6	-12
105	-5	-12
106	-4	-12
107	-3	-12
108	-2	-12
109	-1	-12
110	0	-12
111	1	-12
112	2	-12
113	3	-12
114	4	-12
115	5	-12
116	6	-12
117	7	-12
118	8	-12
119	9	-12
120	10	-12
121	11	-12
122	12	-12
123	13	-12
124	-14	-11
125	-13	-11
126	-12	-11
127	-11	-11
128	-10	-11
129	-9	-11
130	-8	-11
131	-7	-11
132	-6	-11
133	-5	-11
134	-4	-11
135	-3	-11
136	-2	-11
137	-1	-11
138	0	-11
139	1	-11
140	2	-11
141	3	-11
142	4	-11
143	5	-11
144	6	-11
145	7	-11
146	8	-11
147	9	-11
148	10	-11
149	11	-11
150	12	-11
151	13	-11
152	14	-11
153	-14	-10
154	-13	-10
155	-12	-10
156	-11	-10
157	-10	-10
158	-9	-10
159	-8	-10
160	-7	-10
161	-6	-10
162	-5	-10
163	-4	-10
164	-3	-10
165	-2	-10
166	-1	-10
167	0	-10
168	1	-10
169	2	-10
170	3	-10
171	4	-10
172	5	-10
173	6	-10
174	7	-10
175	8	-10
176	9	-10
177	10	-10
178	11	-10
179	12	-10
180	13	-10
181	14	-10
182	-15	-9
