level_index	eigenvalue
1	-3.982703666158
2	-3.956165818136
3	-3.956165818136
4	-3.921714377878
5	-3.921152448216
6	-3.909310077885
7	-3.879080511327
8	-3.879080511327
9	-3.854041537107
10	-3.854041537107
11	-3.829745041180
12	-3.829250457101
13	-3.791227586137
14	-3.790350891155
15	-3.779025493186
16	-3.773032487206
17	-3.773032487206
18	-3.720009992246
19	-3.720009992246
20	-3.711122718641
21	-3.708798071303
22	-3.696301014162
23	-3.696301014162
24	-3.642571317359
25	-3.641770651234
26	-3.640592416841
27	-3.640592416841
28	-3.606269299827
29	-3.606235375114
30	-3.594855719272
31	-3.565600517791
32	-3.564625436470
33	-3.557625082116
34	-3.557625082116
35	-3.509489511279
36	-3.509489511279
37	-3.486737880021
38	-3.486737880021
39	-3.483610629286
40	-3.483610629286
41	-3.469166403101
42	-3.464699812868
43	-3.406729354718
44	-3.405432990564
45	-3.400285320008
46	-3.394486133494
47	-3.373045013705
48	-3.370539721284
49	-3.370539721284
50	-3.370203266420
51	-3.360881352655
52	-3.305159697573
53	-3.305159697573
54	-3.296783395278
55	-3.296783395278
56	-3.270904561665
57	-3.266899127561
58	-3.251928211603
59	-3.251928211603
60	-3.229049897147
61	-3.229049897147
62	-3.208035961960
63	-3.207002181529
64	-3.185795286439
65	-3.179151616161
66	-3.162000520175
67	-3.162000520175
68	-3.126438910163
69	-3.125861598581
70	-3.106111275398
71	-3.106111275398
72	-3.098891308088
73	-3.087983107686
74	-3.081328644553
75	-3.062692408272
76	-3.062692408272
77	-3.055502624943
78	-3.047304511717
79	-3.009574091915
80	-2.995793206583
81	-2.995793206583
82	-2.984924725324
83	-2.955205731456
84	-2.955205731456
85	-2.941450651400
86	-2.938858580078
87	-2.938858580078
88	-2.937453802194
89	-2.926207003987
90	-2.926207003987
91	-2.884740420785
92	-2.884740420785
93	-2.865882315650
94	-2.856378823266
95	-2.835022208666
96	-2.813759031448
97	-2.811679038555
98	-2.811679038555
99	-2.809532367400
100	-2.807007894932
101	-2.787721642718
102	-2.774090123800
103	-2.763237909895
104	-2.758077127021
105	-2.754459778874
106	-2.724457751157
107	-2.724457751157
108	-2.699749423500
109	-2.699749423500
110	-2.687550470097
111	-2.678332264773
112	-2.663286128564
113	-2.663286128564
114	-2.643751718137
115	-2.643751718137
116	-2.624772229296
117	-2.624772229296
118	-2.586258695782
119	-2.586258695782
120	-2.585542622060
121	-2.584495176849
122	-2.581601146256
123	-2.570806941149
124	-2.543658712820
125	-2.543658712820
126	-2.524881432758
127	-2.516972378256
128	-2.506550025461
129	-2.501315899854
130	-2.473463520446
131	-2.465527520370
132	-2.465527520370
133	-2.456761442550
134	-2.445729048271
135	-2.427812029633
136	-2.427812029633
137	-2.424953479378
138	-2.409073500793
139	-2.400712392206
140	-2.391273301220
141	-2.383439192330
142	-2.383439192330
143	-2.360623699184
144	-2.360623699184
145	-2.337251071680
146	-2.320066947707
147	-2.307348546766
148	-2.307348546766
149	-2.295532579399
150	-2.289854808668
151	-2.273568324341
152	-2.273568324341
153	-2.267052685366
154	-2.267052685366
155	-2.247068390706
156	-2.244332346259
157	-2.209962400544
