idx	stage	U_label	U	beta	target_T	actual_T	Ltau	Ntot	Nup	Ndn	density	account	job_tag	outdir	seed	nwarmups	max_batches	batch_nsamples	measure_interval	cluster_size	Lx	Ly	dtau	expected_ranks	phase_reweighted	force_symmetry
15	positive_lowbeta	Up3	3.0	2.9	0.344827586207	0.344827586207	29	26	13	13	0.722222222222	ccsd	ceL6Up3N26b2p9	/home/9pm/nUHubbard/runs/ce_eqtime_L6_thermometry_20260719/positive_lowbeta/Up3/Ntot026_n0.722222_b2p9_T0.344828_Nup013_Ndn013_r32_w5000_m50000_seed1907191015	1907191015	5000	50000	1	3	36	6	6	0.1	32	true	false
16	positive_lowbeta	Up3	3.0	3.3	0.303030303030	0.303030303030	33	26	13	13	0.722222222222	ccsd	ceL6Up3N26b3p3	/home/9pm/nUHubbard/runs/ce_eqtime_L6_thermometry_20260719/positive_lowbeta/Up3/Ntot026_n0.722222_b3p3_T0.303030_Nup013_Ndn013_r32_w5000_m50000_seed1907191016	1907191016	5000	50000	1	3	36	6	6	0.1	32	true	false
17	positive_lowbeta	Up3	3.0	4.0	0.250000000000	0.250000000000	40	26	13	13	0.722222222222	ccsd	ceL6Up3N26b4p0	/home/9pm/nUHubbard/runs/ce_eqtime_L6_thermometry_20260719/positive_lowbeta/Up3/Ntot026_n0.722222_b4p0_T0.250000_Nup013_Ndn013_r32_w5000_m50000_seed1907191017	1907191017	5000	50000	1	3	36	6	6	0.1	32	true	false
18	positive_lowbeta	Up3	3.0	2.0	0.500000000000	0.500000000000	20	32	16	16	0.888888888889	ccsd	ceL6Up3N32b2p0	/home/9pm/nUHubbard/runs/ce_eqtime_L6_thermometry_20260719/positive_lowbeta/Up3/Ntot032_n0.888889_b2p0_T0.500000_Nup016_Ndn016_r32_w5000_m50000_seed1907191018	1907191018	5000	50000	1	3	36	6	6	0.1	32	true	false
19	positive_lowbeta	Up3	3.0	2.2	0.454545454545	0.454545454545	22	32	16	16	0.888888888889	ccsd	ceL6Up3N32b2p2	/home/9pm/nUHubbard/runs/ce_eqtime_L6_thermometry_20260719/positive_lowbeta/Up3/Ntot032_n0.888889_b2p2_T0.454545_Nup016_Ndn016_r32_w5000_m50000_seed1907191019	1907191019	5000	50000	1	3	36	6	6	0.1	32	true	false
20	positive_lowbeta	Up3	3.0	2.5	0.400000000000	0.400000000000	25	32	16	16	0.888888888889	ccsd	ceL6Up3N32b2p5	/home/9pm/nUHubbard/runs/ce_eqtime_L6_thermometry_20260719/positive_lowbeta/Up3/Ntot032_n0.888889_b2p5_T0.400000_Nup016_Ndn016_r32_w5000_m50000_seed1907191020	1907191020	5000	50000	1	3	36	6	6	0.1	32	true	false
21	positive_lowbeta	Up3	3.0	2.9	0.344827586207	0.344827586207	29	32	16	16	0.888888888889	ccsd	ceL6Up3N32b2p9	/home/9pm/nUHubbard/runs/ce_eqtime_L6_thermometry_20260719/positive_lowbeta/Up3/Ntot032_n0.888889_b2p9_T0.344828_Nup016_Ndn016_r32_w5000_m50000_seed1907191021	1907191021	5000	50000	1	3	36	6	6	0.1	32	true	false
22	positive_lowbeta	Up3	3.0	3.3	0.303030303030	0.303030303030	33	32	16	16	0.888888888889	ccsd	ceL6Up3N32b3p3	/home/9pm/nUHubbard/runs/ce_eqtime_L6_thermometry_20260719/positive_lowbeta/Up3/Ntot032_n0.888889_b3p3_T0.303030_Nup016_Ndn016_r32_w5000_m50000_seed1907191022	1907191022	5000	50000	1	3	36	6	6	0.1	32	true	false
23	positive_lowbeta	Up3	3.0	4.0	0.250000000000	0.250000000000	40	32	16	16	0.888888888889	ccsd	ceL6Up3N32b4p0	/home/9pm/nUHubbard/runs/ce_eqtime_L6_thermometry_20260719/positive_lowbeta/Up3/Ntot032_n0.888889_b4p0_T0.250000_Nup016_Ndn016_r32_w5000_m50000_seed1907191023	1907191023	5000	50000	1	3	36	6	6	0.1	32	true	false
24	positive_lowbeta	Up5	5.0	2.0	0.500000000000	0.500000000000	20	12	6	6	0.333333333333	ccsd	ceL6Up5N12b2p0	/home/9pm/nUHubbard/runs/ce_eqtime_L6_thermometry_20260719/positive_lowbeta/Up5/Ntot012_n0.333333_b2p0_T0.500000_Nup006_Ndn006_r32_w5000_m50000_seed1907191024	1907191024	5000	50000	1	3	36	6	6	0.1	32	true	false
25	positive_lowbeta	Up5	5.0	2.2	0.454545454545	0.454545454545	22	12	6	6	0.333333333333	ccsd	ceL6Up5N12b2p2	/home/9pm/nUHubbard/runs/ce_eqtime_L6_thermometry_20260719/positive_lowbeta/Up5/Ntot012_n0.333333_b2p2_T0.454545_Nup006_Ndn006_r32_w5000_m50000_seed1907191025	1907191025	5000	50000	1	3	36	6	6	0.1	32	true	false
26	positive_lowbeta	Up5	5.0	2.5	0.400000000000	0.400000000000	25	12	6	6	0.333333333333	ccsd	ceL6Up5N12b2p5	/home/9pm/nUHubbard/runs/ce_eqtime_L6_thermometry_20260719/positive_lowbeta/Up5/Ntot012_n0.333333_b2p5_T0.400000_Nup006_Ndn006_r32_w5000_m50000_seed1907191026	1907191026	5000	50000	1	3	36	6	6	0.1	32	true	false
27	positive_lowbeta	Up5	5.0	2.9	0.344827586207	0.344827586207	29	12	6	6	0.333333333333	ccsd	ceL6Up5N12b2p9	/home/9pm/nUHubbard/runs/ce_eqtime_L6_thermometry_20260719/positive_lowbeta/Up5/Ntot012_n0.333333_b2p9_T0.344828_Nup006_Ndn006_r32_w5000_m50000_seed1907191027	1907191027	5000	50000	1	3	36	6	6	0.1	32	true	false
28	positive_lowbeta	Up5	5.0	3.3	0.303030303030	0.303030303030	33	12	6	6	0.333333333333	ccsd	ceL6Up5N12b3p3	/home/9pm/nUHubbard/runs/ce_eqtime_L6_thermometry_20260719/positive_lowbeta/Up5/Ntot012_n0.333333_b3p3_T0.303030_Nup006_Ndn006_r32_w5000_m50000_seed1907191028	1907191028	5000	50000	1	3	36	6	6	0.1	32	true	false
29	positive_lowbeta	Up5	5.0	4.0	0.250000000000	0.250000000000	40	12	6	6	0.333333333333	ccsd	ceL6Up5N12b4p0	/home/9pm/nUHubbard/runs/ce_eqtime_L6_thermometry_20260719/positive_lowbeta/Up5/Ntot012_n0.333333_b4p0_T0.250000_Nup006_Ndn006_r32_w5000_m50000_seed1907191029	1907191029	5000	50000	1	3	36	6	6	0.1	32	true	false
30	positive_lowbeta	Up5	5.0	2.0	0.500000000000	0.500000000000	20	18	9	9	0.500000000000	ccsd	ceL6Up5N18b2p0	/home/9pm/nUHubbard/runs/ce_eqtime_L6_thermometry_20260719/positive_lowbeta/Up5/Ntot018_n0.500000_b2p0_T0.500000_Nup009_Ndn009_r32_w5000_m50000_seed1907191030	1907191030	5000	50000	1	3	36	6	6	0.1	32	true	false
31	positive_lowbeta	Up5	5.0	2.2	0.454545454545	0.454545454545	22	18	9	9	0.500000000000	ccsd	ceL6Up5N18b2p2	/home/9pm/nUHubbard/runs/ce_eqtime_L6_thermometry_20260719/positive_lowbeta/Up5/Ntot018_n0.500000_b2p2_T0.454545_Nup009_Ndn009_r32_w5000_m50000_seed1907191031	1907191031	5000	50000	1	3	36	6	6	0.1	32	true	false
32	positive_lowbeta	Up5	5.0	2.5	0.400000000000	0.400000000000	25	18	9	9	0.500000000000	ccsd	ceL6Up5N18b2p5	/home/9pm/nUHubbard/runs/ce_eqtime_L6_thermometry_20260719/positive_lowbeta/Up5/Ntot018_n0.500000_b2p5_T0.400000_Nup009_Ndn009_r32_w5000_m50000_seed1907191032	1907191032	5000	50000	1	3	36	6	6	0.1	32	true	false
33	positive_lowbeta	Up5	5.0	2.9	0.344827586207	0.344827586207	29	18	9	9	0.500000000000	ccsd	ceL6Up5N18b2p9	/home/9pm/nUHubbard/runs/ce_eqtime_L6_thermometry_20260719/positive_lowbeta/Up5/Ntot018_n0.500000_b2p9_T0.344828_Nup009_Ndn009_r32_w5000_m50000_seed1907191033	1907191033	5000	50000	1	3	36	6	6	0.1	32	true	false
34	positive_lowbeta	Up5	5.0	3.3	0.303030303030	0.303030303030	33	18	9	9	0.500000000000	ccsd	ceL6Up5N18b3p3	/home/9pm/nUHubbard/runs/ce_eqtime_L6_thermometry_20260719/positive_lowbeta/Up5/Ntot018_n0.500000_b3p3_T0.303030_Nup009_Ndn009_r32_w5000_m50000_seed1907191034	1907191034	5000	50000	1	3	36	6	6	0.1	32	true	false
35	positive_lowbeta	Up5	5.0	4.0	0.250000000000	0.250000000000	40	18	9	9	0.500000000000	ccsd	ceL6Up5N18b4p0	/home/9pm/nUHubbard/runs/ce_eqtime_L6_thermometry_20260719/positive_lowbeta/Up5/Ntot018_n0.500000_b4p0_T0.250000_Nup009_Ndn009_r32_w5000_m50000_seed1907191035	1907191035	5000	50000	1	3	36	6	6	0.1	32	true	false
36	positive_lowbeta	Up5	5.0	2.0	0.500000000000	0.500000000000	20	26	13	13	0.722222222222	ccsd	ceL6Up5N26b2p0	/home/9pm/nUHubbard/runs/ce_eqtime_L6_thermometry_20260719/positive_lowbeta/Up5/Ntot026_n0.722222_b2p0_T0.500000_Nup013_Ndn013_r32_w5000_m50000_seed1907191036	1907191036	5000	50000	1	3	36	6	6	0.1	32	true	false
37	positive_lowbeta	Up5	5.0	2.2	0.454545454545	0.454545454545	22	26	13	13	0.722222222222	ccsd	ceL6Up5N26b2p2	/home/9pm/nUHubbard/runs/ce_eqtime_L6_thermometry_20260719/positive_lowbeta/Up5/Ntot026_n0.722222_b2p2_T0.454545_Nup013_Ndn013_r32_w5000_m50000_seed1907191037	1907191037	5000	50000	1	3	36	6	6	0.1	32	true	false
38	positive_lowbeta	Up5	5.0	2.5	0.400000000000	0.400000000000	25	26	13	13	0.722222222222	ccsd	ceL6Up5N26b2p5	/home/9pm/nUHubbard/runs/ce_eqtime_L6_thermometry_20260719/positive_lowbeta/Up5/Ntot026_n0.722222_b2p5_T0.400000_Nup013_Ndn013_r32_w5000_m50000_seed1907191038	1907191038	5000	50000	1	3	36	6	6	0.1	32	true	false
39	positive_lowbeta	Up5	5.0	2.9	0.344827586207	0.344827586207	29	26	13	13	0.722222222222	ccsd	ceL6Up5N26b2p9	/home/9pm/nUHubbard/runs/ce_eqtime_L6_thermometry_20260719/positive_lowbeta/Up5/Ntot026_n0.722222_b2p9_T0.344828_Nup013_Ndn013_r32_w5000_m50000_seed1907191039	1907191039	5000	50000	1	3	36	6	6	0.1	32	true	false
40	positive_lowbeta	Up5	5.0	3.3	0.303030303030	0.303030303030	33	26	13	13	0.722222222222	ccsd	ceL6Up5N26b3p3	/home/9pm/nUHubbard/runs/ce_eqtime_L6_thermometry_20260719/positive_lowbeta/Up5/Ntot026_n0.722222_b3p3_T0.303030_Nup013_Ndn013_r32_w5000_m50000_seed1907191040	1907191040	5000	50000	1	3	36	6	6	0.1	32	true	false
41	positive_lowbeta	Up5	5.0	4.0	0.250000000000	0.250000000000	40	26	13	13	0.722222222222	ccsd	ceL6Up5N26b4p0	/home/9pm/nUHubbard/runs/ce_eqtime_L6_thermometry_20260719/positive_lowbeta/Up5/Ntot026_n0.722222_b4p0_T0.250000_Nup013_Ndn013_r32_w5000_m50000_seed1907191041	1907191041	5000	50000	1	3	36	6	6	0.1	32	true	false
42	positive_lowbeta	Up5	5.0	2.0	0.500000000000	0.500000000000	20	32	16	16	0.888888888889	ccsd	ceL6Up5N32b2p0	/home/9pm/nUHubbard/runs/ce_eqtime_L6_thermometry_20260719/positive_lowbeta/Up5/Ntot032_n0.888889_b2p0_T0.500000_Nup016_Ndn016_r32_w5000_m50000_seed1907191042	1907191042	5000	50000	1	3	36	6	6	0.1	32	true	false
43	positive_lowbeta	Up5	5.0	2.2	0.454545454545	0.454545454545	22	32	16	16	0.888888888889	ccsd	ceL6Up5N32b2p2	/home/9pm/nUHubbard/runs/ce_eqtime_L6_thermometry_20260719/positive_lowbeta/Up5/Ntot032_n0.888889_b2p2_T0.454545_Nup016_Ndn016_r32_w5000_m50000_seed1907191043	1907191043	5000	50000	1	3	36	6	6	0.1	32	true	false
44	positive_lowbeta	Up5	5.0	2.5	0.400000000000	0.400000000000	25	32	16	16	0.888888888889	ccsd	ceL6Up5N32b2p5	/home/9pm/nUHubbard/runs/ce_eqtime_L6_thermometry_20260719/positive_lowbeta/Up5/Ntot032_n0.888889_b2p5_T0.400000_Nup016_Ndn016_r32_w5000_m50000_seed1907191044	1907191044	5000	50000	1	3	36	6	6	0.1	32	true	false
45	positive_lowbeta	Up5	5.0	2.9	0.344827586207	0.344827586207	29	32	16	16	0.888888888889	ccsd	ceL6Up5N32b2p9	/home/9pm/nUHubbard/runs/ce_eqtime_L6_thermometry_20260719/positive_lowbeta/Up5/Ntot032_n0.888889_b2p9_T0.344828_Nup016_Ndn016_r32_w5000_m50000_seed1907191045	1907191045	5000	50000	1	3	36	6	6	0.1	32	true	false
46	positive_lowbeta	Up5	5.0	3.3	0.303030303030	0.303030303030	33	32	16	16	0.888888888889	ccsd	ceL6Up5N32b3p3	/home/9pm/nUHubbard/runs/ce_eqtime_L6_thermometry_20260719/positive_lowbeta/Up5/Ntot032_n0.888889_b3p3_T0.303030_Nup016_Ndn016_r32_w5000_m50000_seed1907191046	1907191046	5000	50000	1	3	36	6	6	0.1	32	true	false
47	positive_lowbeta	Up5	5.0	4.0	0.250000000000	0.250000000000	40	32	16	16	0.888888888889	ccsd	ceL6Up5N32b4p0	/home/9pm/nUHubbard/runs/ce_eqtime_L6_thermometry_20260719/positive_lowbeta/Up5/Ntot032_n0.888889_b4p0_T0.250000_Nup016_Ndn016_r32_w5000_m50000_seed1907191047	1907191047	5000	50000	1	3	36	6	6	0.1	32	true	false
