idx	U_label	U	beta	T	L6_Ntot_target	L6_target_density	L8_reference_Ntot	L8_reference_density	mu_L8_reference	source_manifests	source_out_parents	reference_status
43	Um3	-3.0	2.9	0.344827586207	12	0.333333333333	22	0.343750000000	-1.338065971776	scripts_interacting_qmc_ed_ce_gce_eqtime_L8_Um3_three_density_beta20_20260712_manifests_gce_prod_L8_Um3_three_density_found29_all.tsv	/home/9pm/nUHubbard/runs/dqmc_gce_eqtime_L8_Um3_three_density_beta20_20260712/ccsd/Ntot022_n0.343750_b2p9_T0p344828_mum1p338066	final_production
44	Um3	-3.0	3.3	0.303030303030	12	0.333333333333	22	0.343750000000	-1.316371051805	scripts_interacting_qmc_ed_ce_gce_eqtime_L8_Um3_three_density_beta20_20260712_manifests_gce_prod_L8_Um3_three_density_found29_all.tsv	/home/9pm/nUHubbard/runs/dqmc_gce_eqtime_L8_Um3_three_density_beta20_20260712/ccsd/Ntot022_n0.343750_b3p3_T0p303030_mum1p316371	final_production
45	Um3	-3.0	4.0	0.250000000000	12	0.333333333333	22	0.343750000000	-1.286724073715	scripts_interacting_qmc_ed_ce_gce_eqtime_L8_Um3_three_density_beta20_20260712_manifests_gce_prod_L8_Um3_three_density_found29_all.tsv	/home/9pm/nUHubbard/runs/dqmc_gce_eqtime_L8_Um3_three_density_beta20_20260712/ccsd/Ntot022_n0.343750_b4p0_T0p250000_mum1p286724	final_production
46	Um3	-3.0	5.0	0.200000000000	12	0.333333333333	22	0.343750000000	-1.255785763873	scripts_interacting_qmc_ed_ce_gce_eqtime_L8_Um3_three_density_beta20_20260712_manifests_gce_prod_L8_Um3_three_density_found29_all.tsv	/home/9pm/nUHubbard/runs/dqmc_gce_eqtime_L8_Um3_three_density_beta20_20260712/ccsd/Ntot022_n0.343750_b5p0_T0p200000_mum1p255786	final_production
47	Um3	-3.0	6.7	0.149253731343	12	0.333333333333	22	0.343750000000	-1.224782483323	scripts_interacting_qmc_ed_ce_gce_eqtime_L8_Um3_three_density_beta20_20260712_manifests_gce_prod_L8_Um3_three_density_found29_all.tsv	/home/9pm/nUHubbard/runs/dqmc_gce_eqtime_L8_Um3_three_density_beta20_20260712/cnms/Ntot022_n0.343750_b6p7_T0p149254_mum1p224782	final_production
48	Um3	-3.0	10.0	0.100000000000	12	0.333333333333	22	0.343750000000	-1.207415996337	scripts_interacting_qmc_ed_ce_gce_eqtime_L8_Um3_three_density_beta20_20260712_manifests_gce_prod_L8_Um3_three_density_found29_all.tsv	/home/9pm/nUHubbard/runs/dqmc_gce_eqtime_L8_Um3_three_density_beta20_20260712/cnms/Ntot022_n0.343750_b10p0_T0p100000_mum1p207416	final_production
49	Um3	-3.0	20.0	0.050000000000	12	0.333333333333	22	0.343750000000	-1.206860486707	scripts_interacting_qmc_ed_ce_gce_eqtime_L8_Um3_three_density_beta20_20260712_manifests_gce_prod_L8_Um3_three_density_found29_all.tsv	/home/9pm/nUHubbard/runs/dqmc_gce_eqtime_L8_Um3_three_density_beta20_20260712/cnms/Ntot022_n0.343750_b20p0_T0p050000_mum1p206860	final_production
50	Um3	-3.0	2.0	0.500000000000	18	0.500000000000	32	0.500000000000	-0.995097511979	scripts_interacting_qmc_ed_ce_gce_eqtime_L8_Um3_three_density_beta20_20260712_manifests_gce_prod_L8_Um3_three_density_found29_all.tsv	/home/9pm/nUHubbard/runs/dqmc_gce_eqtime_L8_Um3_three_density_beta20_20260712/ccsd/Ntot032_n0.500000_b2p0_T0p500000_mum0p995098	final_production
51	Um3	-3.0	2.2	0.454545454545	18	0.500000000000	32	0.500000000000	-0.974689258989	scripts_interacting_qmc_ed_ce_gce_eqtime_L8_Um3_three_density_beta20_20260712_manifests_gce_prod_L8_Um3_three_density_found29_all.tsv	/home/9pm/nUHubbard/runs/dqmc_gce_eqtime_L8_Um3_three_density_beta20_20260712/ccsd/Ntot032_n0.500000_b2p2_T0p454545_mum0p974689	final_production
52	Um3	-3.0	2.5	0.400000000000	18	0.500000000000	32	0.500000000000	-0.952409046870	scripts_interacting_qmc_ed_ce_gce_eqtime_L8_Um3_three_density_beta20_20260712_manifests_gce_prod_L8_Um3_three_density_found29_all.tsv	/home/9pm/nUHubbard/runs/dqmc_gce_eqtime_L8_Um3_three_density_beta20_20260712/ccsd/Ntot032_n0.500000_b2p5_T0p400000_mum0p952409	final_production
53	Um3	-3.0	2.9	0.344827586207	18	0.500000000000	32	0.500000000000	-0.932970039959	scripts_interacting_qmc_ed_ce_gce_eqtime_L8_Um3_three_density_beta20_20260712_manifests_gce_prod_L8_Um3_three_density_found29_all.tsv	/home/9pm/nUHubbard/runs/dqmc_gce_eqtime_L8_Um3_three_density_beta20_20260712/ccsd/Ntot032_n0.500000_b2p9_T0p344828_mum0p932970	final_production
54	Um3	-3.0	3.3	0.303030303030	18	0.500000000000	32	0.500000000000	-0.921189864367	scripts_interacting_qmc_ed_ce_gce_eqtime_L8_Um3_three_density_beta20_20260712_manifests_gce_prod_L8_Um3_three_density_found29_all.tsv	/home/9pm/nUHubbard/runs/dqmc_gce_eqtime_L8_Um3_three_density_beta20_20260712/ccsd/Ntot032_n0.500000_b3p3_T0p303030_mum0p921190	final_production
55	Um3	-3.0	4.0	0.250000000000	18	0.500000000000	32	0.500000000000	-0.910117561257	scripts_interacting_qmc_ed_ce_gce_eqtime_L8_Um3_three_density_beta20_20260712_manifests_gce_prod_L8_Um3_three_density_found29_all.tsv	/home/9pm/nUHubbard/runs/dqmc_gce_eqtime_L8_Um3_three_density_beta20_20260712/ccsd/Ntot032_n0.500000_b4p0_T0p250000_mum0p910118	final_production
56	Um3	-3.0	5.0	0.200000000000	18	0.500000000000	32	0.500000000000	-0.903510157660	scripts_interacting_qmc_ed_ce_gce_eqtime_L8_Um3_three_density_beta20_20260712_manifests_gce_prod_L8_Um3_three_density_found29_all.tsv	/home/9pm/nUHubbard/runs/dqmc_gce_eqtime_L8_Um3_three_density_beta20_20260712/ccsd/Ntot032_n0.500000_b5p0_T0p200000_mum0p903510	final_production
57	Um3	-3.0	6.7	0.149253731343	18	0.500000000000	32	0.500000000000	-0.898528780395	scripts_interacting_qmc_ed_ce_gce_eqtime_L8_Um3_three_density_beta20_20260712_manifests_gce_prod_L8_Um3_three_density_found29_all.tsv	/home/9pm/nUHubbard/runs/dqmc_gce_eqtime_L8_Um3_three_density_beta20_20260712/cnms/Ntot032_n0.500000_b6p7_T0p149254_mum0p898529	final_production
58	Um3	-3.0	10.0	0.100000000000	18	0.500000000000	32	0.500000000000	-0.892327158267	scripts_interacting_qmc_ed_ce_gce_eqtime_L8_Um3_three_density_beta20_20260712_manifests_gce_prod_L8_Um3_three_density_found29_all.tsv	/home/9pm/nUHubbard/runs/dqmc_gce_eqtime_L8_Um3_three_density_beta20_20260712/cnms/Ntot032_n0.500000_b10p0_T0p100000_mum0p892327	final_production
59	Um3	-3.0	20.0	0.050000000000	18	0.500000000000	32	0.500000000000	-0.888926365689	scripts_interacting_qmc_ed_ce_gce_eqtime_L8_Um3_three_density_beta20_20260712_manifests_gce_prod_L8_Um3_three_density_remaining_N32_beta20_cnms.tsv	/home/9pm/nUHubbard/runs/dqmc_gce_eqtime_L8_Um3_three_density_beta20_20260712/cnms/Ntot032_n0.500000_b20p0_T0p050000_mum0p888926	final_production
60	Um3	-3.0	2.0	0.500000000000	26	0.722222222222	46	0.718750000000	-0.512139415341	scripts_interacting_qmc_ed_gce_prod_L8_found_mu_N46_allU_Up5small_beta_le10_20260713_manifests_gce_prod_L8_found_mu_attractive_20260713_all.tsv	/home/9pm/nUHubbard/runs/dqmc_gce_eqtime_L8_N46_Um3_Um5_beta_le10_foundmu_20260713/ccsd/Um3/Ntot046_n0.718750_beta2p0	final_production
61	Um3	-3.0	2.2	0.454545454545	26	0.722222222222	46	0.718750000000	-0.497167820575	scripts_interacting_qmc_ed_gce_prod_L8_found_mu_N46_allU_Up5small_beta_le10_20260713_manifests_gce_prod_L8_found_mu_attractive_20260713_all.tsv	/home/9pm/nUHubbard/runs/dqmc_gce_eqtime_L8_N46_Um3_Um5_beta_le10_foundmu_20260713/ccsd/Um3/Ntot046_n0.718750_beta2p2	final_production
62	Um3	-3.0	2.5	0.400000000000	26	0.722222222222	46	0.718750000000	-0.478860444131	scripts_interacting_qmc_ed_gce_prod_L8_found_mu_N46_allU_Up5small_beta_le10_20260713_manifests_gce_prod_L8_found_mu_attractive_20260713_all.tsv	/home/9pm/nUHubbard/runs/dqmc_gce_eqtime_L8_N46_Um3_Um5_beta_le10_foundmu_20260713/ccsd/Um3/Ntot046_n0.718750_beta2p5	final_production
