idx	stage	U_label	U	beta	target_T	actual_T	Ltau	Ntot	Nup	Ndn	density	account	job_tag	outdir	seed	nwarmups	max_batches	batch_nsamples	measure_interval	cluster_size	Lx	Ly	dtau	expected_ranks	phase_reweighted	force_symmetry
13	positive_pilot	Up5	5.0	6.7	0.149253731343	0.149253731343	67	12	6	6	0.333333333333	ccsd	ceL6Up5N12b6p7Pilot	/home/9pm/nUHubbard/runs/ce_eqtime_L6_thermometry_20260719/positive_pilot/Up5/Ntot012_n0.333333_b6p7_T0.149254_Nup006_Ndn006_r32_w2000_m10000_seed1907192013	1907192013	2000	10000	1	3	36	6	6	0.1	32	true	false
14	positive_pilot	Up5	5.0	10.0	0.100000000000	0.100000000000	100	12	6	6	0.333333333333	ccsd	ceL6Up5N12b10p0Pilot	/home/9pm/nUHubbard/runs/ce_eqtime_L6_thermometry_20260719/positive_pilot/Up5/Ntot012_n0.333333_b10p0_T0.100000_Nup006_Ndn006_r32_w2000_m10000_seed1907192014	1907192014	2000	10000	1	3	36	6	6	0.1	32	true	false
15	positive_pilot	Up5	5.0	5.0	0.200000000000	0.200000000000	50	18	9	9	0.500000000000	ccsd	ceL6Up5N18b5p0Pilot	/home/9pm/nUHubbard/runs/ce_eqtime_L6_thermometry_20260719/positive_pilot/Up5/Ntot018_n0.500000_b5p0_T0.200000_Nup009_Ndn009_r32_w2000_m10000_seed1907192015	1907192015	2000	10000	1	3	36	6	6	0.1	32	true	false
16	positive_pilot	Up5	5.0	6.7	0.149253731343	0.149253731343	67	18	9	9	0.500000000000	ccsd	ceL6Up5N18b6p7Pilot	/home/9pm/nUHubbard/runs/ce_eqtime_L6_thermometry_20260719/positive_pilot/Up5/Ntot018_n0.500000_b6p7_T0.149254_Nup009_Ndn009_r32_w2000_m10000_seed1907192016	1907192016	2000	10000	1	3	36	6	6	0.1	32	true	false
17	positive_pilot	Up5	5.0	10.0	0.100000000000	0.100000000000	100	18	9	9	0.500000000000	ccsd	ceL6Up5N18b10p0Pilot	/home/9pm/nUHubbard/runs/ce_eqtime_L6_thermometry_20260719/positive_pilot/Up5/Ntot018_n0.500000_b10p0_T0.100000_Nup009_Ndn009_r32_w2000_m10000_seed1907192017	1907192017	2000	10000	1	3	36	6	6	0.1	32	true	false
18	positive_pilot	Up5	5.0	5.0	0.200000000000	0.200000000000	50	26	13	13	0.722222222222	ccsd	ceL6Up5N26b5p0Pilot	/home/9pm/nUHubbard/runs/ce_eqtime_L6_thermometry_20260719/positive_pilot/Up5/Ntot026_n0.722222_b5p0_T0.200000_Nup013_Ndn013_r32_w2000_m10000_seed1907192018	1907192018	2000	10000	1	3	36	6	6	0.1	32	true	false
19	positive_pilot	Up5	5.0	6.7	0.149253731343	0.149253731343	67	26	13	13	0.722222222222	ccsd	ceL6Up5N26b6p7Pilot	/home/9pm/nUHubbard/runs/ce_eqtime_L6_thermometry_20260719/positive_pilot/Up5/Ntot026_n0.722222_b6p7_T0.149254_Nup013_Ndn013_r32_w2000_m10000_seed1907192019	1907192019	2000	10000	1	3	36	6	6	0.1	32	true	false
20	positive_pilot	Up5	5.0	10.0	0.100000000000	0.100000000000	100	26	13	13	0.722222222222	ccsd	ceL6Up5N26b10p0Pilot	/home/9pm/nUHubbard/runs/ce_eqtime_L6_thermometry_20260719/positive_pilot/Up5/Ntot026_n0.722222_b10p0_T0.100000_Nup013_Ndn013_r32_w2000_m10000_seed1907192020	1907192020	2000	10000	1	3	36	6	6	0.1	32	true	false
21	positive_pilot	Up5	5.0	5.0	0.200000000000	0.200000000000	50	32	16	16	0.888888888889	ccsd	ceL6Up5N32b5p0Pilot	/home/9pm/nUHubbard/runs/ce_eqtime_L6_thermometry_20260719/positive_pilot/Up5/Ntot032_n0.888889_b5p0_T0.200000_Nup016_Ndn016_r32_w2000_m10000_seed1907192021	1907192021	2000	10000	1	3	36	6	6	0.1	32	true	false
22	positive_pilot	Up5	5.0	6.7	0.149253731343	0.149253731343	67	32	16	16	0.888888888889	ccsd	ceL6Up5N32b6p7Pilot	/home/9pm/nUHubbard/runs/ce_eqtime_L6_thermometry_20260719/positive_pilot/Up5/Ntot032_n0.888889_b6p7_T0.149254_Nup016_Ndn016_r32_w2000_m10000_seed1907192022	1907192022	2000	10000	1	3	36	6	6	0.1	32	true	false
23	positive_pilot	Up5	5.0	10.0	0.100000000000	0.100000000000	100	32	16	16	0.888888888889	ccsd	ceL6Up5N32b10p0Pilot	/home/9pm/nUHubbard/runs/ce_eqtime_L6_thermometry_20260719/positive_pilot/Up5/Ntot032_n0.888889_b10p0_T0.100000_Nup016_Ndn016_r32_w2000_m10000_seed1907192023	1907192023	2000	10000	1	3	36	6	6	0.1	32	true	false
