idx	U_label	U	Ntot_target	target_density	beta	T	mu_L8_reference	L8_reference_Ntot	L8_reference_density	mu_probe	mu_label	probe_offset	probe_role	Lx	Ly	dtau	ntherm	nmeasurements	nbins	nupdates	account	out_parent	sid	seed	target_key	tuning_status	source_manifests	job_tag
0	Um3	-3.0	2	0.500000000000	0.2	5.000000000000	0.000000000000	32	0.500000000000	0.000000000000	p0p000000	0.00	smoke	2	2	0.1	1	2	1	1	ccsd	/home/9pm/nUHubbard/runs/ce_gce_eqtime_L6_thermometry_20260719_smoke/gce/attractive	918000000	1910000000	smoke_Um3	smoke_only	smoke_only	smokeMuL6Um3
1	Up3	3.0	2	0.500000000000	0.2	5.000000000000	0.000000000000	32	0.500000000000	0.000000000000	p0p000000	0.00	smoke	2	2	0.1	1	2	1	1	ccsd	/home/9pm/nUHubbard/runs/ce_gce_eqtime_L6_thermometry_20260719_smoke/gce/spinHS	918000001	1910000001	smoke_Up3	smoke_only	smoke_only	smokeMuL6Up3
