idx	stage	U_label	U	beta	target_T	actual_T	Ltau	Ntot	Nup	Ndn	density	account	job_tag	outdir	seed	nwarmups	max_batches	batch_nsamples	measure_interval	cluster_size	Lx	Ly	dtau	expected_ranks	phase_reweighted	force_symmetry
15	attractive	Um5	-5.0	5.0	0.200000000000	0.200000000000	50	18	9	9	0.500000000000	ccsd	ceL6Um5N18b5p0	/home/9pm/nUHubbard/runs/ce_eqtime_L6_thermometry_20260719/attractive/Um5/Ntot018_n0.500000_b5p0_T0.200000_Nup009_Ndn009_r32_w5000_m50000_seed1907190015	1907190015	5000	50000	1	3	36	6	6	0.1	32	false	driver_default
16	attractive	Um5	-5.0	6.7	0.149253731343	0.149253731343	67	18	9	9	0.500000000000	ccsd	ceL6Um5N18b6p7	/home/9pm/nUHubbard/runs/ce_eqtime_L6_thermometry_20260719/attractive/Um5/Ntot018_n0.500000_b6p7_T0.149254_Nup009_Ndn009_r32_w5000_m50000_seed1907190016	1907190016	5000	50000	1	3	36	6	6	0.1	32	false	driver_default
17	attractive	Um5	-5.0	10.0	0.100000000000	0.100000000000	100	18	9	9	0.500000000000	ccsd	ceL6Um5N18b10p0	/home/9pm/nUHubbard/runs/ce_eqtime_L6_thermometry_20260719/attractive/Um5/Ntot018_n0.500000_b10p0_T0.100000_Nup009_Ndn009_r32_w5000_m50000_seed1907190017	1907190017	5000	50000	1	3	36	6	6	0.1	32	false	driver_default
18	attractive	Um5	-5.0	2.0	0.500000000000	0.500000000000	20	26	13	13	0.722222222222	ccsd	ceL6Um5N26b2p0	/home/9pm/nUHubbard/runs/ce_eqtime_L6_thermometry_20260719/attractive/Um5/Ntot026_n0.722222_b2p0_T0.500000_Nup013_Ndn013_r32_w5000_m50000_seed1907190018	1907190018	5000	50000	1	3	36	6	6	0.1	32	false	driver_default
19	attractive	Um5	-5.0	2.2	0.454545454545	0.454545454545	22	26	13	13	0.722222222222	ccsd	ceL6Um5N26b2p2	/home/9pm/nUHubbard/runs/ce_eqtime_L6_thermometry_20260719/attractive/Um5/Ntot026_n0.722222_b2p2_T0.454545_Nup013_Ndn013_r32_w5000_m50000_seed1907190019	1907190019	5000	50000	1	3	36	6	6	0.1	32	false	driver_default
20	attractive	Um5	-5.0	2.5	0.400000000000	0.400000000000	25	26	13	13	0.722222222222	ccsd	ceL6Um5N26b2p5	/home/9pm/nUHubbard/runs/ce_eqtime_L6_thermometry_20260719/attractive/Um5/Ntot026_n0.722222_b2p5_T0.400000_Nup013_Ndn013_r32_w5000_m50000_seed1907190020	1907190020	5000	50000	1	3	36	6	6	0.1	32	false	driver_default
21	attractive	Um5	-5.0	2.9	0.344827586207	0.344827586207	29	26	13	13	0.722222222222	ccsd	ceL6Um5N26b2p9	/home/9pm/nUHubbard/runs/ce_eqtime_L6_thermometry_20260719/attractive/Um5/Ntot026_n0.722222_b2p9_T0.344828_Nup013_Ndn013_r32_w5000_m50000_seed1907190021	1907190021	5000	50000	1	3	36	6	6	0.1	32	false	driver_default
22	attractive	Um5	-5.0	3.3	0.303030303030	0.303030303030	33	26	13	13	0.722222222222	ccsd	ceL6Um5N26b3p3	/home/9pm/nUHubbard/runs/ce_eqtime_L6_thermometry_20260719/attractive/Um5/Ntot026_n0.722222_b3p3_T0.303030_Nup013_Ndn013_r32_w5000_m50000_seed1907190022	1907190022	5000	50000	1	3	36	6	6	0.1	32	false	driver_default
23	attractive	Um5	-5.0	4.0	0.250000000000	0.250000000000	40	26	13	13	0.722222222222	ccsd	ceL6Um5N26b4p0	/home/9pm/nUHubbard/runs/ce_eqtime_L6_thermometry_20260719/attractive/Um5/Ntot026_n0.722222_b4p0_T0.250000_Nup013_Ndn013_r32_w5000_m50000_seed1907190023	1907190023	5000	50000	1	3	36	6	6	0.1	32	false	driver_default
24	attractive	Um5	-5.0	5.0	0.200000000000	0.200000000000	50	26	13	13	0.722222222222	ccsd	ceL6Um5N26b5p0	/home/9pm/nUHubbard/runs/ce_eqtime_L6_thermometry_20260719/attractive/Um5/Ntot026_n0.722222_b5p0_T0.200000_Nup013_Ndn013_r32_w5000_m50000_seed1907190024	1907190024	5000	50000	1	3	36	6	6	0.1	32	false	driver_default
25	attractive	Um5	-5.0	6.7	0.149253731343	0.149253731343	67	26	13	13	0.722222222222	ccsd	ceL6Um5N26b6p7	/home/9pm/nUHubbard/runs/ce_eqtime_L6_thermometry_20260719/attractive/Um5/Ntot026_n0.722222_b6p7_T0.149254_Nup013_Ndn013_r32_w5000_m50000_seed1907190025	1907190025	5000	50000	1	3	36	6	6	0.1	32	false	driver_default
26	attractive	Um5	-5.0	10.0	0.100000000000	0.100000000000	100	26	13	13	0.722222222222	ccsd	ceL6Um5N26b10p0	/home/9pm/nUHubbard/runs/ce_eqtime_L6_thermometry_20260719/attractive/Um5/Ntot026_n0.722222_b10p0_T0.100000_Nup013_Ndn013_r32_w5000_m50000_seed1907190026	1907190026	5000	50000	1	3	36	6	6	0.1	32	false	driver_default
27	attractive	Um5	-5.0	2.0	0.500000000000	0.500000000000	20	32	16	16	0.888888888889	ccsd	ceL6Um5N32b2p0	/home/9pm/nUHubbard/runs/ce_eqtime_L6_thermometry_20260719/attractive/Um5/Ntot032_n0.888889_b2p0_T0.500000_Nup016_Ndn016_r32_w5000_m50000_seed1907190027	1907190027	5000	50000	1	3	36	6	6	0.1	32	false	driver_default
