beta	total_energy	total_energy_per_site	total_energy_per_particle
1.000000000000	-3.519503052316	-0.439937881539	-0.439937881539
1.100000000000	-3.800195436400	-0.475024429550	-0.475024429550
1.200000000000	-4.035826958864	-0.504478369858	-0.504478369858
1.300000000000	-4.237579004930	-0.529697375616	-0.529697375616
1.400000000000	-4.413393496889	-0.551674187111	-0.551674187111
1.500000000000	-4.568864890736	-0.571108111342	-0.571108111342
1.600000000000	-4.707909082306	-0.588488635288	-0.588488635288
1.700000000000	-4.833258876831	-0.604157359604	-0.604157359604
1.800000000000	-4.946828379210	-0.618353547401	-0.618353547401
1.900000000000	-5.049978991539	-0.631247373942	-0.631247373942
2.000000000000	-5.143711175791	-0.642963896974	-0.642963896974
2.100000000000	-5.228799778360	-0.653599972295	-0.653599972295
2.200000000000	-5.305886367882	-0.663235795985	-0.663235795985
2.300000000000	-5.375539142868	-0.671942392859	-0.671942392859
2.400000000000	-5.438288942585	-0.679786117823	-0.679786117823
2.500000000000	-5.494648319073	-0.686831039884	-0.686831039884
2.600000000000	-5.545119262991	-0.693139907874	-0.693139907874
2.700000000000	-5.590193931313	-0.698774241414	-0.698774241414
2.800000000000	-5.630351598384	-0.703793949798	-0.703793949798
2.900000000000	-5.666054073563	-0.708256759195	-0.708256759195
3.000000000000	-5.697741026116	-0.712217628265	-0.712217628265
3.100000000000	-5.725826040528	-0.715728255066	-0.715728255066
3.200000000000	-5.750693782219	-0.718836722777	-0.718836722777
3.300000000000	-5.772698359926	-0.721587294991	-0.721587294991
3.400000000000	-5.792162795182	-0.724020349398	-0.724020349398
3.500000000000	-5.809379419623	-0.726172427453	-0.726172427453
3.600000000000	-5.824610989265	-0.728076373658	-0.728076373658
3.700000000000	-5.838092309099	-0.729761538637	-0.729761538637
3.800000000000	-5.850032185060	-0.731254023132	-0.731254023132
3.900000000000	-5.860615552413	-0.732576944052	-0.732576944052
4.000000000000	-5.870005662983	-0.733750707873	-0.733750707873
4.100000000000	-5.878346244442	-0.734793280555	-0.734793280555
4.200000000000	-5.885763571254	-0.735720446407	-0.735720446407
4.300000000000	-5.892368408260	-0.736546051032	-0.736546051032
4.400000000000	-5.898257804470	-0.737282225559	-0.737282225559
4.500000000000	-5.903516727007	-0.737939590876	-0.737939590876
4.600000000000	-5.908219533952	-0.738527441744	-0.738527441744
4.700000000000	-5.912431290898	-0.739053911362	-0.739053911362
4.800000000000	-5.916208939872	-0.739526117484	-0.739526117484
4.900000000000	-5.919602331522	-0.739950291440	-0.739950291440
5.000000000000	-5.922655132577	-0.740331891572	-0.740331891572
5.100000000000	-5.925405620834	-0.740675702604	-0.740675702604
5.200000000000	-5.927887379668	-0.740985922458	-0.740985922458
5.300000000000	-5.930129903432	-0.741266237929	-0.741266237929
5.400000000000	-5.932159124284	-0.741519890536	-0.741519890536
5.500000000000	-5.933997870077	-0.741749733760	-0.741749733760
5.600000000000	-5.935666261964	-0.741958282745	-0.741958282745
5.700000000000	-5.937182059484	-0.742147757435	-0.742147757435
5.800000000000	-5.938560959955	-0.742320119994	-0.742320119994
5.900000000000	-5.939816858230	-0.742477107279	-0.742477107279
6.000000000000	-5.940962072093	-0.742620259012	-0.742620259012
6.100000000000	-5.942007537895	-0.742750942237	-0.742750942237
6.200000000000	-5.942962980470	-0.742870372559	-0.742870372559
6.300000000000	-5.943837060776	-0.742979632597	-0.742979632597
6.400000000000	-5.944637504304	-0.743079688038	-0.743079688038
6.500000000000	-5.945371212834	-0.743171401604	-0.743171401604
6.600000000000	-5.946044361820	-0.743255545227	-0.743255545227
6.700000000000	-5.946662485305	-0.743332810663	-0.743332810663
6.800000000000	-5.947230550083	-0.743403818760	-0.743403818760
6.900000000000	-5.947753020514	-0.743469127564	-0.743469127564
7.000000000000	-5.948233915264	-0.743529239408	-0.743529239408
7.100000000000	-5.948676857027	-0.743584607128	-0.743584607128
7.200000000000	-5.949085116163	-0.743635639520	-0.743635639520
7.300000000000	-5.949461649040	-0.743682706130	-0.743682706130
7.400000000000	-5.949809131781	-0.743726141473	-0.743726141473
7.500000000000	-5.950129990004	-0.743766248750	-0.743766248750
7.600000000000	-5.950426425059	-0.743803303132	-0.743803303132
7.700000000000	-5.950700437235	-0.743837554654	-0.743837554654
7.800000000000	-5.950953846284	-0.743869230785	-0.743869230785
7.900000000000	-5.951188309626	-0.743898538703	-0.743898538703
8.000000000000	-5.951405338507	-0.743925667313	-0.743925667313
8.100000000000	-5.951606312367	-0.743950789046	-0.743950789046
8.200000000000	-5.951792491632	-0.743974061454	-0.743974061454
8.300000000000	-5.951965029124	-0.743995628641	-0.743995628641
8.400000000000	-5.952124980248	-0.744015622531	-0.744015622531
8.500000000000	-5.952273312104	-0.744034164013	-0.744034164013
8.600000000000	-5.952410911653	-0.744051363957	-0.744051363957
8.700000000000	-5.952538593033	-0.744067324129	-0.744067324129
8.800000000000	-5.952657104138	-0.744082138017	-0.744082138017
8.900000000000	-5.952767132531	-0.744095891566	-0.744095891566
9.000000000000	-5.952869310775	-0.744108663847	-0.744108663847
9.100000000000	-5.952964221230	-0.744120527654	-0.744120527654
9.200000000000	-5.953052400400	-0.744131550050	-0.744131550050
9.300000000000	-5.953134342853	-0.744141792857	-0.744141792857
9.400000000000	-5.953210504773	-0.744151313097	-0.744151313097
9.500000000000	-5.953281307178	-0.744160163397	-0.744160163397
9.600000000000	-5.953347138848	-0.744168392356	-0.744168392356
