beta	temperature	nsites	canonical_n	mu_grand_canonical	avg_n_grand_canonical	energy_per_particle_grand_canonical	energy_per_particle_canonical
1.000000	1.000000000000	10189	5095	0.000332809008	5095.000000000000	-1.249903317740	-1.249963046661
2.000000	0.500000000000	10189	5095	0.000267098545	5095.000000000000	-1.487763342998	-1.487799139341
3.000000	0.333333333333	10189	5095	0.000240750936	5095.000000000000	-1.549081084467	-1.549105834398
4.000000	0.250000000000	10189	5095	0.000224989231	5095.000000000000	-1.573416805719	-1.573435754242
5.000000	0.200000000000	10189	5095	0.000214116180	5095.000000000000	-1.585634578045	-1.585649955948
6.000000	0.166666666667	10189	5095	0.000205991890	5095.000000000000	-1.592682062794	-1.592695017060
7.000000	0.142857142857	10189	5095	0.000199599238	5095.000000000000	-1.597136937080	-1.597148136205
8.000000	0.125000000000	10189	5095	0.000194383427	5095.000000000000	-1.600142310545	-1.600152178773
9.000000	0.111111111111	10189	5095	0.000190012137	5095.000000000000	-1.602271026855	-1.602279850525
10.000000	0.100000000000	10189	5095	0.000186272244	5095.000000000000	-1.603837002760	-1.603844984372
11.000000	0.090909090909	10189	5095	0.000183019759	5095.000000000000	-1.605024451754	-1.605031739866
12.000000	0.083333333333	10189	5095	0.000180153314	5095.000000000000	-1.605947494694	-1.605954201562
13.000000	0.076923076923	10189	5095	0.000177599126	5095.000000000000	-1.606680011947	-1.606686224484
14.000000	0.071428571429	10189	5095	0.000175301983	5095.000000000000	-1.607271610944	-1.607277397831
15.000000	0.066666666667	10189	5095	0.000173219596	5095.000000000000	-1.607756641971	-1.607762058424
16.000000	0.062500000000	10189	5095	0.000171318910	5095.000000000000	-1.608159524678	-1.608164615751
17.000000	0.058823529412	10189	5095	0.000169573630	5095.000000000000	-1.608498018538	-1.608502821465
18.000000	0.055555555556	10189	5095	0.000167962505	5095.000000000000	-1.608785298624	-1.608789844518
19.000000	0.052631578947	10189	5095	0.000166468111	5095.000000000000	-1.609031311716	-1.609035626826
20.000000	0.050000000000	10189	5095	0.000165075972	5095.000000000000	-1.609243685032	-1.609247791692
21.000000	0.047619047619	10189	5095	0.000163773916	5095.000000000000	-1.609428349022	-1.609432266376
22.000000	0.045454545455	10189	5095	0.000162551591	5095.000000000000	-1.609589972857	-1.609593717423
23.000000	0.043478260870	10189	5095	0.000161400101	5095.000000000000	-1.609732274486	-1.609735860603
24.000000	0.041666666667	10189	5095	0.000160311729	5095.000000000000	-1.609858245016	-1.609861685196
25.000000	0.040000000000	10189	5095	0.000159279724	5095.000000000000	-1.609970313507	-1.609973618723
26.000000	0.038461538462	10189	5095	0.000158298132	5095.000000000000	-1.610070469645	-1.610073649565
27.000000	0.037037037037	10189	5095	0.000157361672	5095.000000000000	-1.610160356199	-1.610163419379
28.000000	0.035714285714	10189	5095	0.000156465629	5095.000000000000	-1.610241339491	-1.610244293533
29.000000	0.034482758621	10189	5095	0.000155605775	5095.000000000000	-1.610314563672	-1.610317415361
30.000000	0.033333333333	10189	5095	0.000154778308	5095.000000000000	-1.610380992936	-1.610383748348
31.000000	0.032258064516	10189	5095	0.000153979791	5095.000000000000	-1.610441444640	-1.610444109242
32.000000	0.031250000000	10189	5095	0.000153207119	5095.000000000000	-1.610496615509	-1.610499194235
33.000000	0.030303030303	10189	5095	0.000152457477	5095.000000000000	-1.610547102526	-1.610549599850
34.000000	0.029411764706	10189	5095	0.000151728313	5095.000000000000	-1.610593419717	-1.610595839710
35.000000	0.028571428571	10189	5095	0.000151017312	5095.000000000000	-1.610636011718	-1.610638358097
36.000000	0.027777777778	10189	5095	0.000150322375	5095.000000000000	-1.610675264807	-1.610677540981
37.000000	0.027027027027	10189	5095	0.000149641601	5095.000000000000	-1.610711515951	-1.610713725057
38.000000	0.026315789474	10189	5095	0.000148973268	5095.000000000000	-1.610745060237	-1.610747205170
39.000000	0.025641025641	10189	5095	0.000148315820	5095.000000000000	-1.610776157031	-1.610778240477
40.000000	0.025000000000	10189	5095	0.000147667854	5095.000000000000	-1.610805035098	-1.610807059553
41.000000	0.024390243902	10189	5095	0.000147028106	5095.000000000000	-1.610831896884	-1.610833864676
42.000000	0.023809523810	10189	5095	0.000146395442	5095.000000000000	-1.610856922103	-1.610858835411
43.000000	0.023255813953	10189	5095	0.000145768846	5095.000000000000	-1.610880270773	-1.610882131643
44.000000	0.022727272727	10189	5095	0.000145147411	5095.000000000000	-1.610902085778	-1.610903896136
45.000000	0.022222222222	10189	5095	0.000144530333	5095.000000000000	-1.610922495049	-1.610924256711
46.000000	0.021739130435	10189	5095	0.000143916897	5095.000000000000	-1.610941613428	-1.610943328112
47.000000	0.021276595745	10189	5095	0.000143306477	5095.000000000000	-1.610959544255	-1.610961213591
48.000000	0.020833333333	10189	5095	0.000142698521	5095.000000000000	-1.610976380746	-1.610978006280
49.000000	0.020408163265	10189	5095	0.000142092549	5095.000000000000	-1.610992207166	-1.610993790373
50.000000	0.020000000000	10189	5095	0.000141488149	5095.000000000000	-1.611007099859	-1.611008642143
51.000000	0.019607843137	10189	5095	0.000140884965	5095.000000000000	-1.611021128128	-1.611022630830
52.000000	0.019230769231	10189	5095	0.000140282696	5095.000000000000	-1.611034355011	-1.611035819414
53.000000	0.018867924528	10189	5095	0.000139681091	5095.000000000000	-1.611046837950	-1.611048265284
54.000000	0.018518518519	10189	5095	0.000139079942	5095.000000000000	-1.611058629388	-1.611060020830
55.000000	0.018181818182	10189	5095	0.000138479082	5095.000000000000	-1.611069777278	-1.611071133960
56.000000	0.017857142857	10189	5095	0.000137878379	5095.000000000000	-1.611080325547	-1.611081648555
57.000000	0.017543859649	10189	5095	0.000137277736	5095.000000000000	-1.611090314491	-1.611091604870
58.000000	0.017241379310	10189	5095	0.000136677081	5095.000000000000	-1.611099781132	-1.611101039887
59.000000	0.016949152542	10189	5095	0.000136076372	5095.000000000000	-1.611108759535	-1.611109987635
60.000000	0.016666666667	10189	5095	0.000135475589	5095.000000000000	-1.611117281086	-1.611118479464
61.000000	0.016393442623	10189	5095	0.000134874729	5095.000000000000	-1.611125374742	-1.611126544297
62.000000	0.016129032258	10189	5095	0.000134273812	5095.000000000000	-1.611133067252	-1.611134208851
63.000000	0.015873015873	10189	5095	0.000133672870	5095.000000000000	-1.611140383353	-1.611141497834
64.000000	0.015625000000	10189	5095	0.000133071950	5095.000000000000	-1.611147345956	-1.611148434127
65.000000	0.015384615385	10189	5095	0.000132471112	5095.000000000000	-1.611153976296	-1.611155038938
66.000000	0.015151515152	10189	5095	0.000131870422	5095.000000000000	-1.611160294082	-1.611161331949
67.000000	0.014925373134	10189	5095	0.000131269959	5095.000000000000	-1.611166317624	-1.611167331443
68.000000	0.014705882353	10189	5095	0.000130669808	5095.000000000000	-1.611172063949	-1.611173054425
69.000000	0.014492753623	10189	5095	0.000130070057	5095.000000000000	-1.611177548907	-1.611178516720
70.000000	0.014285714286	10189	5095	0.000129470802	5095.000000000000	-1.611182787266	-1.611183733074
71.000000	0.014084507042	10189	5095	0.000128872141	5095.000000000000	-1.611187792798	-1.611188717239
72.000000	0.013888888889	10189	5095	0.000128274175	5095.000000000000	-1.611192578361	-1.611193482048
73.000000	0.013698630137	10189	5095	0.000127677008	5095.000000000000	-1.611197155964	-1.611198039492
74.000000	0.013513513514	10189	5095	0.000127080743	5095.000000000000	-1.611201536836	-1.611202400782
75.000000	0.013333333333	10189	5095	0.000126485485	5095.000000000000	-1.611205731485	-1.611206576406
76.000000	0.013157894737	10189	5095	0.000125891339	5095.000000000000	-1.611209749752	-1.611210576187
77.000000	0.012987012987	10189	5095	0.000125298407	5095.000000000000	-1.611213600858	-1.611214409328
78.000000	0.012820512821	10189	5095	0.000124706794	5095.000000000000	-1.611217293453	-1.611218084463
79.000000	0.012658227848	10189	5095	0.000124116600	5095.000000000000	-1.611220835653	-1.611221609692
80.000000	0.012500000000	10189	5095	0.000123527924	5095.000000000000	-1.611224235083	-1.611224992623
81.000000	0.012345679012	10189	5095	0.000122940865	5095.000000000000	-1.611227498906	-1.611228240406
82.000000	0.012195121951	10189	5095	0.000122355516	5095.000000000000	-1.611230633861	-1.611231359762
83.000000	0.012048192771	10189	5095	0.000121771970	5095.000000000000	-1.611233646287	-1.611234357020
84.000000	0.011904761905	10189	5095	0.000121190318	5095.000000000000	-1.611236542155	-1.611237238135
85.000000	0.011764705882	10189	5095	0.000120610644	5095.000000000000	-1.611239327089	-1.611240008718
86.000000	0.011627906977	10189	5095	0.000120033034	5095.000000000000	-1.611242006392	-1.611242674060
87.000000	0.011494252874	10189	5095	0.000119457568	5095.000000000000	-1.611244585066	-1.611245239150
88.000000	0.011363636364	10189	5095	0.000118884323	5095.000000000000	-1.611247067832	-1.611247708696
89.000000	0.011235955056	10189	5095	0.000118313373	5095.000000000000	-1.611249459147	-1.611250087146
90.000000	0.011111111111	10189	5095	0.000117744789	5095.000000000000	-1.611251763223	-1.611252378700
91.000000	0.010989010989	10189	5095	0.000117178638	5095.000000000000	-1.611253984041	-1.611254587328
92.000000	0.010869565217	10189	5095	0.000116614986	5095.000000000000	-1.611256125369	-1.611256716787
93.000000	0.010752688172	10189	5095	0.000116053893	5095.000000000000	-1.611258190768	-1.611258770629
