level_index	eigenvalue
1	-3.998239683648
2	-3.995531797325
3	-3.995531797325
4	-3.991979861142
5	-3.991970459462
6	-3.990729447868
7	-3.987617960323
8	-3.987617960323
9	-3.985031240479
10	-3.985031240479
11	-3.982506954686
12	-3.982473403535
13	-3.978470904945
14	-3.978452228001
15	-3.977236018055
16	-3.976613228225
17	-3.976613228225
18	-3.971049176062
19	-3.971049176062
20	-3.970014367292
21	-3.969991932821
22	-3.968556034106
23	-3.968556034106
24	-3.962854296379
25	-3.962783785435
26	-3.962673281503
27	-3.962673281503
28	-3.959013636616
29	-3.958995377715
30	-3.957788324116
31	-3.954672214256
32	-3.954596514441
33	-3.953791899363
34	-3.953791899363
35	-3.948601573171
36	-3.948601573171
37	-3.946154997155
38	-3.946154997155
39	-3.945887346796
40	-3.945887346796
41	-3.944004443804
42	-3.943965270668
43	-3.937426347650
44	-3.937308783024
45	-3.936567010679
46	-3.936374042950
47	-3.933639194904
48	-3.933634140590
49	-3.933413083999
50	-3.933413083999
51	-3.932428045821
52	-3.926362989325
53	-3.926362989325
54	-3.925317412846
55	-3.925317412846
56	-3.922152102034
57	-3.922033224250
58	-3.920282595595
59	-3.920282595595
60	-3.917849772551
61	-3.917849772551
62	-3.915599589988
63	-3.915542599854
64	-3.912506624377
65	-3.912447091948
66	-3.910029412856
67	-3.910029412856
68	-3.906185731254
69	-3.906008920089
70	-3.904121765830
71	-3.904121765830
72	-3.902462011880
73	-3.902380380372
74	-3.901214259160
75	-3.898845465727
76	-3.898845465727
77	-3.897397019375
78	-3.897085886828
79	-3.892091177787
80	-3.891908091271
81	-3.891101636920
82	-3.891101636920
83	-3.886156219012
84	-3.886156219012
85	-3.884546988979
86	-3.884368845811
87	-3.883768018596
88	-3.883768018595
89	-3.883703094848
90	-3.883703094848
91	-3.879221125005
92	-3.879221125005
93	-3.875341696051
94	-3.875250501369
95	-3.869575170181
96	-3.869567195698
97	-3.869307923281
98	-3.869307923281
99	-3.869184872355
100	-3.868897580665
101	-3.865890845164
102	-3.865683462996
103	-3.865530599595
104	-3.865306434959
105	-3.864198547218
106	-3.858722562865
107	-3.858722562865
108	-3.854634001146
109	-3.854634001146
110	-3.853640991153
111	-3.853199941669
112	-3.851737809010
113	-3.851737809010
114	-3.851152638841
115	-3.851152638841
116	-3.846273894850
117	-3.846273894850
118	-3.843864529786
119	-3.843864529786
120	-3.841479235197
121	-3.841235774830
122	-3.839171307312
123	-3.839016041802
124	-3.837041237823
125	-3.836919739025
126	-3.836802066113
127	-3.836802066113
128	-3.832528463061
129	-3.832379703654
130	-3.826484534715
131	-3.826204108793
132	-3.823256842599
133	-3.823256842599
134	-3.822933505641
135	-3.822896729970
136	-3.822896729970
137	-3.822479938259
138	-3.821538688975
139	-3.821538688975
140	-3.821516211990
141	-3.819521570981
142	-3.819401416443
143	-3.812999396063
144	-3.812999396063
145	-3.806440444795
146	-3.806184419982
147	-3.805599805883
148	-3.805599805883
149	-3.805311835216
150	-3.805121432316
151	-3.804686179678
152	-3.804091305564
153	-3.801446100369
154	-3.801446100369
155	-3.800753998729
156	-3.800753998729
157	-3.798322424811
158	-3.798322424811
159	-3.792915683385
160	-3.792594931414
161	-3.789478761936
162	-3.789478761936
163	-3.787861111646
164	-3.787861111646
165	-3.784789997655
166	-3.784789997655
167	-3.784162624821
168	-3.784160092437
169	-3.782847224438
170	-3.782353802021
171	-3.778185701440
172	-3.777865276078
173	-3.774916667816
174	-3.774022473963
175	-3.773159615621
176	-3.772432562944
177	-3.771955249195
178	-3.771768852328
179	-3.771768852328
180	-3.769774950158
181	-3.769414311075
182	-3.764584554343
183	-3.764408513361
184	-3.763303175966
185	-3.763303175966
186	-3.761754108386
187	-3.761754108386
188	-3.754628678780
189	-3.754628678780
190	-3.754285386528
191	-3.754285386528
192	-3.750877557317
193	-3.750877557317
194	-3.750433838300
195	-3.749656464981
196	-3.749642812025
197	-3.749642812025
198	-3.747126938558
199	-3.747126938558
200	-3.743464597586
201	-3.743464597586
202	-3.743390574070
203	-3.742979114390
204	-3.738920273874
205	-3.738579525365
206	-3.736260511808
207	-3.735761752366
208	-3.731487546754
209	-3.730833139418
210	-3.730300267585
211	-3.730137100321
212	-3.727624253108
213	-3.727624253108
214	-3.724381849285
215	-3.724025808651
216	-3.722405875315
217	-3.722405875315
218	-3.722007356218
219	-3.721696333574
220	-3.721113271474
221	-3.719878996210
222	-3.719231504423
223	-3.717050008846
224	-3.717050008846
225	-3.714913561453
226	-3.714913561453
227	-3.710966232929
228	-3.710966232929
229	-3.705144043085
230	-3.705144043085
231	-3.704568563692
232	-3.704317473006
233	-3.701134826477
234	-3.700952933188
235	-3.699522956839
236	-3.699522956839
237	-3.697826786556
238	-3.697826786556
239	-3.697576262604
240	-3.697267671873
241	-3.693407272935
242	-3.693407272935
243	-3.690886858297
244	-3.690745945350
245	-3.690448433189
246	-3.690448433189
247	-3.689733707007
248	-3.689636502534
249	-3.680633806474
250	-3.680633806474
251	-3.679612934437
252	-3.679196017517
253	-3.678879853366
254	-3.678879853366
255	-3.677299337234
256	-3.677299337234
257	-3.676630099126
258	-3.676044413941
259	-3.671105254342
260	-3.670827594813
261	-3.668611757013
262	-3.668611757013
263	-3.665224621626
264	-3.665224621626
265	-3.665203914831
266	-3.665105252854
267	-3.662442221521
268	-3.660271059634
269	-3.659950292816
270	-3.656770995313
271	-3.656600388115
272	-3.656322683463
273	-3.656206900797
274	-3.655998397900
275	-3.655731047751
276	-3.653065070434
277	-3.653065070434
278	-3.652406530405
279	-3.652406530405
280	-3.646488963784
281	-3.646394029588
282	-3.643244724353
283	-3.643244724353
284	-3.639456767641
285	-3.639127541091
286	-3.636313049156
287	-3.636313049156
288	-3.635368319796
289	-3.635368319796
290	-3.633033538502
291	-3.633033538502
292	-3.631755832386
293	-3.631755832386
294	-3.630699886326
295	-3.630699886326
296	-3.628524577379
297	-3.628197745303
298	-3.628197745303
299	-3.628104491178
