beta	temperature	nsites	canonical_n	mu_grand_canonical	avg_n_grand_canonical	energy_per_particle_grand_canonical	energy_per_particle_canonical	specific_heat_per_particle_grand_canonical	specific_heat_per_particle_canonical
1.000000	1.000000000000	197	99	0.016745225752	99.000000000000	-1.172020930030	-1.175007319628	0.325555513490	0.324127050787
2.000000	0.500000000000	197	99	0.013368800857	99.000000000000	-1.410154030132	-1.412002387012	0.602842746853	0.599452335927
3.000000	0.333333333333	197	99	0.012087316434	99.000000000000	-1.473442303457	-1.474733487591	0.398644413646	0.394756071044
4.000000	0.250000000000	197	99	0.011332914453	99.000000000000	-1.498741677609	-1.499725958355	0.303641609997	0.299544500094
5.000000	0.200000000000	197	99	0.010791501259	99.000000000000	-1.511397504706	-1.512176550103	0.248131384983	0.243633720608
6.000000	0.166666666667	197	99	0.010338743381	99.000000000000	-1.518592188408	-1.519216656003	0.209192596387	0.204207582160
7.000000	0.142857142857	197	99	0.009917861652	99.000000000000	-1.523019315617	-1.523521415778	0.178839815806	0.173441683502
8.000000	0.125000000000	197	99	0.009505800936	99.000000000000	-1.525891772726	-1.526295908391	0.153891844352	0.148254418119
9.000000	0.111111111111	197	99	0.009096823275	99.000000000000	-1.527828435753	-1.528154366344	0.132920854085	0.127237691755
10.000000	0.100000000000	197	99	0.008692924304	99.000000000000	-1.529173769124	-1.529437579793	0.115161131422	0.109594858375
11.000000	0.090909090909	197	99	0.008298517877	99.000000000000	-1.530131658381	-1.530346263512	0.100099979568	0.094764062777
12.000000	0.083333333333	197	99	0.007917878590	99.000000000000	-1.530828314240	-1.531003927938	0.087329986859	0.082290658986
13.000000	0.076923076923	197	99	0.007554181739	99.000000000000	-1.531344574865	-1.531489189331	0.076500511016	0.071787149541
14.000000	0.071428571429	197	99	0.007209347548	99.000000000000	-1.531733645732	-1.531853480003	0.067304096670	0.062920997435
15.000000	0.066666666667	197	99	0.006884220772	99.000000000000	-1.532031351362	-1.532131240325	0.059473194850	0.055409561277
16.000000	0.062500000000	197	99	0.006578843356	99.000000000000	-1.532262296353	-1.532346009437	0.052778545079	0.049015797396
17.000000	0.058823529412	197	99	0.006292712639	99.000000000000	-1.532443683746	-1.532514176243	0.047026780320	0.043543360434
18.000000	0.055555555556	197	99	0.006024988186	99.000000000000	-1.532587741199	-1.532647347571	0.042057019777	0.038831241318
19.000000	0.052631578947	197	99	0.005774642985	99.000000000000	-1.532703294979	-1.532753875263	0.037736846445	0.034748376779
20.000000	0.050000000000	197	99	0.005540567210	99.000000000000	-1.532796809600	-1.532839859354	0.033958124462	0.031188590065
21.000000	0.047619047619	197	99	0.005321635816	99.000000000000	-1.532873085601	-1.532909818213	0.030632996235	0.028066075474
22.000000	0.045454545455	197	99	0.005116750290	99.000000000000	-1.532935734753	-1.532967143143	0.027690262244	0.025311513217
23.000000	0.043478260870	197	99	0.004924862773	99.000000000000	-1.532987508172	-1.533014411243	0.025072235727	0.022868815417
24.000000	0.041666666667	197	99	0.004744988593	99.000000000000	-1.533030525815	-1.533053603693	0.022732089191	0.020692454645
25.000000	0.040000000000	197	99	0.004576211422	99.000000000000	-1.533066439038	-1.533086260044	0.020631664625	0.018745303031
26.000000	0.038461538462	197	99	0.004417683916	99.000000000000	-1.533096547142	-1.533113588663	0.018739696321	0.016996903480
27.000000	0.037037037037	197	99	0.004268625701	99.000000000000	-1.533121881926	-1.533136546741	0.017030386816	0.015422097575
28.000000	0.035714285714	197	99	0.004128319911	99.000000000000	-1.533143269739	-1.533155898944	0.015482276698	0.013999942655
29.000000	0.034482758621	197	99	0.003996109008	99.000000000000	-1.533161377530	-1.533172260880	0.014077353997	0.012712860255
30.000000	0.033333333333	197	99	0.003871390366	99.000000000000	-1.533176747394	-1.533186131668	0.012800355916	0.011545967880
31.000000	0.032258064516	197	99	0.003753611868	99.000000000000	-1.533189822765	-1.533197918587	0.011638223113	0.010486555036
32.000000	0.031250000000	197	99	0.003642267669	99.000000000000	-1.533200968462	-1.533207955924	0.010579673947	0.009523672170
33.000000	0.030303030303	197	99	0.003536894217	99.000000000000	-1.533210486191	-1.533216519509	0.009614872379	0.008647807785
34.000000	0.029411764706	197	99	0.003437066548	99.000000000000	-1.533218626630	-1.533223838032	0.008735168616	0.007850634188
35.000000	0.028571428571	197	99	0.003342394881	99.000000000000	-1.533225598939	-1.533230101921	0.007932896104	0.007124806630
36.000000	0.027777777778	197	99	0.003252521492	99.000000000000	-1.533231578297	-1.533235470369	0.007201211989	0.006463803999
37.000000	0.027027027027	197	99	0.003167117863	99.000000000000	-1.533236711921	-1.533240076927	0.006533971119	0.005861801848
38.000000	0.026315789474	197	99	0.003085882088	99.000000000000	-1.533241123909	-1.533244033995	0.005925625909	0.005313570615
39.000000	0.025641025641	197	99	0.003008536511	99.000000000000	-1.533244919159	-1.533247436443	0.005371146118	0.004814393487
40.000000	0.025000000000	197	99	0.002934825579	99.000000000000	-1.533248186560	-1.533250364558	0.004865954027	0.004359999663
41.000000	0.024390243902	197	99	0.002864513895	99.000000000000	-1.533251001601	-1.533252886443	0.004405871526	0.003946509631
42.000000	0.023809523810	197	99	0.002797384452	99.000000000000	-1.533253428525	-1.533255059989	0.003987076426	0.003570389937
