radius	nsites	lowest_eigenvalue	highest_eigenvalue
4.000000	49	-3.689900503928	3.689900503928
6.000000	113	-3.857406601470	3.857406601470
8.000000	197	-3.915631962547	3.915631962547
10.000000	317	-3.946655349144	3.946655349144
12.000000	441	-3.961266581650	3.961266581650
14.000000	613	-3.971875536771	3.971875536771
16.000000	797	-3.978233940229	3.978233940229
18.000000	1009	-3.982703666158	3.982703666158
20.000000	1257	-3.986064990767	3.986064990767
