temperature	kappa_grand_canonical	kappa_canonical
1.000000000000	0.147277129531	0.147281014023
0.500000000000	0.183474280549	0.183480014093
0.333333333333	0.203582257187	0.203590035950
0.250000000000	0.217884174901	0.217893874772
0.200000000000	0.228990838103	0.229002370734
0.166666666667	0.238064587112	0.238077886089
0.142857142857	0.245730884924	0.245745896850
0.125000000000	0.252365169397	0.252381852016
0.111111111111	0.258210452483	0.258228769315
0.100000000000	0.263433035616	0.263452953897
0.090909090909	0.268151713202	0.268173209109
0.083333333333	0.272454288857	0.272477335048
0.076923076923	0.276407489617	0.276432070101
0.071428571429	0.280063210167	0.280089298112
0.066666666667	0.283462604765	0.283490187715
0.062500000000	0.286638859682	0.286667916768
0.058823529412	0.289619125922	0.289649647270
0.055555555556	0.292425900239	0.292457863261
0.052631578947	0.295078033524	0.295111432504
0.050000000000	0.297591481425	0.297626310400
0.047619047619	0.299979872752	0.300016118007
0.045454545455	0.302254946630	0.302292591149
0.043478260870	0.304426893413	0.304465943319
0.041666666667	0.306504623881	0.306545076364
0.040000000000	0.308495984171	0.308537832094
0.038461538462	0.310407929061	0.310451177591
0.037037037037	0.312246662837	0.312291319195
0.035714285714	0.314017754624	0.314063829620
0.034482758621	0.315726233352	0.315773740675
0.033333333333	0.317376666310	0.317425631817
0.032258064516	0.318973224375	0.319023677883
0.031250000000	0.320519736293	0.320571703397
0.030303030303	0.322019733964	0.322073253712
0.029411764706	0.323476490256	0.323531617683
0.028571428571	0.324893050617	0.324949832345
0.027777777778	0.326272259515	0.326330757290
0.027027027027	0.327616782583	0.327677061483
0.026315789474	0.328929125156	0.328991255140
0.025641025641	0.330211647833	0.330275717112
0.025000000000	0.331466579548	0.331532676990
0.024390243902	0.332696028576	0.332764250332
0.023809523810	0.333901991841	0.333972444094
0.023255813953	0.335086362816	0.335159142780
0.022727272727	0.336250938275	0.336326165141
0.022222222222	0.337397424090	0.337475215851
0.021739130435	0.338527440277	0.338607919593
0.021276595745	0.339642525407	0.339725819196
0.020833333333	0.340744140517	0.340830382688
0.020408163265	0.341833672619	0.341923002524
0.020000000000	0.342912437885	0.343004990883
0.019607843137	0.343981684570	0.344077609733
0.019230769231	0.345042595729	0.345142032713
0.018867924528	0.346096291770	0.346199393417
0.018518518519	0.347143832872	0.347250747611
0.018181818182	0.348186221301	0.348297100736
0.017857142857	0.349224403626	0.349339396479
0.017543859649	0.350259272879	0.350378545446
0.017241379310	0.351291670637	0.351415364789
0.016949152542	0.352322389058	0.352450665531
0.016666666667	0.353352172865	0.353485178811
0.016393442623	0.354381721287	0.354519621906
0.016129032258	0.355411689952	0.355554623533
0.015873015873	0.356442692739	0.356590818431
0.015625000000	0.357475303588	0.357628777160
0.015384615385	0.358510058268	0.358669032157
0.015151515152	0.359547456098	0.359712081116
0.014925373134	0.360587961626	0.360758371528
0.014705882353	0.361632006265	0.361808356422
0.014492753623	0.362679989878	0.362862417440
0.014285714286	0.363732282319	0.363920944855
0.014084507042	0.364789224924	0.364984255006
0.013888888889	0.365851131959	0.366052666341
0.013698630137	0.366918292014	0.367126464942
0.013513513514	0.367990969349	0.368205913410
0.013333333333	0.369069405192	0.369291255085
0.013157894737	0.370153818993	0.370382703412
0.012987012987	0.371244409620	0.371480466201
0.012820512821	0.372341356512	0.372584699789
0.012658227848	0.373444820791	0.373695573775
0.012500000000	0.374554946315	0.374813235470
0.012345679012	0.375671860693	0.375937804034
0.012195121951	0.376795676257	0.377069374797
0.012048192771	0.377926490982	0.378208070764
0.011904761905	0.379064389372	0.379353959331
0.011764705882	0.380209443301	0.380507119328
0.011627906977	0.381361712810	0.381667582818
0.011494252874	0.382521246872	0.382835424663
0.011363636364	0.383688084115	0.384010672266
0.011235955056	0.384862253507	0.385193352866
0.011111111111	0.386043775012	0.386383477170
0.010989010989	0.387232660205	0.387581055291
0.010869565217	0.388428912862	0.388786102257
0.010752688172	0.389632529509	0.389998604820
0.010638297872	0.390843499951	0.391218548523
0.010526315789	0.392061807767	0.392445912040
0.010416666667	0.393287430777	0.393680678283
0.010309278351	0.394520341487	0.394922806060
0.010204081633	0.395760507504	0.396172280911
0.010101010101	0.397007891930	0.397429035198
0.010000000000	0.398262453735	0.398693062539
