beta	temperature	nsites	canonical_n	mu_grand_canonical	avg_n_grand_canonical	energy_per_particle_grand_canonical	energy_per_particle_canonical	kappa_grand_canonical	kappa_canonical	entropy_per_particle_grand_canonical	entropy_per_particle_canonical
1.000000	1.000000000000	4096	2048	0.000000000000	2048.000000000000	-1.260629009710	-1.260778171393	0.146862167070	0.146881141342	0.899478861498	0.897318604339
2.000000	0.500000000000	4096	2048	0.000000000000	2048.000000000000	-1.498206900823	-1.498295859277	0.182893955402	0.182922190103	0.573674987576	0.571601630120
3.000000	0.333333333333	4096	2048	0.000000000000	2048.000000000000	-1.559191263018	-1.559252663592	0.203029662150	0.203068116452	0.426572364596	0.424566209143
4.000000	0.250000000000	4096	2048	0.000000000000	2048.000000000000	-1.583368718820	-1.583415682504	0.217407674374	0.217455774963	0.343495834535	0.341539552421
5.000000	0.200000000000	4096	2048	0.000000000000	2048.000000000000	-1.595503708973	-1.595541797365	0.228607586783	0.228664911302	0.289495802242	0.287579143875
6.000000	0.166666666667	4096	2048	0.000000000000	2048.000000000000	-1.602503286249	-1.602535354556	0.237781380099	0.237847629367	0.251286307432	0.249402584222
7.000000	0.142857142857	4096	2048	0.000000000000	2048.000000000000	-1.606928234602	-1.606955943973	0.245550871838	0.245625876413	0.222678936865	0.220823439348
8.000000	0.125000000000	4096	2048	0.000000000000	2048.000000000000	-1.609913737213	-1.609938136940	0.252292766671	0.252376605875	0.200378497958	0.198547752568
9.000000	0.111111111111	4096	2048	0.000000000000	2048.000000000000	-1.612028461359	-1.612050251758	0.258257686909	0.258350890709	0.182460298079	0.180651684050
10.000000	0.100000000000	4096	2048	0.000000000000	2048.000000000000	-1.613583871412	-1.613603537816	0.263627425154	0.263731174644	0.167721517631	0.165933047788
11.000000	0.090909090909	4096	2048	0.000000000000	2048.000000000000	-1.614762605993	-1.614780494443	0.268544070072	0.268660306139	0.155370706766	0.153600881026
12.000000	0.083333333333	4096	2048	0.000000000000	2048.000000000000	-1.615677718792	-1.615694082483	0.273124605851	0.273256014539	0.144865370956	0.143113061841
