temperature	specific_heat_per_particle_grand_canonical	specific_heat_per_particle_canonical
1.000000000000	0.326693522678	0.326633966365
0.500000000000	0.599476216807	0.599338792023
0.333333333333	0.386259154037	0.386109796630
0.250000000000	0.292889697018	0.292741907514
0.200000000000	0.241067520173	0.240919794332
0.166666666667	0.207163564634	0.207015247078
0.142857142857	0.182809539957	0.182660436390
0.125000000000	0.164262311896	0.164112390329
0.111111111111	0.149560779071	0.149410065798
0.100000000000	0.137562286296	0.137410827511
0.090909090909	0.127548806147	0.127396652567
0.083333333333	0.119042962901	0.118890162863
0.076923076923	0.111713184640	0.111559779988
0.071428571429	0.105320967146	0.105166989539
0.066666666667	0.099689746058	0.099535212804
0.062500000000	0.094685612206	0.094530521699
0.058823529412	0.090204879139	0.090049206485
0.055555555556	0.086165799252	0.086009492767
0.052631578947	0.082502890211	0.082345869481
0.050000000000	0.079162958295	0.079005114170
0.047619047619	0.076102255558	0.075943452166
0.045454545455	0.073284412095	0.073124490673
0.043478260870	0.070678908217	0.070517692376
0.041666666667	0.068259928657	0.068097230602
0.040000000000	0.066005490693	0.065841117884
0.038461538462	0.063896770989	0.063730532813
0.037037037037	0.061917578243	0.061749292238
0.035714285714	0.060053934023	0.059883431428
0.034482758621	0.058293734837	0.058120865315
0.033333333333	0.056626475980	0.056451111339
0.032258064516	0.055043023071	0.054865059963
0.031250000000	0.053535420876	0.053354782563
0.030303030303	0.052096731811	0.051913369014
0.029411764706	0.050720898398	0.050534789346
0.028571428571	0.049402625358	0.049213775180
0.027777777778	0.048137278005	0.047945717535
0.027027027027	0.046920794365	0.046726578487
0.026315789474	0.045749608976	0.045552814705
0.025641025641	0.044620586660	0.044421310893
0.025000000000	0.043530964947	0.043329322121
0.024390243902	0.042478303971	0.042274423729
0.023809523810	0.041460442906	0.041254467639
0.023255813953	0.040475462091	0.040267544576
0.022727272727	0.039521650118	0.039311951260
0.022222222222	0.038597475290	0.038386162054
0.021739130435	0.037701560888	0.037488804273
0.021276595745	0.036832663780	0.036618637027
0.020833333333	0.035989655924	0.035774532846
0.020408163265	0.035171508426	0.034955461915
0.020000000000	0.034377277822	0.034160478675
0.019607843137	0.033606094284	0.033388709955
0.019230769231	0.032857151512	0.032639345178
0.018867924528	0.032129698076	0.031911627875
0.018518518519	0.031423030027	0.031204848388
0.018181818182	0.030736484598	0.030518337637
0.017857142857	0.030069434857	0.029851462000
0.017543859649	0.029421285163	0.029203618920
0.017241379310	0.028791467328	0.028574233029
0.016949152542	0.028179437372	0.027962753003
0.016666666667	0.027584672793	0.027368648972
0.016393442623	0.027006670294	0.026791410388
0.016129032258	0.026444943844	0.026230543938
0.015873015873	0.025899023099	0.025685572134
0.015625000000	0.025368452067	0.025156032123
0.015384615385	0.024852787987	0.024641474397
0.015151515152	0.024351600451	0.024141461862
0.014925373134	0.023864470605	0.023655569546
0.014705882353	0.023390990556	0.023183383602
0.014492753623	0.022930762863	0.022724500760
0.014285714286	0.022483400086	0.022278528106
0.014084507042	0.022048524446	0.021845082726
0.013888888889	0.021625767559	0.021423791422
0.013698630137	0.021214770171	0.021014290244
0.013513513514	0.020815181946	0.020616224619
0.013333333333	0.020426661315	0.020229248933
0.013157894737	0.020048875301	0.019853026434
0.012987012987	0.019681499407	0.019487229146
0.012820512821	0.019324217467	0.019131537578
0.012658227848	0.018976721532	0.018785640737
0.012500000000	0.018638711791	0.018449236124
0.012345679012	0.018309896435	0.018122029424
0.012195121951	0.017989991555	0.017803734217
0.012048192771	0.017678721026	0.017494072219
0.011904761905	0.017375816408	0.017192773189
0.011764705882	0.017081016849	0.016899574434
0.011627906977	0.016794068941	0.016614220777
0.011494252874	0.016514726610	0.016336464808
0.011363636364	0.016242751008	0.016066066411
0.011235955056	0.015977910359	0.015802792447
0.011111111111	0.015719979838	0.015546417178
0.010989010989	0.015468741475	0.015296721668
0.010869565217	0.015223983973	0.015053493728
0.010752688172	0.014985502566	0.014816527920
0.010638297872	0.014753098917	0.014585625282
0.010526315789	0.014526580938	0.014360593204
0.010416666667	0.014305762666	0.014141245200
0.010309278351	0.014090464127	0.013927401020
0.010204081633	0.013880511133	0.013718885936
0.010101010101	0.013675735197	0.013515531403
0.010000000000	0.013465272239	0.013306559179
