site_index	x	y
1	0	-10
2	-4	-9
3	-3	-9
4	-2	-9
5	-1	-9
6	0	-9
7	1	-9
8	2	-9
9	3	-9
10	4	-9
11	-6	-8
12	-5	-8
13	-4	-8
14	-3	-8
15	-2	-8
16	-1	-8
17	0	-8
18	1	-8
19	2	-8
20	3	-8
21	4	-8
22	5	-8
23	6	-8
24	-7	-7
25	-6	-7
26	-5	-7
27	-4	-7
28	-3	-7
29	-2	-7
30	-1	-7
31	0	-7
32	1	-7
33	2	-7
34	3	-7
35	4	-7
36	5	-7
37	6	-7
38	7	-7
39	-8	-6
40	-7	-6
41	-6	-6
42	-5	-6
43	-4	-6
44	-3	-6
45	-2	-6
46	-1	-6
47	0	-6
48	1	-6
49	2	-6
50	3	-6
51	4	-6
52	5	-6
53	6	-6
54	7	-6
55	8	-6
56	-8	-5
57	-7	-5
58	-6	-5
59	-5	-5
60	-4	-5
61	-3	-5
62	-2	-5
63	-1	-5
64	0	-5
65	1	-5
66	2	-5
67	3	-5
68	4	-5
69	5	-5
70	6	-5
71	7	-5
72	8	-5
73	-9	-4
74	-8	-4
75	-7	-4
76	-6	-4
77	-5	-4
78	-4	-4
79	-3	-4
80	-2	-4
81	-1	-4
82	0	-4
83	1	-4
84	2	-4
85	3	-4
86	4	-4
87	5	-4
88	6	-4
89	7	-4
90	8	-4
91	9	-4
92	-9	-3
93	-8	-3
94	-7	-3
95	-6	-3
96	-5	-3
97	-4	-3
98	-3	-3
99	-2	-3
100	-1	-3
101	0	-3
102	1	-3
103	2	-3
104	3	-3
105	4	-3
106	5	-3
107	6	-3
108	7	-3
109	8	-3
110	9	-3
111	-9	-2
112	-8	-2
113	-7	-2
114	-6	-2
115	-5	-2
116	-4	-2
117	-3	-2
118	-2	-2
119	-1	-2
120	0	-2
121	1	-2
122	2	-2
123	3	-2
124	4	-2
125	5	-2
126	6	-2
127	7	-2
128	8	-2
129	9	-2
130	-9	-1
131	-8	-1
132	-7	-1
133	-6	-1
134	-5	-1
135	-4	-1
136	-3	-1
137	-2	-1
138	-1	-1
139	0	-1
140	1	-1
141	2	-1
142	3	-1
143	4	-1
144	5	-1
145	6	-1
146	7	-1
147	8	-1
148	9	-1
149	-10	0
150	-9	0
151	-8	0
152	-7	0
153	-6	0
154	-5	0
155	-4	0
156	-3	0
157	-2	0
158	-1	0
159	0	0
160	1	0
161	2	0
162	3	0
163	4	0
164	5	0
165	6	0
166	7	0
167	8	0
168	9	0
169	10	0
170	-9	1
171	-8	1
172	-7	1
173	-6	1
174	-5	1
175	-4	1
176	-3	1
177	-2	1
178	-1	1
179	0	1
180	1	1
181	2	1
182	3	1
183	4	1
184	5	1
185	6	1
186	7	1
187	8	1
188	9	1
189	-9	2
190	-8	2
191	-7	2
192	-6	2
193	-5	2
194	-4	2
195	-3	2
196	-2	2
197	-1	2
198	0	2
199	1	2
200	2	2
201	3	2
202	4	2
203	5	2
204	6	2
205	7	2
206	8	2
207	9	2
208	-9	3
209	-8	3
210	-7	3
211	-6	3
212	-5	3
213	-4	3
214	-3	3
215	-2	3
216	-1	3
217	0	3
218	1	3
219	2	3
220	3	3
221	4	3
222	5	3
223	6	3
224	7	3
225	8	3
226	9	3
227	-9	4
228	-8	4
229	-7	4
230	-6	4
231	-5	4
232	-4	4
233	-3	4
234	-2	4
235	-1	4
236	0	4
237	1	4
238	2	4
239	3	4
240	4	4
241	5	4
242	6	4
243	7	4
244	8	4
245	9	4
246	-8	5
247	-7	5
248	-6	5
249	-5	5
250	-4	5
251	-3	5
252	-2	5
253	-1	5
254	0	5
255	1	5
256	2	5
257	3	5
258	4	5
259	5	5
260	6	5
261	7	5
262	8	5
263	-8	6
264	-7	6
265	-6	6
266	-5	6
267	-4	6
268	-3	6
269	-2	6
270	-1	6
271	0	6
272	1	6
273	2	6
274	3	6
275	4	6
276	5	6
277	6	6
278	7	6
279	8	6
280	-7	7
281	-6	7
282	-5	7
283	-4	7
284	-3	7
285	-2	7
286	-1	7
287	0	7
288	1	7
289	2	7
290	3	7
291	4	7
292	5	7
293	6	7
294	7	7
295	-6	8
296	-5	8
297	-4	8
298	-3	8
299	-2	8
300	-1	8
301	0	8
302	1	8
303	2	8
304	3	8
305	4	8
306	5	8
307	6	8
308	-4	9
309	-3	9
310	-2	9
311	-1	9
312	0	9
313	1	9
314	2	9
315	3	9
316	4	9
317	0	10
