temperature	entropy_per_particle_grand_canonical	entropy_per_particle_canonical
1.000000000000	0.903860184091	0.902058518524
0.500000000000	0.577372077676	0.575640198445
0.333333333333	0.429121396349	0.427444070530
0.250000000000	0.345271756038	0.343635055793
0.200000000000	0.290747657389	0.289143286100
0.166666666667	0.252165760927	0.250588288644
0.142857142857	0.223282722121	0.221728311429
0.125000000000	0.200770976972	0.199236767024
0.111111111111	0.182684904152	0.181168677473
0.100000000000	0.167806544414	0.166306530793
0.090909090909	0.155332347992	0.153847101673
0.083333333333	0.144709593841	0.143237912938
0.076923076923	0.135544966816	0.134085838471
0.071428571429	0.127550590601	0.126103152474
0.066666666667	0.120510701080	0.119074213465
0.062500000000	0.114260270639	0.112834095618
0.058823529412	0.108670846666	0.107254431992
0.055555555556	0.103640903223	0.102233769419
0.052631578947	0.099089105026	0.097690834737
0.050000000000	0.094949502605	0.093559731585
0.047619047619	0.091168039369	0.089786448716
0.045454545455	0.087699969272	0.086326278666
0.043478260870	0.084507918891	0.083141880668
0.041666666667	0.081560413492	0.080201807461
0.040000000000	0.078830742455	0.077479371372
0.038461538462	0.076296076413	0.074951762051
0.037037037037	0.073936773474	0.072599353235
0.035714285714	0.071735829124	0.070405153142
0.034482758621	0.069678436453	0.068354365137
0.033333333333	0.067751631876	0.066434033843
0.032258064516	0.065944007702	0.064632758068
0.031250000000	0.064245477377	0.062940456342
0.030303030303	0.062647082531	0.061348174240
0.029411764706	0.061140833443	0.059847925069
0.028571428571	0.059719576368	0.058432557395
0.027777777778	0.058376882612	0.057095644282
0.027027027027	0.057106955288	0.055831390183
0.026315789474	0.055904550542	0.054634552286
0.025641025641	0.054764910675	0.053500373731
0.025000000000	0.053683707097	0.052424526633
0.024390243902	0.052656991437	0.051403063259
0.023809523810	0.051681153464	0.050432373999
0.023255813953	0.050752884710	0.049509151019
0.022727272727	0.049869146892	0.048630356715
0.022222222222	0.049027144391	0.047793196215
0.021739130435	0.048224300175	0.046995093305
0.021276595745	0.047458234648	0.046233669300
0.020833333333	0.046726747020	0.045506724407
0.020408163265	0.046027798822	0.044812221250
0.020000000000	0.045359499283	0.044148270238
0.019607843137	0.044720092318	0.043513116551
0.019230769231	0.044107944905	0.042905128516
0.018867924528	0.043521536685	0.042322787197
0.018518518519	0.042959450624	0.041764677049
0.018181818182	0.042420364606	0.041229477509
0.017857142857	0.041903043852	0.040715955400
0.017543859649	0.041406334060	0.040222958069
0.017241379310	0.040929155192	0.039749407165
0.016949152542	0.040470495826	0.039294292983
0.016666666667	0.040029408022	0.038856669322
0.016393442623	0.039605002637	0.038435648796
0.016129032258	0.039196445044	0.038030398546
0.015873015873	0.038802951227	0.037640136324
0.015625000000	0.038423784187	0.037264126908
0.015384615385	0.038058250658	0.036901678791
0.015151515152	0.037705698081	0.036552141171
0.014925373134	0.037365511821	0.036214901157
0.014705882353	0.037037112609	0.035889381200
0.014492753623	0.036719954175	0.035575036733
0.014285714286	0.036413521066	0.035271353982
0.014084507042	0.036117326630	0.034977847947
0.013888888889	0.035830911146	0.034694060533
0.013698630137	0.035553840102	0.034419558821
0.013513513514	0.035285702585	0.034153933461
0.013333333333	0.035026109800	0.033896797187
0.013157894737	0.034774693685	0.033647783437
0.012987012987	0.034531105632	0.033406545062
0.012820512821	0.034295015290	0.033172753141
0.012658227848	0.034066109459	0.032946095866
0.012500000000	0.033844091052	0.032726277504
0.012345679012	0.033628678133	0.032513017445
0.012195121951	0.033419603018	0.032306049286
0.012048192771	0.033216611437	0.032105120012
0.011904761905	0.033019461752	0.031909989198
0.011764705882	0.032827924220	0.031720428285
0.011627906977	0.032641780319	0.031536219896
0.011494252874	0.032460822099	0.031357157197
0.011363636364	0.032284851589	0.031183043298
0.011235955056	0.032113680236	0.031013690697
0.011111111111	0.031947128381	0.030848920749
0.010989010989	0.031785024763	0.030688563183
0.010869565217	0.031627206065	0.030532455637
0.010752688172	0.031473516476	0.030380443229
0.010638297872	0.031323807287	0.030232378146
0.010526315789	0.031177936509	0.030088119276
0.010416666667	0.031035768518	0.029947531833
0.010309278351	0.030897173713	0.029810487039
0.010204081633	0.030762028208	0.029676861796
0.010101010101	0.030630213526	0.029546538399
0.010000000000	0.030501616323	0.029419404248
