beta	nup	ndn	kinetic_per_particle	kinetic_stderr	potential_per_particle	potential_stderr	total_per_particle	total_stderr	time_slices	nsamples	batches
0.5	0.0	36.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	1.0
0.5	1.0	35.0	-1215.1926281284032	195.41517272381	2502.0740463587426	385.9146885663582	1286.8814182303392	202.36454896447526	5.0	4.0	1.0
0.5	2.0	34.0	-0.15739303055175888	0.018360464751842193	0.1389275970643445	0.02014290419871977	-0.01846543348741441	0.003189027045839628	5.0	4.0	1.0
0.5	3.0	33.0	-0.24842788942375693	0.010769202191948862	0.23640357615335922	0.008114387476206622	-0.012024313270397706	0.0036226559524363726	5.0	4.0	1.0
0.5	4.0	32.0	-0.3501125230619658	0.016017989981017836	0.31282961503096585	0.013697910277854587	-0.03728290803099994	0.008757684925847848	5.0	4.0	1.0
0.5	5.0	31.0	-0.40706878187089984	0.03716327150757716	0.3579262222491598	0.03285340677737258	-0.04914255962174003	0.005938604383087857	5.0	4.0	1.0
0.5	6.0	30.0	-0.44935308146885317	0.02102777818297107	0.39171018764157484	0.0185782563708841	-0.05764289382727824	0.006657451649994933	5.0	4.0	1.0
0.5	7.0	29.0	-0.4970605842714191	0.010663887742999489	0.41132343690646794	0.021934520099457795	-0.08573714736495114	0.011406951248214402	5.0	4.0	1.0
0.5	8.0	28.0	-0.5713586209645385	0.03146972128261507	0.5023544920257481	0.021051870554381468	-0.06900412893879046	0.012617709860058295	5.0	4.0	1.0
0.5	9.0	27.0	-0.6033594485263482	0.024534287753877112	0.4929092033416661	0.022943564849748337	-0.11045024518468205	0.006288877821260236	5.0	4.0	1.0
0.5	10.0	26.0	-0.6147862149935137	0.016266664411382987	0.5079506878584873	0.006603534362322808	-0.10683552713502645	0.014903072962005012	5.0	4.0	1.0
0.5	11.0	25.0	-0.6975847606717116	0.022129992973892364	0.5635996882244722	0.012612084573840521	-0.13398507244723945	0.017227729603704944	5.0	4.0	1.0
0.5	12.0	24.0	-0.7415318564393099	0.01707728531732539	0.574857884421341	0.018853717155975423	-0.16667397201796894	0.009117136139996932	5.0	4.0	1.0
0.5	13.0	23.0	-0.6953402853198392	0.02039015051174985	0.5344890097056813	0.025303554632684588	-0.1608512756141579	0.01976902628063747	5.0	4.0	1.0
0.5	14.0	22.0	-0.7660464762343357	0.04618587083123645	0.5837785381742391	0.025756638673801298	-0.18226793806009667	0.021801041255434157	5.0	4.0	1.0
0.5	15.0	21.0	-0.7326767708283063	0.01679458585595871	0.5939238458472196	0.017171976070497575	-0.1387529249810867	0.015625131349441164	5.0	4.0	1.0
0.5	16.0	20.0	-0.8135841549654035	0.02643043615636317	0.6522762872019193	0.0159659191566116	-0.16130786776348405	0.01897419896711362	5.0	4.0	1.0
0.5	17.0	19.0	-0.78686830725496	0.007426631481507909	0.6455868915136276	0.00788861516796229	-0.14128141574133243	0.010525470060079135	5.0	4.0	1.0
0.5	18.0	18.0	-0.7726061246377998	0.017295291597380375	0.633110869025768	0.02190857872236464	-0.13949525561203185	0.008953587016545243	5.0	4.0	1.0
