site_index	x	y
1	0	-20
2	-6	-19
3	-5	-19
4	-4	-19
5	-3	-19
6	-2	-19
7	-1	-19
8	0	-19
9	1	-19
10	2	-19
11	3	-19
12	4	-19
13	5	-19
14	6	-19
15	-8	-18
16	-7	-18
17	-6	-18
18	-5	-18
19	-4	-18
20	-3	-18
21	-2	-18
22	-1	-18
23	0	-18
24	1	-18
25	2	-18
26	3	-18
27	4	-18
28	5	-18
29	6	-18
30	7	-18
31	8	-18
32	-10	-17
33	-9	-17
34	-8	-17
35	-7	-17
36	-6	-17
37	-5	-17
38	-4	-17
39	-3	-17
40	-2	-17
41	-1	-17
42	0	-17
43	1	-17
44	2	-17
45	3	-17
46	4	-17
47	5	-17
48	6	-17
49	7	-17
50	8	-17
51	9	-17
52	10	-17
53	-12	-16
54	-11	-16
55	-10	-16
56	-9	-16
57	-8	-16
58	-7	-16
59	-6	-16
60	-5	-16
61	-4	-16
62	-3	-16
63	-2	-16
64	-1	-16
65	0	-16
66	1	-16
67	2	-16
68	3	-16
69	4	-16
70	5	-16
71	6	-16
72	7	-16
73	8	-16
74	9	-16
75	10	-16
76	11	-16
77	12	-16
78	-13	-15
79	-12	-15
80	-11	-15
81	-10	-15
82	-9	-15
83	-8	-15
84	-7	-15
85	-6	-15
86	-5	-15
87	-4	-15
88	-3	-15
89	-2	-15
90	-1	-15
91	0	-15
92	1	-15
93	2	-15
94	3	-15
95	4	-15
96	5	-15
97	6	-15
98	7	-15
99	8	-15
100	9	-15
101	10	-15
102	11	-15
103	12	-15
104	13	-15
105	-14	-14
106	-13	-14
107	-12	-14
108	-11	-14
109	-10	-14
110	-9	-14
111	-8	-14
112	-7	-14
113	-6	-14
114	-5	-14
115	-4	-14
116	-3	-14
117	-2	-14
118	-1	-14
119	0	-14
120	1	-14
121	2	-14
122	3	-14
123	4	-14
124	5	-14
125	6	-14
126	7	-14
127	8	-14
128	9	-14
129	10	-14
130	11	-14
131	12	-14
132	13	-14
133	14	-14
134	-15	-13
135	-14	-13
136	-13	-13
137	-12	-13
138	-11	-13
139	-10	-13
140	-9	-13
141	-8	-13
142	-7	-13
143	-6	-13
144	-5	-13
145	-4	-13
146	-3	-13
147	-2	-13
148	-1	-13
149	0	-13
150	1	-13
151	2	-13
152	3	-13
153	4	-13
154	5	-13
155	6	-13
156	7	-13
157	8	-13
158	9	-13
159	10	-13
160	11	-13
161	12	-13
162	13	-13
163	14	-13
164	15	-13
165	-16	-12
166	-15	-12
167	-14	-12
168	-13	-12
169	-12	-12
170	-11	-12
171	-10	-12
172	-9	-12
173	-8	-12
174	-7	-12
175	-6	-12
176	-5	-12
177	-4	-12
178	-3	-12
179	-2	-12
180	-1	-12
181	0	-12
182	1	-12
183	2	-12
184	3	-12
185	4	-12
186	5	-12
187	6	-12
188	7	-12
189	8	-12
190	9	-12
191	10	-12
192	11	-12
193	12	-12
194	13	-12
195	14	-12
196	15	-12
197	16	-12
198	-16	-11
199	-15	-11
200	-14	-11
201	-13	-11
202	-12	-11
203	-11	-11
204	-10	-11
205	-9	-11
206	-8	-11
207	-7	-11
208	-6	-11
209	-5	-11
210	-4	-11
211	-3	-11
212	-2	-11
213	-1	-11
214	0	-11
215	1	-11
216	2	-11
217	3	-11
218	4	-11
219	5	-11
220	6	-11
221	7	-11
222	8	-11
223	9	-11
224	10	-11
225	11	-11
226	12	-11
227	13	-11
228	14	-11
229	15	-11
230	16	-11
231	-17	-10
232	-16	-10
233	-15	-10
234	-14	-10
235	-13	-10
236	-12	-10
237	-11	-10
238	-10	-10
239	-9	-10
240	-8	-10
241	-7	-10
242	-6	-10
243	-5	-10
244	-4	-10
245	-3	-10
246	-2	-10
247	-1	-10
248	0	-10
249	1	-10
250	2	-10
251	3	-10
252	4	-10
253	5	-10
254	6	-10
255	7	-10
256	8	-10
257	9	-10
258	10	-10
259	11	-10
260	12	-10
261	13	-10
262	14	-10
263	15	-10
264	16	-10
265	17	-10
266	-17	-9
267	-16	-9
268	-15	-9
269	-14	-9
270	-13	-9
271	-12	-9
272	-11	-9
273	-10	-9
274	-9	-9
275	-8	-9
276	-7	-9
277	-6	-9
278	-5	-9
279	-4	-9
280	-3	-9
281	-2	-9
282	-1	-9
283	0	-9
284	1	-9
285	2	-9
286	3	-9
287	4	-9
288	5	-9
289	6	-9
290	7	-9
291	8	-9
292	9	-9
293	10	-9
294	11	-9
295	12	-9
296	13	-9
297	14	-9
298	15	-9
299	16	-9
300	17	-9
301	-18	-8
302	-17	-8
303	-16	-8
304	-15	-8
305	-14	-8
306	-13	-8
307	-12	-8
308	-11	-8
309	-10	-8
310	-9	-8
311	-8	-8
312	-7	-8
313	-6	-8
314	-5	-8
315	-4	-8
316	-3	-8
317	-2	-8
318	-1	-8
319	0	-8
320	1	-8
321	2	-8
322	3	-8
323	4	-8
324	5	-8
325	6	-8
326	7	-8
327	8	-8
328	9	-8
329	10	-8
330	11	-8
331	12	-8
332	13	-8
333	14	-8
334	15	-8
335	16	-8
336	17	-8
337	18	-8
338	-18	-7
339	-17	-7
340	-16	-7
341	-15	-7
342	-14	-7
343	-13	-7
344	-12	-7
345	-11	-7
346	-10	-7
347	-9	-7
348	-8	-7
349	-7	-7
350	-6	-7
351	-5	-7
352	-4	-7
353	-3	-7
354	-2	-7
355	-1	-7
356	0	-7
357	1	-7
358	2	-7
359	3	-7
360	4	-7
361	5	-7
362	6	-7
363	7	-7
364	8	-7
365	9	-7
366	10	-7
367	11	-7
368	12	-7
369	13	-7
370	14	-7
371	15	-7
372	16	-7
373	17	-7
374	18	-7
375	-19	-6
376	-18	-6
377	-17	-6
378	-16	-6
379	-15	-6
380	-14	-6
381	-13	-6
382	-12	-6
383	-11	-6
384	-10	-6
385	-9	-6
386	-8	-6
387	-7	-6
388	-6	-6
389	-5	-6
390	-4	-6
391	-3	-6
392	-2	-6
393	-1	-6
394	0	-6
395	1	-6
396	2	-6
397	3	-6
398	4	-6
399	5	-6
400	6	-6
401	7	-6
402	8	-6
403	9	-6
404	10	-6
405	11	-6
406	12	-6
407	13	-6
408	14	-6
409	15	-6
410	16	-6
411	17	-6
412	18	-6
413	19	-6
414	-19	-5
415	-18	-5
416	-17	-5
417	-16	-5
418	-15	-5
419	-14	-5
420	-13	-5
421	-12	-5
422	-11	-5
423	-10	-5
424	-9	-5
425	-8	-5
426	-7	-5
427	-6	-5
428	-5	-5
429	-4	-5
430	-3	-5
431	-2	-5
432	-1	-5
433	0	-5
434	1	-5
435	2	-5
436	3	-5
437	4	-5
438	5	-5
439	6	-5
440	7	-5
441	8	-5
442	9	-5
443	10	-5
444	11	-5
445	12	-5
446	13	-5
447	14	-5
448	15	-5
449	16	-5
450	17	-5
451	18	-5
452	19	-5
453	-19	-4
454	-18	-4
455	-17	-4
456	-16	-4
457	-15	-4
458	-14	-4
459	-13	-4
460	-12	-4
461	-11	-4
462	-10	-4
463	-9	-4
464	-8	-4
465	-7	-4
466	-6	-4
467	-5	-4
468	-4	-4
469	-3	-4
470	-2	-4
471	-1	-4
472	0	-4
473	1	-4
474	2	-4
475	3	-4
476	4	-4
477	5	-4
478	6	-4
479	7	-4
480	8	-4
481	9	-4
482	10	-4
483	11	-4
484	12	-4
485	13	-4
486	14	-4
487	15	-4
488	16	-4
489	17	-4
490	18	-4
491	19	-4
492	-19	-3
493	-18	-3
494	-17	-3
495	-16	-3
496	-15	-3
497	-14	-3
498	-13	-3
499	-12	-3
500	-11	-3
501	-10	-3
502	-9	-3
503	-8	-3
504	-7	-3
505	-6	-3
506	-5	-3
507	-4	-3
508	-3	-3
509	-2	-3
510	-1	-3
511	0	-3
512	1	-3
513	2	-3
514	3	-3
515	4	-3
516	5	-3
517	6	-3
518	7	-3
519	8	-3
520	9	-3
521	10	-3
522	11	-3
523	12	-3
524	13	-3
525	14	-3
526	15	-3
527	16	-3
528	17	-3
529	18	-3
530	19	-3
531	-19	-2
532	-18	-2
533	-17	-2
534	-16	-2
535	-15	-2
536	-14	-2
537	-13	-2
538	-12	-2
539	-11	-2
540	-10	-2
541	-9	-2
542	-8	-2
543	-7	-2
544	-6	-2
545	-5	-2
546	-4	-2
547	-3	-2
548	-2	-2
549	-1	-2
550	0	-2
551	1	-2
552	2	-2
553	3	-2
554	4	-2
555	5	-2
556	6	-2
557	7	-2
558	8	-2
559	9	-2
560	10	-2
561	11	-2
562	12	-2
563	13	-2
564	14	-2
565	15	-2
566	16	-2
567	17	-2
568	18	-2
569	19	-2
570	-19	-1
571	-18	-1
572	-17	-1
573	-16	-1
574	-15	-1
575	-14	-1
576	-13	-1
577	-12	-1
578	-11	-1
579	-10	-1
580	-9	-1
581	-8	-1
582	-7	-1
583	-6	-1
584	-5	-1
585	-4	-1
586	-3	-1
587	-2	-1
588	-1	-1
589	0	-1
590	1	-1
591	2	-1
592	3	-1
593	4	-1
594	5	-1
595	6	-1
596	7	-1
597	8	-1
598	9	-1
599	10	-1
600	11	-1
601	12	-1
602	13	-1
603	14	-1
604	15	-1
605	16	-1
606	17	-1
607	18	-1
608	19	-1
609	-20	0
610	-19	0
611	-18	0
612	-17	0
613	-16	0
614	-15	0
615	-14	0
616	-13	0
617	-12	0
618	-11	0
619	-10	0
620	-9	0
621	-8	0
622	-7	0
623	-6	0
624	-5	0
625	-4	0
626	-3	0
627	-2	0
628	-1	0
629	0	0
630	1	0
631	2	0
632	3	0
633	4	0
634	5	0
635	6	0
636	7	0
637	8	0
638	9	0
639	10	0
640	11	0
641	12	0
642	13	0
643	14	0
644	15	0
645	16	0
646	17	0
647	18	0
648	19	0
649	20	0
650	-19	1
651	-18	1
652	-17	1
653	-16	1
654	-15	1
655	-14	1
656	-13	1
657	-12	1
658	-11	1
659	-10	1
660	-9	1
661	-8	1
662	-7	1
663	-6	1
664	-5	1
665	-4	1
666	-3	1
667	-2	1
668	-1	1
669	0	1
670	1	1
671	2	1
672	3	1
673	4	1
674	5	1
675	6	1
676	7	1
677	8	1
678	9	1
679	10	1
680	11	1
681	12	1
682	13	1
683	14	1
684	15	1
685	16	1
686	17	1
687	18	1
688	19	1
689	-19	2
690	-18	2
691	-17	2
692	-16	2
693	-15	2
694	-14	2
695	-13	2
696	-12	2
697	-11	2
698	-10	2
699	-9	2
700	-8	2
701	-7	2
702	-6	2
703	-5	2
704	-4	2
705	-3	2
706	-2	2
707	-1	2
708	0	2
709	1	2
710	2	2
711	3	2
712	4	2
713	5	2
714	6	2
715	7	2
716	8	2
717	9	2
718	10	2
719	11	2
720	12	2
721	13	2
722	14	2
723	15	2
724	16	2
725	17	2
726	18	2
727	19	2
728	-19	3
729	-18	3
730	-17	3
731	-16	3
732	-15	3
733	-14	3
734	-13	3
735	-12	3
736	-11	3
737	-10	3
738	-9	3
739	-8	3
740	-7	3
741	-6	3
742	-5	3
743	-4	3
744	-3	3
745	-2	3
746	-1	3
747	0	3
748	1	3
749	2	3
750	3	3
751	4	3
752	5	3
753	6	3
754	7	3
755	8	3
