radius	nsites	lowest_eigenvalue	highest_eigenvalue
3.000000	29	-3.498292919561	3.498292919561
4.000000	49	-3.689900503928	3.689900503928
5.000000	81	-3.804090447960	3.804090447960
6.000000	113	-3.857406601470	3.857406601470
7.000000	149	-3.890176524885	3.890176524885
8.000000	197	-3.915631962547	3.915631962547
9.000000	253	-3.933744457873	3.933744457873
10.000000	317	-3.946655349144	3.946655349144
