beta	temperature	nsites	canonical_n	mu_grand_canonical	avg_n_grand_canonical	energy_per_particle_grand_canonical	energy_per_particle_canonical	specific_heat_per_particle_grand_canonical	specific_heat_per_particle_canonical
1.000000	1.000000000000	441	221	0.007561044589	221.000000000000	-1.203694509079	-1.205046675430	0.325859584671	0.325194790747
2.000000	0.500000000000	441	221	0.006045202915	221.000000000000	-1.441765225576	-1.442590671493	0.601127393286	0.599572805513
3.000000	0.333333333333	441	221	0.005456278159	221.000000000000	-1.504258205722	-1.504833078187	0.393451642062	0.391724637896
4.000000	0.250000000000	441	221	0.005110254698	221.000000000000	-1.529198923812	-1.529640591026	0.299865057379	0.298133171827
5.000000	0.200000000000	441	221	0.004873529986	221.000000000000	-1.541741337895	-1.542099724665	0.247138662855	0.245368243500
6.000000	0.166666666667	441	221	0.004695182729	221.000000000000	-1.548970016840	-1.549270050506	0.212039851491	0.210189598923
7.000000	0.142857142857	441	221	0.004549724470	221.000000000000	-1.553521329644	-1.553776924606	0.186126430104	0.184160643728
8.000000	0.125000000000	441	221	0.004422571728	221.000000000000	-1.556567013987	-1.556786811474	0.165610071690	0.163510790555
9.000000	0.111111111111	441	221	0.004305092266	221.000000000000	-1.558696644384	-1.558886636810	0.148576494151	0.146347152244
10.000000	0.100000000000	441	221	0.004192347360	221.000000000000	-1.560235569398	-1.560400321406	0.133993159572	0.131654153578
11.000000	0.090909090909	441	221	0.004081756961	221.000000000000	-1.561376507576	-1.561519719882	0.121272537634	0.118853843320
12.000000	0.083333333333	441	221	0.003972205665	221.000000000000	-1.562240074152	-1.562364847742	0.110057545884	0.107592091996
13.000000	0.076923076923	441	221	0.003863434307	221.000000000000	-1.562905084602	-1.563014054493	0.100111925871	0.097631088186
14.000000	0.071428571429	441	221	0.003755638862	221.000000000000	-1.563424830672	-1.563520245235	0.091264048819	0.088795211668
15.000000	0.066666666667	441	221	0.003649218765	221.000000000000	-1.563836350406	-1.563920128081	0.083378458966	0.080944081147
16.000000	0.062500000000	441	221	0.003544628271	221.000000000000	-1.564165972529	-1.564239748179	0.076341707073	0.073959303404
17.000000	0.058823529412	441	221	0.003442295403	221.000000000000	-1.564432769993	-1.564497935139	0.070055386827	0.067737981307
18.000000	0.055555555556	441	221	0.003342583068	221.000000000000	-1.564650784895	-1.564708523136	0.064432683285	0.062189450669
19.000000	0.052631578947	441	221	0.003245775153	221.000000000000	-1.564830502606	-1.564881820637	0.059396555173	0.057233491691
20.000000	0.050000000000	441	221	0.003152076511	221.000000000000	-1.564979851682	-1.565025606192	0.054878628080	0.052799172927
21.000000	0.047619047619	441	221	0.003061619981	221.000000000000	-1.565104895746	-1.565145816502	0.050818368821	0.048823945397
22.000000	0.045454545455	441	221	0.002974476400	221.000000000000	-1.565210320475	-1.565247029981	0.047162358241	0.045252829272
23.000000	0.043478260870	441	221	0.002890665297	221.000000000000	-1.565299781524	-1.565332811664	0.043863597828	0.042037640227
24.000000	0.041666666667	441	221	0.002810165092	221.000000000000	-1.565376156384	-1.565405962458	0.040880837408	0.039136247335
25.000000	0.040000000000	441	221	0.002732922198	221.000000000000	-1.565441728876	-1.565468701412	0.038177930684	0.036511869947
26.000000	0.038461538462	441	221	0.002658858859	221.000000000000	-1.565498325762	-1.565522800442	0.035723229641	0.034132423702
27.000000	0.037037037037	441	221	0.002587879701	221.000000000000	-1.565547418905	-1.565569684914	0.033489027038	0.031969923407
28.000000	0.035714285714	441	221	0.002519877101	221.000000000000	-1.565590202379	-1.565610509423	0.031451052381	0.029999946659
29.000000	0.034482758621	441	221	0.002454735509	221.000000000000	-1.565627651181	-1.565646215390	0.029588023119	0.028201158500
30.000000	0.033333333333	441	221	0.002392334880	221.000000000000	-1.565660566287	-1.565677575198	0.027881249829	0.026554894799
31.000000	0.032258064516	441	221	0.002332553355	221.000000000000	-1.565689609514	-1.565705226267	0.026314292155	0.025044800190
32.000000	0.031250000000	441	221	0.002275269319	221.000000000000	-1.565715330683	-1.565729697571	0.024872661065	0.023656515439
33.000000	0.030303030303	441	221	0.002220362954	221.000000000000	-1.565738188930	-1.565751430399	0.023543562439	0.022377408699
34.000000	0.029411764706	441	221	0.002167717389	221.000000000000	-1.565758569548	-1.565770794740	0.022315676923	0.021196345181
35.000000	0.028571428571	441	221	0.002117219514	221.000000000000	-1.565776797368	-1.565788102277	0.021178971190	0.020103490049
36.000000	0.027777777778	441	221	0.002068760543	221.000000000000	-1.565793147461	-1.565803616765	0.020124536134	0.019090139763
37.000000	0.027027027027	441	221	0.002022236367	221.000000000000	-1.565807853751	-1.565817562369	0.019144448002	0.018148577750
38.000000	0.026315789474	441	221	0.001977547749	221.000000000000	-1.565821115975	-1.565830130392	0.018231648974	0.017271950618
39.000000	0.025641025641	441	221	0.001934600402	221.000000000000	-1.565833105342	-1.565841484738	0.017379844177	0.016454161773
40.000000	0.025000000000	441	221	0.001893304973	221.000000000000	-1.565843969156	-1.565851766371	0.016583412601	0.015689779820
41.000000	0.024390243902	441	221	0.001853576952	221.000000000000	-1.565853834608	-1.565861096963	0.015837329728	0.014973959372
42.000000	0.023809523810	441	221	0.001815336541	221.000000000000	-1.565862811904	-1.565869581908	0.015137100119	0.014302372378
43.000000	0.023255813953	441	221	0.001778508479	221.000000000000	-1.565870996853	-1.565877312805	0.014478698417	0.013671148430
44.000000	0.022727272727	441	221	0.001743021854	221.000000000000	-1.565878473016	-1.565884369521	0.013858517563	0.013076822637
45.000000	0.022222222222	441	221	0.001708809890	221.000000000000	-1.565885313503	-1.565890821919	0.013273323158	0.012516289987
46.000000	0.021739130435	441	221	0.001675809734	221.000000000000	-1.565891582471	-1.565896731289	0.012720213137	0.011986765297
47.000000	0.021276595745	441	221	0.001643962239	221.000000000000	-1.565897336389	-1.565902151565	0.012196582026	0.011485747928
48.000000	0.020833333333	441	221	0.001613211749	221.000000000000	-1.565902625099	-1.565907130337	0.011700089189	0.011010990612
49.000000	0.020408163265	441	221	0.001583505889	221.000000000000	-1.565907492716	-1.565911709716	0.011228630559	0.010560471933
50.000000	0.020000000000	441	221	0.001554795361	221.000000000000	-1.565911978394	-1.565915927065	0.010780313446	0.010132371880
51.000000	0.019607843137	441	221	0.001527033754	221.000000000000	-1.565916116967	-1.565919815614	0.010353434026	0.009725050121
52.000000	0.019230769231	441	221	0.001500177354	221.000000000000	-1.565919939512	-1.565923404996	0.009946457236	0.009337026777
53.000000	0.018867924528	441	221	0.001474184971	221.000000000000	-1.565923473814	-1.565926721699	0.009557998804	0.008966965218
54.000000	0.018518518519	441	221	0.001449017775	221.000000000000	-1.565926744780	-1.565929789450	0.009186809162	0.008613656751
55.000000	0.018181818182	441	221	0.001424639140	221.000000000000	-1.565929774781	-1.565932629557	0.008831759046	0.008276007012
56.000000	0.017857142857	441	221	0.001401014499	221.000000000000	-1.565932583959	-1.565935261190	0.008491826621	0.007953023772
57.000000	0.017543859649	441	221	0.001378111209	221.000000000000	-1.565935190487	-1.565937701638	0.008166085971	0.007643806080
58.000000	0.017241379310	441	221	0.001355898425	221.000000000000	-1.565937610790	-1.565939966519	0.007853696793	0.007347534607
59.000000	0.016949152542	441	221	0.001334346982	221.000000000000	-1.565939859747	-1.565942069970	0.007553895184	0.007063462962
60.000000	0.016666666667	441	221	0.001313429283	221.000000000000	-1.565941950862	-1.565944024814	0.007265985408	0.006790909954
61.000000	0.016393442623	441	221	0.001293119204	221.000000000000	-1.565943896406	-1.565945842698	0.006989332565	0.006529252746
62.000000	0.016129032258	441	221	0.001273391993	221.000000000000	-1.565945707557	-1.565947534222	0.006723356027	0.006277920704
63.000000	0.015873015873	441	221	0.001254224186	221.000000000000	-1.565947394510	-1.565949109046	0.006467523587	0.006036389857
64.000000	0.015625000000	441	221	0.001235593524	221.000000000000	-1.565948966577	-1.565950575990	0.006221346255	0.005804178072
