beta	nup	ndn	multiplicity	logz_sector	normalized_weight
0.5	0.0	36.0	2.0	0.0	7.801845914383635e-18
0.5	1.0	35.0	2.0	-5518.2682285428045	0.0
0.5	2.0	34.0	2.0	11.058221906302432	4.951332848797957e-13
0.5	3.0	33.0	2.0	15.235119172408211	3.226454585536084e-11
0.5	4.0	32.0	2.0	18.73441892850287	1.0677071010203663e-9
0.5	5.0	31.0	2.0	21.879516679146565	2.4794235920282367e-8
0.5	6.0	30.0	2.0	24.537540671433177	3.537658295758824e-7
0.5	7.0	29.0	2.0	26.889864017618194	3.7180645962662753e-6
0.5	8.0	28.0	2.0	28.962650764991434	2.954723030777897e-5
0.5	9.0	27.0	2.0	30.911649665706086	0.0002074704481895644
0.5	10.0	26.0	2.0	32.51773694115394	0.0010338822667199186
0.5	11.0	25.0	2.0	33.91640667429766	0.004187025765776872
0.5	12.0	24.0	2.0	35.15434440472075	0.014438934912140912
0.5	13.0	23.0	2.0	36.07238676976298	0.036160621983222924
0.5	14.0	22.0	2.0	36.951693750527554	0.08711923669095537
0.5	15.0	21.0	2.0	37.67349332957171	0.17930303296353386
0.5	16.0	20.0	2.0	37.842281054507794	0.21227126762248136
0.5	17.0	19.0	2.0	38.22269500273691	0.31052951996746936
0.5	18.0	18.0	1.0	38.21915027134792	0.15471536242407358
