temperature	kappa_grand_canonical	kappa_canonical
1.000000000000	0.148582558442	0.148645341065
0.500000000000	0.185351415386	0.185442023586
0.333333333333	0.205408710930	0.205529984130
0.250000000000	0.219496227957	0.219646055455
0.200000000000	0.230330188149	0.230507009384
0.166666666667	0.239110016926	0.239312863260
0.142857142857	0.246480795086	0.246709557211
0.125000000000	0.252835464307	0.253091463941
0.111111111111	0.258438724808	0.258725322371
0.100000000000	0.263484403088	0.263807359371
0.090909090909	0.268123344882	0.268490805806
0.083333333333	0.272477153982	0.272899297540
0.076923076923	0.276645120906	0.277133596476
0.071428571429	0.280708055203	0.281275357426
0.066666666667	0.284730845468	0.285389730341
0.062500000000	0.288764560886	0.289527566543
0.058823529412	0.292848394149	0.293727489040
0.055555555556	0.297011510651	0.298017865261
0.052631578947	0.301274781295	0.302418644807
0.050000000000	0.305652358674	0.306943016519
0.047619047619	0.310153066742	0.311598854987
0.045454545455	0.314781591504	0.316389947666
0.043478260870	0.319539475869	0.321317010201
0.041666666667	0.324425932709	0.326378507808
0.040000000000	0.329438496426	0.331571308115
0.038461538462	0.334573535814	0.336891189700
0.037037037037	0.339826650919	0.342333232645
0.035714285714	0.345192975007	0.347892112753
0.034482758621	0.350667400298	0.353562319636
0.033333333333	0.356244743421	0.359338314778
0.032258064516	0.361919863891	0.365214643558
0.031250000000	0.367687746447	0.371186011639
0.030303030303	0.373543555960	0.377247335153
0.029411764706	0.379482671782	0.383393770562
0.028571428571	0.385500706929	0.389620730767
0.027777777778	0.391593516245	0.395923889773
0.027027027027	0.397757196727	0.402299181098
0.026315789474	0.403988082430	0.408742790085
0.025641025641	0.410282735747	0.415251143745
0.025000000000	0.416637936406	0.421820898478
0.024390243902	0.423050669174	0.428448925982
0.023809523810	0.429518110963	0.435132299854
0.023255813953	0.436037617854	0.441868281394
0.022727272727	0.442606712372	0.448654306254
0.022222222222	0.449223071259	0.455487971510
0.021739130435	0.455884513873	0.462367023598
0.021276595745	0.462588991324	0.469289346723
0.020833333333	0.469334576351	0.476252952541
0.020408163265	0.476119453987	0.483255970377
0.020000000000	0.482941912960	0.490296638181
0.019607843137	0.489800337836	0.497373294584
0.019230769231	0.496693201834	0.504484371162
0.018867924528	0.503619060293	0.511628385917
0.018518518519	0.510576544730	0.518803936993
0.018181818182	0.517564357447	0.526009696886
0.017857142857	0.524581266637	0.533244407742
0.017543859649	0.531626101949	0.540506876281
0.017241379310	0.538697750464	0.547795970022
0.016949152542	0.545795153043	0.555110613107
0.016666666667	0.552917301009	0.562449782788
0.016393442623	0.560063233135	0.569812506584
0.016129032258	0.567232032891	0.577197858865
0.015873015873	0.574422825940	0.584604958801
0.015625000000	0.581634777845	0.592032967367
0.015384615385	0.588867091967	0.599481085222
0.015151515152	0.596119007529	0.606948550690
0.014925373134	0.603389797841	0.614434637885
0.014705882353	0.610678768643	0.621938654749
0.014492753623	0.617985256584	0.629459941460
0.014285714286	0.625308627793	0.636997868918
0.014084507042	0.632648276556	0.644551837261
0.013888888889	0.640003624063	0.652121274288
0.013698630137	0.647374117245	0.659705634537
0.013513513514	0.654759227665	0.667304397656
0.013333333333	0.662158450476	0.674917067997
0.013157894737	0.669571303433	0.682543172102
0.012987012987	0.676997325944	0.690182259113
0.012820512821	0.684436078182	0.697833899413
0.012658227848	0.691887140218	0.705497682881
0.012500000000	0.699350111205	0.713173219179
0.012345679012	0.706824608586	0.720860135730
0.012195121951	0.714310267341	0.728558078027
0.012048192771	0.721806739254	0.736266707938
0.011904761905	0.729313692213	0.743985703321
0.011764705882	0.736830809536	0.751714757464
0.011627906977	0.744357789313	0.759453578009
0.011494252874	0.751894343779	0.767201886349
0.011363636364	0.759440198705	0.774959417431
0.011235955056	0.766995092807	0.782725918861
0.011111111111	0.774558777181	0.790501149570
0.010989010989	0.782131014751	0.798284880623
0.010869565217	0.789711579739	0.806076893838
0.010752688172	0.797300257151	0.813876981280
0.010638297872	0.804896842281	0.821684944727
0.010526315789	0.812501140236	0.829500595662
0.010416666667	0.820112965467	0.837323754363
0.010309278351	0.827732141330	0.845154249405
0.010204081633	0.835358499652	0.852991917288
0.010101010101	0.842991880317	0.860836602863
0.010000000000	0.850632130869	0.868688157090
