beta	temperature	nsites	canonical_n	mu_grand_canonical	avg_n_grand_canonical	kappa_grand_canonical	kappa_canonical	entropy_per_particle_grand_canonical	entropy_per_particle_canonical
1.000000	1.000000000000	1257	629	0.002677113171	629.000000000000	0.148582558442	0.148645341065	0.908055818422	0.901957242957
2.000000	0.500000000000	1257	629	0.002146043477	629.000000000000	0.185351415386	0.185442023586	0.581025821538	0.575201725179
3.000000	0.333333333333	1257	629	0.001936490511	629.000000000000	0.205408710930	0.205529984130	0.431623366563	0.426016234104
4.000000	0.250000000000	1257	629	0.001812203436	629.000000000000	0.219496227957	0.219646055455	0.346980016588	0.341535095844
5.000000	0.200000000000	1257	629	0.001726962493	629.000000000000	0.230330188149	0.230507009384	0.291915674695	0.286600109272
6.000000	0.166666666667	1257	629	0.001663549514	629.000000000000	0.239110016926	0.239312863260	0.252951679014	0.247743932507
7.000000	0.142857142857	1257	629	0.001613801537	629.000000000000	0.246480795086	0.246709557211	0.223789529746	0.218674472852
8.000000	0.125000000000	1257	629	0.001573239693	629.000000000000	0.252835464307	0.253091463941	0.201070513470	0.196037094690
9.000000	0.111111111111	1257	629	0.001539128647	629.000000000000	0.258438724808	0.258725322371	0.182831867963	0.177871869276
10.000000	0.100000000000	1257	629	0.001509653057	629.000000000000	0.263484403088	0.263807359371	0.167846888809	0.162954160514
11.000000	0.090909090909	1257	629	0.001483531890	629.000000000000	0.268123344882	0.268490805806	0.155308213133	0.150478132188
12.000000	0.083333333333	1257	629	0.001459824823	629.000000000000	0.272477153982	0.272899297540	0.144661940797	0.139890990575
13.000000	0.076923076923	1257	629	0.001437828190	629.000000000000	0.276645120906	0.277133596476	0.135514678190	0.130800113391
14.000000	0.071428571429	1257	629	0.001417013970	629.000000000000	0.280708055203	0.281275357426	0.127578601873	0.122918185855
15.000000	0.066666666667	1257	629	0.001396990013	629.000000000000	0.284730845468	0.285389730341	0.120637584181	0.116029391293
16.000000	0.062500000000	1257	629	0.001377471261	629.000000000000	0.288764560886	0.289527566543	0.114525570420	0.109967845170
17.000000	0.058823529412	1257	629	0.001358257219	629.000000000000	0.292848394149	0.293727489040	0.109112369212	0.104603432615
18.000000	0.055555555556	1257	629	0.001339213546	629.000000000000	0.297011510651	0.298017865261	0.104294074888	0.099832267799
19.000000	0.052631578947	1257	629	0.001320256781	629.000000000000	0.301274781295	0.302418644807	0.099986462743	0.095570116516
20.000000	0.050000000000	1257	629	0.001301341707	629.000000000000	0.305652358674	0.306943016519	0.096120336656	0.091747762767
21.000000	0.047619047619	1257	629	0.001282451035	629.000000000000	0.310153066742	0.311598854987	0.092638185406	0.088307677269
22.000000	0.045454545455	1257	629	0.001263587126	629.000000000000	0.314781591504	0.316389947666	0.089491732913	0.085201574745
23.000000	0.043478260870	1257	629	0.001244765495	629.000000000000	0.319539475869	0.321317010201	0.086640110091	0.082388589148
24.000000	0.041666666667	1257	629	0.001226009819	629.000000000000	0.324425932709	0.326378507808	0.084048466538	0.079833886205
25.000000	0.040000000000	1257	629	0.001207348207	629.000000000000	0.329438496426	0.331571308115	0.081686898722	0.077507590925
26.000000	0.038461538462	1257	629	0.001188810476	629.000000000000	0.334573535814	0.336891189700	0.079529609777	0.075383945821
27.000000	0.037037037037	1257	629	0.001170426247	629.000000000000	0.339826650919	0.342333232645	0.077554241547	0.073440640984
28.000000	0.035714285714	1257	629	0.001152223655	629.000000000000	0.345192975007	0.347892112753	0.075741336807	0.071658274245
29.000000	0.034482758621	1257	629	0.001134228544	629.000000000000	0.350667400298	0.353562319636	0.074073901339	0.070019911297
30.000000	0.033333333333	1257	629	0.001116464001	629.000000000000	0.356244743421	0.359338314778	0.072537043745	0.068510723763
31.000000	0.032258064516	1257	629	0.001098950154	629.000000000000	0.361919863891	0.365214643558	0.071117676581	0.067117688830
32.000000	0.031250000000	1257	629	0.001081704141	629.000000000000	0.367687746447	0.371186011639	0.069804266459	0.065829338134
33.000000	0.030303030303	1257	629	0.001064740203	629.000000000000	0.373543555960	0.377247335153	0.068586623713	0.064635546437
34.000000	0.029411764706	1257	629	0.001048069850	629.000000000000	0.379482671782	0.383393770562	0.067455724330	0.063527352813
35.000000	0.028571428571	1257	629	0.001031702075	629.000000000000	0.385500706929	0.389620730767	0.066403558454	0.062496808587
36.000000	0.027777777778	1257	629	0.001015643584	629.000000000000	0.391593516245	0.395923889773	0.065423000923	0.061536847485
37.000000	0.027027027027	1257	629	0.000999899041	629.000000000000	0.397757196727	0.402299181098	0.064507700223	0.060641174321
