temperature	specific_heat_per_particle_grand_canonical	specific_heat_per_particle_canonical
1.000000000000	0.328535169430	0.328014365232
0.500000000000	0.604568237460	0.603352203122
0.333333333333	0.392598722726	0.391252892992
0.250000000000	0.297882883865	0.296544160591
0.200000000000	0.245004365626	0.243662104309
0.166666666667	0.210327109371	0.208972644236
0.142857142857	0.185353385493	0.183975746410
0.125000000000	0.166228792520	0.164811842324
0.111111111111	0.150898030634	0.149422809429
0.100000000000	0.138147749870	0.136597152803
0.090909090909	0.127219303488	0.125582117969
0.083333333333	0.117624893123	0.115897765820
0.076923076923	0.109047069492	0.107234417490
0.071428571429	0.101277810037	0.099390370626
0.066666666667	0.094179407849	0.092232200126
0.062500000000	0.087658837844	0.085669113124
0.058823529412	0.081650986355	0.079636495854
0.055555555556	0.076107835037	0.074085542665
0.052631578947	0.070991635722	0.068976875546
0.050000000000	0.066270723656	0.064276735734
0.047619047619	0.061917040920	0.059954796332
0.045454545455	0.057904742038	0.055982969759
0.043478260870	0.054209464410	0.052334806140
0.041666666667	0.050807991583	0.048985227637
0.040000000000	0.047678135991	0.045910441484
0.038461538462	0.044798733467	0.043087937574
0.037037037037	0.042149684923	0.040496516334
0.035714285714	0.039712008224	0.038116317474
0.034482758621	0.037467880807	0.035928835252
0.033333333333	0.035400664218	0.033916914852
0.032258064516	0.033494908119	0.032064729424
0.031250000000	0.031736334766	0.030357739874
0.030303030303	0.030111806741	0.028782640787
0.029411764706	0.028609281396	0.027327296041
0.028571428571	0.027217755521	0.025980667452
0.027777777778	0.025927203463	0.024732739545
0.027027027027	0.024728511490	0.023574442905
0.026315789474	0.023613410683	0.022497578098
0.025641025641	0.022574410180	0.021494741650
0.025000000000	0.021604732140	0.020559255213
0.024390243902	0.020698249395	0.019685098634
0.023809523810	0.019849426485	0.018866847409
0.023255813953	0.019053264478	0.018099614699
0.022727272727	0.018305249773	0.017378998038
0.022222222222	0.017601306952	0.016701030595
0.021739130435	0.016937755633	0.016062136837
0.021276595745	0.016311271145	0.015459092400
0.020833333333	0.015718848872	0.014888987831
0.020408163265	0.015157772000	0.014349196053
0.020000000000	0.014625582442	0.013837343051
0.019607843137	0.014120054675	0.013351281644
0.019230769231	0.013639172229	0.012889068049
0.018867924528	0.013181106609	0.012448940916
0.018518518519	0.012744198379	0.012029302554
0.018181818182	0.012326940237	0.011628702194
0.017857142857	0.011927961835	0.011245821159
0.017543859649	0.011546016197	0.010879459409
0.017241379310	0.011179967546	0.010528523695
0.016949152542	0.010828780394	0.010192016972
0.016666666667	0.010491509770	0.009869028811
0.016393442623	0.010167292438	0.009558726971
0.016129032258	0.009855339028	0.009260349717
0.015873015873	0.009554926968	0.008973199107
0.015625000000	0.009265394112	0.008696634832
0.015384615385	0.008986133034	0.008430068694
0.015151515152	0.008716585861	0.008172959786
0.014925373134	0.008456239646	0.007924809938
0.014705882353	0.008204622173	0.007685159860
0.014492753623	0.007961298185	0.007453585522
0.014285714286	0.007725865972	0.007229694828
0.014084507042	0.007497954285	0.007013124852
0.013888888889	0.007277219557	0.006803539091
0.013698630137	0.007063343377	0.006600625111
0.013513513514	0.006856030216	0.006404092443
0.013333333333	0.006655005351	0.006213670642
0.013157894737	0.006460013005	0.006029107445
0.012987012987	0.006270814658	0.005850167239
0.012820512821	0.006087187490	0.005676629603
0.012658227848	0.005908923012	0.005508287970
0.012500000000	0.005735825803	0.005344948562
0.012345679012	0.005567712348	0.005186429119
0.012195121951	0.005404410027	0.005032558053
0.012048192771	0.005245756160	0.004883173568
0.011904761905	0.005091597165	0.004738122751
0.011764705882	0.004941787772	0.004597261012
0.011627906977	0.004796190340	0.004460451212
0.011494252874	0.004654674221	0.004327563143
0.011363636364	0.004517115175	0.004198473111
0.011235955056	0.004383394857	0.004073063255
0.011111111111	0.004253400340	0.003951221130
0.010989010989	0.004127023701	0.003832839425
0.010869565217	0.004004161625	0.003717815439
0.010752688172	0.003884715051	0.003606050741
0.010638297872	0.003768588857	0.003497451010
0.010526315789	0.003655691579	0.003391925625
0.010416666667	0.003545935151	0.003289387403
0.010309278351	0.003439234661	0.003189752468
0.010204081633	0.003335508137	0.003092939905
0.010101010101	0.003234676371	0.002998871708
0.010000000000	0.003132294273	0.002903384515
