temperature	entropy_per_particle_grand_canonical	entropy_per_particle_canonical
1.000000000000	0.925720108079	0.879450002741
0.500000000000	0.599513142295	0.556028848185
0.333333333333	0.445674317854	0.404567188197
0.250000000000	0.358197487633	0.319110781102
0.200000000000	0.302463483413	0.265234831016
0.166666666667	0.264764628217	0.229226139608
0.142857142857	0.238321969060	0.204268237713
0.125000000000	0.219282150779	0.186497153086
0.111111111111	0.205279822514	0.173560943697
0.100000000000	0.194797195818	0.163966030837
0.090909090909	0.186830498694	0.156734861443
0.083333333333	0.180699304667	0.151211286800
0.076923076923	0.175931801306	0.146944616985
0.071428571429	0.172193681249	0.143618476347
0.066666666667	0.169243170896	0.141006183469
0.062500000000	0.166902093136	0.138942227897
0.058823529412	0.165036918338	0.137303694360
0.055555555556	0.163546118861	0.135997931976
0.052631578947	0.162351556396	0.134954205510
0.050000000000	0.161392490350	0.134117927965
0.047619047619	0.160621320816	0.133446596404
0.045454545455	0.160000502804	0.132906873011
0.043478260870	0.159500268312	0.132472451370
0.041666666667	0.159096917573	0.132122471733
0.040000000000	0.158771519607	0.131840327442
0.038461538462	0.158508912630	0.131612755040
0.037037037037	0.158296927846	0.131429133455
0.035714285714	0.158125782014	0.131280939539
0.034482758621	0.157987599089	0.131161321964
0.033333333333	0.157876031558	0.131064765740
0.032258064516	0.157785959430	0.130986826726
0.031250000000	0.157713250117	0.130923920642
0.030303030303	0.157654566352	0.130873154806
0.029411764706	0.157607212148	0.130832193550
0.028571428571	0.157569009048	0.130799150312
0.027777777778	0.157538196517	0.130772500937
0.027027027027	0.157513351694	0.130751013908
0.026315789474	0.157493324639	0.130733694130
0.025641025641	0.157477186064	0.130719737569
0.025000000000	0.157464185091	0.130708494635
0.024390243902	0.157453715109	0.130699440599
0.023809523810	0.157445286168	0.130692151675
0.023255813953	0.157438502637	0.130686285682
0.022727272727	0.157433045139	0.130681566402
0.022222222222	0.157428655929	0.130677770932
0.021739130435	0.157425127067	0.130674719446
0.021276595745	0.157422290852	0.130672266916
0.020833333333	0.157420012077	0.130670296421
0.020408163265	0.157418181773	0.130668713732
0.020000000000	0.157416712150	0.130667442931
0.019607843137	0.157415532502	0.130666422876
0.019230769231	0.157414585907	0.130665604346
0.018867924528	0.157413826553	0.130664947726
0.018518518519	0.157413217585	0.130664421146
0.018181818182	0.157412729361	0.130663998975
0.017857142857	0.157412338054	0.130663660609
0.017543859649	0.157412024511	0.130663389486
0.017241379310	0.157411773348	0.130663172304
0.016949152542	0.157411572208	0.130662998376
0.016666666667	0.157411411169	0.130662859125
0.016393442623	0.157411282271	0.130662747666
0.016129032258	0.157411179123	0.130662658473
0.015873015873	0.157411096601	0.130662587116
0.015625000000	0.157411030597	0.130662530042
0.015384615385	0.157410977817	0.130662484403
0.015151515152	0.157410935620	0.130662447915
0.014925373134	0.157410901893	0.130662418751
0.014705882353	0.157410874940	0.130662395444
0.014492753623	0.157410853406	0.130662376824
0.014285714286	0.157410836204	0.130662361949
0.014084507042	0.157410822466	0.130662350070
0.013888888889	0.157410811497	0.130662340585
0.013698630137	0.157410802740	0.130662333012
0.013513513514	0.157410795750	0.130662326968
0.013333333333	0.157410790171	0.130662322145
0.013157894737	0.157410785721	0.130662318296
0.012987012987	0.157410782170	0.130662315225
0.012820512821	0.157410779338	0.130662312777
0.012658227848	0.157410777079	0.130662310823
0.012500000000	0.157410775278	0.130662309266
0.012345679012	0.157410773842	0.130662308024
0.012195121951	0.157410772697	0.130662307035
0.012048192771	0.157410771785	0.130662306246
0.011904761905	0.157410771058	0.130662305617
0.011764705882	0.157410770479	0.130662305116
0.011627906977	0.157410770017	0.130662304717
0.011494252874	0.157410769650	0.130662304400
0.011363636364	0.157410769357	0.130662304146
0.011235955056	0.157410769124	0.130662303945
0.011111111111	0.157410768938	0.130662303784
0.010989010989	0.157410768791	0.130662303656
0.010869565217	0.157410768673	0.130662303555
0.010752688172	0.157410768579	0.130662303474
0.010638297872	0.157410768505	0.130662303409
0.010526315789	0.157410768445	0.130662303358
0.010416666667	0.157410768398	0.130662303317
0.010309278351	0.157410768361	0.130662303285
0.010204081633	0.157410768331	0.130662303259
0.010101010101	0.157410768307	0.130662303238
0.010000000000	0.157410768288	0.130662303222
