radius	nsites	canonical_n	energy_per_particle_grand_canonical_beta1	energy_per_particle_canonical_beta1
4	49	25	-1.057794727388	-1.069042092581
6	113	57	-1.139075061498	-1.144183234577
8	197	99	-1.172020930030	-1.175007319628
10	317	159	-1.193758239958	-1.195633201149
12	441	221	-1.203694509079	-1.205046675430
14	613	307	-1.213581621588	-1.214558974627
16	797	399	-1.219805281497	-1.220559450268
18	1009	505	-1.224687385785	-1.225284375191
20	1257	629	-1.228840336480	-1.229320504038
