panel	square_geometry	temperature_disk	temperature_square	delta_temperature	abs_delta_temperature
Disk GCE to Square GCE	square_obc	0.012323303697	0.036210778616	0.023887474919	0.023887474919
Disk GCE to Square GCE	square_obc	0.012361221092	0.036313505370	0.023952284278	0.023952284278
Disk GCE to Square GCE	square_obc	0.012399255154	0.036415695802	0.024016440648	0.024016440648
Disk GCE to Square GCE	square_obc	0.012437406242	0.036518173810	0.024080767568	0.024080767568
Disk GCE to Square GCE	square_obc	0.012475674717	0.036620940204	0.024145265487	0.024145265487
Disk GCE to Square GCE	square_obc	0.012514060939	0.036723478718	0.024209417779	0.024209417779
Disk GCE to Square GCE	square_obc	0.012552565272	0.036825405939	0.024272840667	0.024272840667
Disk GCE to Square GCE	square_obc	0.012591188078	0.036927616062	0.024336427984	0.024336427984
Disk GCE to Square GCE	square_obc	0.012629929721	0.037030109872	0.024400180151	0.024400180151
Disk GCE to Square GCE	square_obc	0.012668790569	0.037136152691	0.024467362122	0.024467362122
Disk GCE to Square GCE	square_obc	0.012707770987	0.037241682089	0.024533911102	0.024533911102
Disk GCE to Square GCE	square_obc	0.012746871343	0.037347511369	0.024600640026	0.024600640026
Disk GCE to Square GCE	square_obc	0.012786092006	0.037453641383	0.024667549377	0.024667549377
Disk GCE to Square GCE	square_obc	0.012825433347	0.037559885757	0.024734452410	0.024734452410
Disk GCE to Square GCE	square_obc	0.012864895737	0.037665116080	0.024800220343	0.024800220343
Disk GCE to Square GCE	square_obc	0.012904479548	0.037770641222	0.024866161674	0.024866161674
Disk GCE to Square GCE	square_obc	0.012944185154	0.037876462011	0.024932276857	0.024932276857
Disk GCE to Square GCE	square_obc	0.012984012930	0.037982579275	0.024998566345	0.024998566345
Disk GCE to Square GCE	square_obc	0.013023963251	0.038087588733	0.025063625482	0.025063625482
Disk GCE to Square GCE	square_obc	0.013064036494	0.038192773935	0.025128737441	0.025128737441
Disk GCE to Square GCE	square_obc	0.013104233038	0.038298249624	0.025194016586	0.025194016586
Disk GCE to Square GCE	square_obc	0.013144553263	0.038404016601	0.025259463338	0.025259463338
Disk GCE to Square GCE	square_obc	0.013184997548	0.038510941773	0.025325944225	0.025325944225
Disk GCE to Square GCE	square_obc	0.013225566276	0.038619939410	0.025394373134	0.025394373134
Disk GCE to Square GCE	square_obc	0.013266259829	0.038729245544	0.025462985715	0.025462985715
Disk GCE to Square GCE	square_obc	0.013307078591	0.038838861047	0.025531782456	0.025531782456
Disk GCE to Square GCE	square_obc	0.013348022948	0.038948208221	0.025600185273	0.025600185273
Disk GCE to Square GCE	square_obc	0.013389093286	0.039056824682	0.025667731396	0.025667731396
Disk GCE to Square GCE	square_obc	0.013430289993	0.039165744045	0.025735454052	0.025735454052
Disk GCE to Square GCE	square_obc	0.013471613458	0.039274967157	0.025803353699	0.025803353699
Disk GCE to Square GCE	square_obc	0.013513064069	0.039384494864	0.025871430795	0.025871430795
Disk GCE to Square GCE	square_obc	0.013554642220	0.039492709513	0.025938067293	0.025938067293
Disk GCE to Square GCE	square_obc	0.013596348302	0.039601203736	0.026004855434	0.026004855434
Disk GCE to Square GCE	square_obc	0.013638182709	0.039709996014	0.026071813305	0.026071813305
Disk GCE to Square GCE	square_obc	0.013680145836	0.039819087166	0.026138941330	0.026138941330
Disk GCE to Square GCE	square_obc	0.013722238078	0.039927551174	0.026205313096	0.026205313096
Disk GCE to Square GCE	square_obc	0.013764459833	0.040037065491	0.026272605658	0.026272605658
Disk GCE to Square GCE	square_obc	0.013806811500	0.040149913580	0.026343102080	0.026343102080
Disk GCE to Square GCE	square_obc	0.013849293478	0.040263079741	0.026413786263	0.026413786263
Disk GCE to Square GCE	square_obc	0.013891906168	0.040376441746	0.026484535578	0.026484535578
Disk GCE to Square GCE	square_obc	0.013934649972	0.040488500165	0.026553850193	0.026553850193
