panel	square_geometry	temperature_disk	temperature_square
Disk GCE to Square GCE	square_obc	0.013554642220	0.039492709513
Disk GCE to Square GCE	square_obc	0.013596348302	0.039601203736
Disk GCE to Square GCE	square_obc	0.013638182709	0.039709996014
Disk GCE to Square GCE	square_obc	0.013680145836	0.039819087166
Disk GCE to Square GCE	square_obc	0.013722238078	0.039927551174
Disk GCE to Square GCE	square_obc	0.013764459833	0.040037065491
Disk GCE to Square GCE	square_obc	0.013806811500	0.040149913580
Disk GCE to Square GCE	square_obc	0.013849293478	0.040263079741
Disk GCE to Square GCE	square_obc	0.013891906168	0.040376441746
Disk GCE to Square GCE	square_obc	0.013934649972	0.040488500165
Disk GCE to Square GCE	square_obc	0.013977525295	0.040600869585
Disk GCE to Square GCE	square_obc	0.014020532539	0.040713550868
Disk GCE to Square GCE	square_obc	0.014063672112	0.040826544880
Disk GCE to Square GCE	square_obc	0.014106944421	0.040938937901
Disk GCE to Square GCE	square_obc	0.014150349874	0.041050787436
Disk GCE to Square GCE	square_obc	0.014193888880	0.041162942556
Disk GCE to Square GCE	square_obc	0.014237561851	0.041275404095
Disk GCE to Square GCE	square_obc	0.014281369198	0.041388172892
Disk GCE to Square GCE	square_obc	0.014325311336	0.041499637976
Disk GCE to Square GCE	square_obc	0.014369388678	0.041611225641
Disk GCE to Square GCE	square_obc	0.014413601642	0.041725582648
Disk GCE to Square GCE	square_obc	0.014457950644	0.041842689312
Disk GCE to Square GCE	square_obc	0.014502436102	0.041959714318
Disk GCE to Square GCE	square_obc	0.014547058437	0.042075585355
Disk GCE to Square GCE	square_obc	0.014591818070	0.042191776368
Disk GCE to Square GCE	square_obc	0.014636715424	0.042308288241
Disk GCE to Square GCE	square_obc	0.014681750921	0.042425121859
Disk GCE to Square GCE	square_obc	0.014726924987	0.042541387540
Disk GCE to Square GCE	square_obc	0.014772238049	0.042656946200
Disk GCE to Square GCE	square_obc	0.014817690534	0.042772818762
Disk GCE to Square GCE	square_obc	0.014863282871	0.042889006077
Disk GCE to Square GCE	square_obc	0.014909015490	0.043005509002
