beta	temperature	nsites	canonical_n	mu_grand_canonical	avg_n_grand_canonical	energy_per_particle_grand_canonical	energy_per_particle_canonical	kappa_grand_canonical	kappa_canonical	entropy_per_particle_grand_canonical	entropy_per_particle_canonical
1.000000	1.000000000000	36	18	0.000000000000	18.000000000000	-1.258839513374	-1.275082496913	0.147488412206	0.149946909714	0.901048712321	0.787143740786
2.000000	0.500000000000	36	18	0.000000000000	18.000000000000	-1.483142861535	-1.490518681238	0.194536271256	0.201298608383	0.595523810882	0.494423903077
3.000000	0.333333333333	36	18	0.000000000000	18.000000000000	-1.532112245603	-1.535311168796	0.240178722937	0.254933804432	0.478161907924	0.387246986304
4.000000	0.250000000000	36	18	0.000000000000	18.000000000000	-1.547255353208	-1.548537262864	0.293781436582	0.317581081604	0.426501023754	0.342163733627
5.000000	0.200000000000	36	18	0.000000000000	18.000000000000	-1.552540192698	-1.553028699971	0.354659732107	0.386795494549	0.403163494068	0.322335936247
6.000000	0.166666666667	36	18	0.000000000000	18.000000000000	-1.554451130118	-1.554633282217	0.419963558224	0.459673017550	0.392811361632	0.313644307663
7.000000	0.142857142857	36	18	0.000000000000	18.000000000000	-1.555149903766	-1.555217251857	0.487528305391	0.534363686610	0.388326795610	0.309896649528
8.000000	0.125000000000	36	18	0.000000000000	18.000000000000	-1.555406410972	-1.555431233099	0.556151733767	0.609893792419	0.386424043181	0.308309368448
9.000000	0.111111111111	36	18	0.000000000000	18.000000000000	-1.555500699982	-1.555509837797	0.625246789163	0.685796340093	0.385630319331	0.307647677233
10.000000	0.100000000000	36	18	0.000000000000	18.000000000000	-1.555535376893	-1.555538739356	0.694545328598	0.761859344022	0.385303731810	0.307375482349
11.000000	0.090909090909	36	18	0.000000000000	18.000000000000	-1.555548132453	-1.555549369550	0.763929714587	0.837990006159	0.385170844141	0.307264736838
12.000000	0.083333333333	36	18	0.000000000000	18.000000000000	-1.555552824778	-1.555553279896	0.833349717799	0.914148733927	0.385117267081	0.307220088429
13.000000	0.076923076923	36	18	0.000000000000	18.000000000000	-1.555554550962	-1.555554718393	0.902784307604	0.990318954829	0.385095831280	0.307202225135
14.000000	0.071428571429	36	18	0.000000000000	18.000000000000	-1.555555185987	-1.555555247581	0.972224809198	1.066493833658	0.385087310507	0.307195124473
15.000000	0.066666666667	36	18	0.000000000000	18.000000000000	-1.555555419599	-1.555555442258	1.041667686341	1.142670584175	0.385083942284	0.307192317617
16.000000	0.062500000000	36	18	0.000000000000	18.000000000000	-1.555555505540	-1.555555513876	1.111111511236	1.218848081422	0.385082617244	0.307191213417
17.000000	0.058823529412	36	18	0.000000000000	18.000000000000	-1.555555537156	-1.555555540222	1.180555711953	1.295025874776	0.385082098173	0.307190780858
18.000000	0.055555555556	36	18	0.000000000000	18.000000000000	-1.555555548787	-1.555555549915	1.250000060920	1.371203784935	0.385081895586	0.307190612036
19.000000	0.052631578947	36	18	0.000000000000	18.000000000000	-1.555555553065	-1.555555553480	1.319444468101	1.447381740960	0.385081816780	0.307190546364
20.000000	0.050000000000	36	18	0.000000000000	18.000000000000	-1.555555554639	-1.555555554792	1.388888898050	1.523559714925	0.385081786215	0.307190520893
21.000000	0.047619047619	36	18	0.000000000000	18.000000000000	-1.555555555219	-1.555555555275	1.458333336872	1.599737695881	0.385081774392	0.307190511040
22.000000	0.045454545455	36	18	0.000000000000	18.000000000000	-1.555555555432	-1.555555555452	1.527777779142	1.675915679553	0.385081769829	0.307190507238
23.000000	0.043478260870	36	18	0.000000000000	18.000000000000	-1.555555555510	-1.555555555518	1.597222222747	1.752093664278	0.385081768072	0.307190505774
24.000000	0.041666666667	36	18	0.000000000000	18.000000000000	-1.555555555539	-1.555555555542	1.666666666868	1.828271649407	0.385081767397	0.307190505211
25.000000	0.040000000000	36	18	0.000000000000	18.000000000000	-1.555555555549	-1.555555555550	1.736111111188	1.904449634695	0.385081767138	0.307190504995
26.000000	0.038461538462	36	18	0.000000000000	18.000000000000	-1.555555555553	-1.555555555554	1.805555555585	1.980627620044	0.385081767039	0.307190504913
27.000000	0.037037037037	36	18	0.000000000000	18.000000000000	-1.555555555555	-1.555555555555	1.875000000011	2.056805605414	0.385081767001	0.307190504881
28.000000	0.035714285714	36	18	0.000000000000	18.000000000000	-1.555555555555	-1.555555555555	1.944444444449	2.132983590794	0.385081766987	0.307190504869
29.000000	0.034482758621	36	18	0.000000000000	18.000000000000	-1.555555555555	-1.555555555555	2.013888888891	2.209161576178	0.385081766981	0.307190504865
30.000000	0.033333333333	36	18	0.000000000000	18.000000000000	-1.555555555556	-1.555555555556	2.083333333334	2.285339561561	0.385081766979	0.307190504863
31.000000	0.032258064516	36	18	0.000000000000	18.000000000000	-1.555555555556	-1.555555555556	2.152777777778	2.361517546946	0.385081766978	0.307190504862
32.000000	0.031250000000	36	18	0.000000000000	18.000000000000	-1.555555555556	-1.555555555556	2.222222222222	2.437695532333	0.385081766978	0.307190504862
33.000000	0.030303030303	36	18	0.000000000000	18.000000000000	-1.555555555556	-1.555555555556	2.291666666667	2.513873517718	0.385081766978	0.307190504862
34.000000	0.029411764706	36	18	0.000000000000	18.000000000000	-1.555555555556	-1.555555555556	2.361111111111	2.590051503103	0.385081766978	0.307190504862
35.000000	0.028571428571	36	18	0.000000000000	18.000000000000	-1.555555555556	-1.555555555556	2.430555555556	2.666229488490	0.385081766978	0.307190504862
36.000000	0.027777777778	36	18	0.000000000000	18.000000000000	-1.555555555556	-1.555555555556	2.500000000000	2.742407473874	0.385081766978	0.307190504862
37.000000	0.027027027027	36	18	0.000000000000	18.000000000000	-1.555555555556	-1.555555555556	2.569444444444	2.818585459259	0.385081766978	0.307190504862
38.000000	0.026315789474	36	18	0.000000000000	18.000000000000	-1.555555555556	-1.555555555556	2.638888888889	2.894763444643	0.385081766978	0.307190504862
39.000000	0.025641025641	36	18	0.000000000000	18.000000000000	-1.555555555556	-1.555555555556	2.708333333333	2.970941430027	0.385081766978	0.307190504862
40.000000	0.025000000000	36	18	0.000000000000	18.000000000000	-1.555555555556	-1.555555555556	2.777777777778	3.047119415412	0.385081766978	0.307190504862
41.000000	0.024390243902	36	18	0.000000000000	18.000000000000	-1.555555555556	-1.555555555556	2.847222222222	3.123297400799	0.385081766978	0.307190504862
42.000000	0.023809523810	36	18	0.000000000000	18.000000000000	-1.555555555556	-1.555555555556	2.916666666667	3.199475386186	0.385081766978	0.307190504862
43.000000	0.023255813953	36	18	0.000000000000	18.000000000000	-1.555555555556	-1.555555555556	2.986111111111	3.275653371568	0.385081766978	0.307190504862
44.000000	0.022727272727	36	18	0.000000000000	18.000000000000	-1.555555555556	-1.555555555556	3.055555555556	3.351831356956	0.385081766978	0.307190504862
45.000000	0.022222222222	36	18	0.000000000000	18.000000000000	-1.555555555556	-1.555555555556	3.125000000000	3.428009342340	0.385081766978	0.307190504862
46.000000	0.021739130435	36	18	0.000000000000	18.000000000000	-1.555555555556	-1.555555555556	3.194444444444	3.504187327723	0.385081766978	0.307190504862
47.000000	0.021276595745	36	18	0.000000000000	18.000000000000	-1.555555555556	-1.555555555556	3.263888888889	3.580365313109	0.385081766978	0.307190504862
48.000000	0.020833333333	36	18	0.000000000000	18.000000000000	-1.555555555556	-1.555555555556	3.333333333333	3.656543298497	0.385081766978	0.307190504862
49.000000	0.020408163265	36	18	0.000000000000	18.000000000000	-1.555555555556	-1.555555555556	3.402777777778	3.732721283884	0.385081766978	0.307190504862
50.000000	0.020000000000	36	18	0.000000000000	18.000000000000	-1.555555555556	-1.555555555556	3.472222222222	3.808899269267	0.385081766978	0.307190504862
51.000000	0.019607843137	36	18	0.000000000000	18.000000000000	-1.555555555556	-1.555555555556	3.541666666667	3.885077254654	0.385081766978	0.307190504862
52.000000	0.019230769231	36	18	0.000000000000	18.000000000000	-1.555555555556	-1.555555555556	3.611111111111	3.961255240040	0.385081766978	0.307190504862
53.000000	0.018867924528	36	18	0.000000000000	18.000000000000	-1.555555555556	-1.555555555556	3.680555555556	4.037433225424	0.385081766978	0.307190504862
54.000000	0.018518518519	36	18	0.000000000000	18.000000000000	-1.555555555556	-1.555555555556	3.750000000000	4.113611210811	0.385081766978	0.307190504862
55.000000	0.018181818182	36	18	0.000000000000	18.000000000000	-1.555555555556	-1.555555555556	3.819444444444	4.189789196195	0.385081766978	0.307190504862
56.000000	0.017857142857	36	18	0.000000000000	18.000000000000	-1.555555555556	-1.555555555556	3.888888888889	4.265967181581	0.385081766978	0.307190504862
57.000000	0.017543859649	36	18	0.000000000000	18.000000000000	-1.555555555556	-1.555555555556	3.958333333333	4.342145166961	0.385081766978	0.307190504862
58.000000	0.017241379310	36	18	0.000000000000	18.000000000000	-1.555555555556	-1.555555555556	4.027777777778	4.418323152350	0.385081766978	0.307190504862
59.000000	0.016949152542	36	18	0.000000000000	18.000000000000	-1.555555555556	-1.555555555556	4.097222222222	4.494501137737	0.385081766978	0.307190504862
60.000000	0.016666666667	36	18	0.000000000000	18.000000000000	-1.555555555556	-1.555555555556	4.166666666667	4.570679123120	0.385081766978	0.307190504862
61.000000	0.016393442623	36	18	0.000000000000	18.000000000000	-1.555555555556	-1.555555555556	4.236111111111	4.646857108502	0.385081766978	0.307190504862
62.000000	0.016129032258	36	18	0.000000000000	18.000000000000	-1.555555555556	-1.555555555556	4.305555555556	4.723035093893	0.385081766978	0.307190504862
63.000000	0.015873015873	36	18	0.000000000000	18.000000000000	-1.555555555556	-1.555555555556	4.375000000000	4.799213079276	0.385081766978	0.307190504862
64.000000	0.015625000000	36	18	0.000000000000	18.000000000000	-1.555555555556	-1.555555555556	4.444444444444	4.875391064662	0.385081766978	0.307190504862
65.000000	0.015384615385	36	18	0.000000000000	18.000000000000	-1.555555555556	-1.555555555556	4.513888888889	4.951569050044	0.385081766978	0.307190504862
66.000000	0.015151515152	36	18	0.000000000000	18.000000000000	-1.555555555556	-1.555555555556	4.583333333333	5.027747035436	0.385081766978	0.307190504862
67.000000	0.014925373134	36	18	0.000000000000	18.000000000000	-1.555555555556	-1.555555555556	4.652777777778	5.103925020821	0.385081766978	0.307190504862
68.000000	0.014705882353	36	18	0.000000000000	18.000000000000	-1.555555555556	-1.555555555556	4.722222222222	5.180103006200	0.385081766978	0.307190504862
