beta	temperature	nsites	canonical_n	mu_grand_canonical	avg_n_grand_canonical	energy_per_particle_grand_canonical	energy_per_particle_canonical	kappa_grand_canonical	kappa_canonical	entropy_per_particle_grand_canonical	entropy_per_particle_canonical
1.000000	1.000000000000	5184	2592	0.000000000000	2592.000000000000	-1.248280203430	-1.248397802512	0.147479993828	0.147494995499	0.902960286108	0.901207425178
2.000000	0.500000000000	5184	2592	-0.000000000000	2592.000000000000	-1.486653416043	-1.486724040737	0.183515542696	0.183537466677	0.575920555895	0.574235582364
3.000000	0.333333333333	5184	2592	0.000000000000	2592.000000000000	-1.548133936775	-1.548182796934	0.203350427790	0.203380011415	0.427614400869	0.425982510741
4.000000	0.250000000000	5184	2592	0.000000000000	2592.000000000000	-1.572521883462	-1.572559304808	0.217379373052	0.217416119688	0.343814778741	0.342222406573
5.000000	0.200000000000	5184	2592	-0.000000000000	2592.000000000000	-1.584759262939	-1.584789642275	0.228224599874	0.228268131922	0.289359522636	0.287798590125
6.000000	0.166666666667	5184	2592	-0.000000000000	2592.000000000000	-1.591814717591	-1.591840316302	0.237049007493	0.237099040316	0.250845284436	0.249310506396
7.000000	0.142857142857	5184	2592	-0.000000000000	2592.000000000000	-1.596272783976	-1.596294920262	0.244477045315	0.244533353936	0.222023987110	0.220511629459
8.000000	0.125000000000	5184	2592	0.000000000000	2592.000000000000	-1.599279205201	-1.599298715698	0.250882985393	0.250945382784	0.199567404323	0.198074683857
9.000000	0.111111111111	5184	2592	0.000000000000	2592.000000000000	-1.601407957462	-1.601425406886	0.256508793000	0.256577119742	0.181530392075	0.180055151726
10.000000	0.100000000000	5184	2592	0.000000000000	2592.000000000000	-1.602973485100	-1.602989272841	0.261519876125	0.261593996021	0.166695731654	0.165236249110
11.000000	0.090909090909	5184	2592	0.000000000000	2592.000000000000	-1.604160261533	-1.604174680606	0.266034272503	0.266114062772	0.154260596941	0.152815464373
12.000000	0.083333333333	5184	2592	-0.000000000000	2592.000000000000	-1.605082540470	-1.605095812300	0.270139144849	0.270224499338	0.143672885214	0.142240929839
13.000000	0.076923076923	5184	2592	0.000000000000	2592.000000000000	-1.605814271464	-1.605826567491	0.273900682783	0.273991507575	0.134539771238	0.133120000784
14.000000	0.071428571429	5184	2592	-0.000000000000	2592.000000000000	-1.606405097856	-1.606416553541	0.277370348577	0.277466565065	0.126573740728	0.125165304832
15.000000	0.066666666667	5184	2592	0.000000000000	2592.000000000000	-1.606889387849	-1.606900112065	0.280588986173	0.280690537246	0.119559273981	0.118161436233
16.000000	0.062500000000	5184	2592	-0.000000000000	2592.000000000000	-1.607291568988	-1.607301650509	0.283589624879	0.283696481461	0.113331485540	0.111943602875
17.000000	0.058823529412	5184	2592	0.000000000000	2592.000000000000	-1.607629402910	-1.607638915008	0.286399452914	0.286511629120	0.107761981211	0.106383488466
18.000000	0.055555555556	5184	2592	-0.000000000000	2592.000000000000	-1.607916063488	-1.607925067267	0.289041241992	0.289158803843	0.102749229916	0.101379628098
19.000000	0.052631578947	5184	2592	0.000000000000	2592.000000000000	-1.608161494300	-1.608170041163	0.291534394668	0.291657477251	0.098211848111	0.096850695307
20.000000	0.050000000000	5184	2592	0.000000000000	2592.000000000000	-1.608373318167	-1.608381451680	0.293895722896	0.294024545548	0.094083814269	0.092730718448
