site_index	x	y
1	0	-5
2	-3	-4
3	-2	-4
4	-1	-4
5	0	-4
6	1	-4
7	2	-4
8	3	-4
9	-4	-3
10	-3	-3
11	-2	-3
12	-1	-3
13	0	-3
14	1	-3
15	2	-3
16	3	-3
17	4	-3
18	-4	-2
19	-3	-2
20	-2	-2
21	-1	-2
22	0	-2
23	1	-2
24	2	-2
25	3	-2
26	4	-2
27	-4	-1
28	-3	-1
29	-2	-1
30	-1	-1
31	0	-1
32	1	-1
33	2	-1
34	3	-1
35	4	-1
36	-5	0
37	-4	0
38	-3	0
39	-2	0
40	-1	0
41	0	0
42	1	0
43	2	0
44	3	0
45	4	0
46	5	0
47	-4	1
48	-3	1
49	-2	1
50	-1	1
51	0	1
52	1	1
53	2	1
54	3	1
55	4	1
56	-4	2
57	-3	2
58	-2	2
59	-1	2
60	0	2
61	1	2
62	2	2
63	3	2
64	4	2
65	-4	3
66	-3	3
67	-2	3
68	-1	3
69	0	3
70	1	3
71	2	3
72	3	3
73	4	3
74	-3	4
75	-2	4
76	-1	4
77	0	4
78	1	4
79	2	4
80	3	4
81	0	5
