level_index	eigenvalue
1	-3.961266581650
2	-3.902044407028
3	-3.902044407028
4	-3.825788320845
5	-3.824068421719
6	-3.798076548294
7	-3.731557223648
8	-3.731557223648
9	-3.676427860306
10	-3.676427860306
11	-3.626310293437
12	-3.619726776557
13	-3.542533247023
14	-3.534934853021
15	-3.513041088449
16	-3.500676293689
17	-3.500676293689
18	-3.386843761789
19	-3.386843761789
20	-3.365793762250
21	-3.364596158476
22	-3.334774863362
23	-3.334774863362
24	-3.227321613442
25	-3.217850827291
26	-3.217850827291
27	-3.215851228467
28	-3.156134072608
29	-3.133190204479
30	-3.120392915757
31	-3.063841560140
32	-3.054881905143
33	-3.045237904388
34	-3.045237904388
35	-2.948753351580
36	-2.948753351580
37	-2.898973738167
38	-2.898973738167
39	-2.882362880038
40	-2.882362880038
41	-2.860271479439
42	-2.857493063784
43	-2.742396061252
44	-2.734254620019
45	-2.730424689687
46	-2.705598914930
47	-2.685227195641
48	-2.664363203819
49	-2.664363203819
50	-2.631906640613
51	-2.628468116190
52	-2.536840626103
53	-2.536840626103
54	-2.517725938035
55	-2.517725938035
56	-2.476777141633
57	-2.452288501743
58	-2.441651674633
59	-2.441651674633
60	-2.366086216879
61	-2.351300591992
62	-2.351300591992
63	-2.312131927434
64	-2.303375223969
65	-2.297077725151
66	-2.261101591328
67	-2.261101591328
68	-2.204825682037
69	-2.190894965843
70	-2.163082143156
71	-2.140415699213
72	-2.140415699213
73	-2.080183542155
74	-2.073851544390
75	-2.073851544390
76	-2.051062262183
77	-2.049986207608
78	-2.041106803536
79	-1.961200311772
80	-1.961200311772
81	-1.947342185194
82	-1.904600535177
83	-1.887433946942
84	-1.887433946942
85	-1.868635129764
86	-1.850221005681
87	-1.850221005681
88	-1.836656607579
89	-1.737589837091
90	-1.737589837091
91	-1.727157402367
92	-1.720421355564
93	-1.720421355564
94	-1.711973645980
95	-1.688298616738
96	-1.642121810595
97	-1.633259382597
98	-1.618073066873
99	-1.618073066873
100	-1.593165750473
101	-1.586361588679
102	-1.518006191752
103	-1.502018897150
104	-1.502018897150
105	-1.470010387805
106	-1.439976090285
107	-1.434830361075
108	-1.434830361075
109	-1.403267296456
110	-1.396280456623
111	-1.396280456623
112	-1.394932923485
113	-1.390817550631
114	-1.296858855427
115	-1.286030421869
116	-1.286030421869
117	-1.278299767639
118	-1.278299767639
119	-1.256077319607
120	-1.252173224840
121	-1.213114978015
122	-1.188718945125
123	-1.188718945125
124	-1.173922204247
125	-1.114190256362
126	-1.108597458595
127	-1.086666883083
128	-1.064788728972
129	-1.064788728972
130	-1.055300973856
131	-1.055300973856
132	-1.030486138986
133	-1.030486138986
134	-1.018958703095
135	-0.995994572052
136	-0.995192186693
137	-0.967090191473
138	-0.965783774719
139	-0.938474857543
140	-0.938474857543
141	-0.859089993002
142	-0.854992474874
143	-0.854992474874
144	-0.845905505156
145	-0.816727509337
146	-0.810928189717
147	-0.809220265435
148	-0.809220265435
149	-0.782012268508
150	-0.782012268508
151	-0.761053505414
152	-0.711472346032
153	-0.709316300012
154	-0.683849818116
155	-0.678398957095
156	-0.662117009082
157	-0.662117009082
158	-0.661309872146
159	-0.658714475884
160	-0.639808538797
161	-0.639808538797
162	-0.627959961914
163	-0.623719935204
164	-0.623719935204
165	-0.541567886542
166	-0.541567886542
167	-0.538814408509
168	-0.536909295097
169	-0.511001178248
170	-0.494662680627
171	-0.494662680627
172	-0.475368371644
173	-0.436396314359
174	-0.423578932446
175	-0.419045970894
176	-0.402625165247
177	-0.402625165247
178	-0.396916346322
179	-0.372799544139
180	-0.372799544139
181	-0.356896246226
182	-0.356896246226
183	-0.355736386762
184	-0.328198782761
185	-0.320596601687
186	-0.313566528088
187	-0.306387706647
188	-0.306277637635
189	-0.306277637635
190	-0.298188635292
191	-0.279189399225
192	-0.269260540930
193	-0.269260540930
194	-0.244409367612
195	-0.244409367612
196	-0.220544026565
197	-0.206778336686
198	-0.197600686252
199	-0.197600686252
200	-0.177111418703
201	-0.164402462646
202	-0.164402462646
203	-0.146693653183
204	-0.133866654516
205	-0.110653192659
206	-0.110653192659
207	-0.062192712367
208	-0.062192712367
209	-0.000000000000
210	-0.000000000000
211	-0.000000000000
212	-0.000000000000
213	-0.000000000000
214	-0.000000000000
215	-0.000000000000
216	-0.000000000000
217	-0.000000000000
218	-0.000000000000
219	-0.000000000000
220	0.000000000000
221	0.000000000000
222	0.000000000000
223	0.000000000000
224	0.000000000000
225	0.000000000000
226	0.000000000000
227	0.000000000000
228	0.000000000000
229	0.000000000000
230	0.000000000000
231	0.000000000000
232	0.000000000000
233	0.000000000000
234	0.062192712367
235	0.062192712367
236	0.110653192659
237	0.110653192659
238	0.133866654516
239	0.146693653183
240	0.164402462646
241	0.164402462646
242	0.177111418703
243	0.197600686252
244	0.197600686252
245	0.206778336686
246	0.220544026565
247	0.244409367612
248	0.244409367612
249	0.269260540930
250	0.269260540930
251	0.279189399225
252	0.298188635292
253	0.306277637635
254	0.306277637635
255	0.306387706647
256	0.313566528088
257	0.320596601687
258	0.328198782761
259	0.355736386762
260	0.356896246226
261	0.356896246226
262	0.372799544139
263	0.372799544139
264	0.396916346322
265	0.402625165247
266	0.402625165247
267	0.419045970894
268	0.423578932446
269	0.436396314359
270	0.475368371644
271	0.494662680627
272	0.494662680627
273	0.511001178248
274	0.536909295097
275	0.538814408509
276	0.541567886542
277	0.541567886542
278	0.623719935204
279	0.623719935204
280	0.627959961914
281	0.639808538797
282	0.639808538797
283	0.658714475884
284	0.661309872146
285	0.662117009082
286	0.662117009082
287	0.678398957095
288	0.683849818116
289	0.709316300012
290	0.711472346032
291	0.761053505414
292	0.782012268508
293	0.782012268508
294	0.809220265435
295	0.809220265435
296	0.810928189717
297	0.816727509337
298	0.845905505156
299	0.854992474874
300	0.854992474874
301	0.859089993002
302	0.938474857543
303	0.938474857543
304	0.965783774719
305	0.967090191473
306	0.995192186693
307	0.995994572052
308	1.018958703095
309	1.030486138986
310	1.030486138986
311	1.055300973856
312	1.055300973856
313	1.064788728972
314	1.064788728972
315	1.086666883083
316	1.108597458595
317	1.114190256362
318	1.173922204247
319	1.188718945125
320	1.188718945125
321	1.213114978015
322	1.252173224840
323	1.256077319607
324	1.278299767639
325	1.278299767639
326	1.286030421869
327	1.286030421869
328	1.296858855427
329	1.390817550631
330	1.394932923485
331	1.396280456623
332	1.396280456623
333	1.403267296456
334	1.434830361075
335	1.434830361075
336	1.439976090285
337	1.470010387805
338	1.502018897150
339	1.502018897150
340	1.518006191752
341	1.586361588679
342	1.593165750473
343	1.618073066873
344	1.618073066873
345	1.633259382597
346	1.642121810595
347	1.688298616738
348	1.711973645980
349	1.720421355564
350	1.720421355564
351	1.727157402367
352	1.737589837091
353	1.737589837091
354	1.836656607579
355	1.850221005681
356	1.850221005681
357	1.868635129764
358	1.887433946942
359	1.887433946942
360	1.904600535177
361	1.947342185194
362	1.961200311772
363	1.961200311772
364	2.041106803536
365	2.049986207608
366	2.051062262183
367	2.073851544390
368	2.073851544390
369	2.080183542155
370	2.140415699213
371	2.140415699213
372	2.163082143156
373	2.190894965843
374	2.204825682037
375	2.261101591328
376	2.261101591328
377	2.297077725151
378	2.303375223969
379	2.312131927434
380	2.351300591992
381	2.351300591992
382	2.366086216879
383	2.441651674633
384	2.441651674633
385	2.452288501743
386	2.476777141633
387	2.517725938035
388	2.517725938035
389	2.536840626103
390	2.536840626103
391	2.628468116190
392	2.631906640613
393	2.664363203819
394	2.664363203819
395	2.685227195641
396	2.705598914930
397	2.730424689687
398	2.734254620019
399	2.742396061252
400	2.857493063784
401	2.860271479439
402	2.882362880038
403	2.882362880038
404	2.898973738167
405	2.898973738167
406	2.948753351580
407	2.948753351580
408	3.045237904388
409	3.045237904388
410	3.054881905143
411	3.063841560140
412	3.120392915757
413	3.133190204479
414	3.156134072608
415	3.215851228467
416	3.217850827291
417	3.217850827291
418	3.227321613442
419	3.334774863362
420	3.334774863362
421	3.364596158476
422	3.365793762250
423	3.386843761789
424	3.386843761789
425	3.500676293689
426	3.500676293689
427	3.513041088449
428	3.534934853021
429	3.542533247023
430	3.619726776557
431	3.626310293437
432	3.676427860306
433	3.676427860306
434	3.731557223648
435	3.731557223648
436	3.798076548294
437	3.824068421719
438	3.825788320845
439	3.902044407028
440	3.902044407028
441	3.961266581650
